fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,580.8,1,0,0,0.0
2023-01-02,100,-2849.8,0,0,0,0.0
2023-01-03,100,-1458.6,0,0,0,0.0
2023-01-04,100,16.6,0,0,0,0.0
2023-01-05,100.0,-439.9,1,0,0,0.0
2023-01-06,100,845.8,0,0,0,0.0
2023-01-07,100,-3631.3,0,0,0,0.0
2023-01-08,100,-102.6,0,0,0,0.0
2023-01-09,100,200.8,0,0,0,0.0
2023-01-10,100,-852.8,0,0,0,0.0
2023-01-11,100,-1323.2,0,0,0,0.0
2023-01-12,100,-1516.4,0,0,0,0.0
2023-01-13,100,317.2,0,0,0,0.0
2023-01-14,100,698.5,0,0,1,0.0
2023-01-15,100,225.3,0,0,0,0.0
2023-01-16,100,860.2,0,0,0,0.0
2023-01-17,100,-1838.5,0,0,0,0.0
2023-01-18,100,163.3,0,0,0,0.0
2023-01-19,100,-60.5,0,0,0,0.0
2023-01-20,100.0,-93.1,1,0,0,0.0
2023-01-21,100,1155.2,0,0,0,0.0
2023-01-22,100,420.1,0,0,0,0.0
2023-01-23,100,-247.2,0,0,0,0.0
2023-01-24,100,546.9,0,0,0,0.0
2023-01-25,100.0,165.4,2,0,0,0.0
2023-01-26,100,818.1,0,0,2,0.0
2023-01-27,100,865.3,0,0,1,0.0
2023-01-28,100,110.3,0,0,0,0.0
2023-01-29,99.9,974.1,1,0,1,0.0
2023-01-30,100.0,515.4,1,0,0,0.0
2023-01-31,100,-501.0,0,0,0,0.0
2023-02-01,100,66.2,0,0,0,0.0
2023-02-02,100,590.2,0,0,0,0.0
2023-02-03,100,1062.2,0,0,0,0.0
2023-02-04,100.0,389.3,1,0,0,0.0
2023-02-05,100.0,-1530.1,1,0,0,0.0
2023-02-06,100,418.3,0,0,4,5.0
2023-02-07,99.8,183.1,4,0,0,0.0
2023-02-08,100,549.2,0,0,0,0.0
2023-02-09,100,-372.9,0,0,0,0.0
2023-02-10,100,386.2,0,0,0,0.0
2023-02-11,100,-341.6,0,0,0,0.0
2023-02-12,100,1058.9,0,0,0,0.0
2023-02-13,100.0,749.2,1,0,0,0.0
2023-02-14,100.0,-2.9,1,0,0,0.0
2023-02-15,100.0,-2711.7,2,0,0,0.0
2023-02-16,100.0,-3043.2,1,0,0,0.0
2023-02-17,100,-438.6,0,0,0,0.0
2023-02-18,100.0,-970.3,1,0,0,0.0
2023-02-19,100.0,909.0,1,0,0,0.0
2023-02-20,100.0,844.2,1,0,0,0.0
2023-02-21,100,553.8,0,0,0,0.0
2023-02-22,100,1324.4,0,0,0,0.0
2023-02-23,100,707.6,0,0,1,0.0
2023-02-24,100,1392.5,0,0,0,0.0
2023-02-25,100.0,1239.3,1,0,0,0.0
2023-02-26,100.0,-834.9,1,0,0,0.0
2023-02-27,99.8,134.0,1,0,0,0.0
2023-02-28,100,-130.3,0,0,0,0.0
2023-03-01,100.0,-4563.3,1,0,0,0.0
2023-03-02,100.0,-475.7,1,0,1,0.0
2023-03-03,100,-2598.1,0,0,0,0.0
2023-03-04,100,-764.0,0,0,0,0.0
2023-03-05,100,112.2,0,0,0,0.0
2023-03-06,100,-240.0,0,0,0,0.0
2023-03-07,100.0,-14.9,1,0,2,0.0
2023-03-08,100,1025.0,0,0,0,0.0
2023-03-09,100,-3175.8,0,0,0,0.0
2023-03-10,100,1417.8,0,0,2,0.0
2023-03-11,100,-4236.8,0,0,0,0.0
2023-03-12,100,1029.4,0,0,0,0.0
2023-03-13,100,-408.0,0,0,0,0.0
2023-03-14,100,434.6,0,0,0,0.0
2023-03-15,100,491.6,0,0,0,0.0
2023-03-16,100,345.3,0,0,1,0.0
2023-03-17,100.0,1547.0,1,0,0,0.0
2023-03-18,100,1110.7,0,0,3,0.0
2023-03-19,100,1392.3,0,0,0,0.0
2023-03-20,100.0,745.9,2,0,0,0.0
2023-03-21,100,83.7,0,0,0,0.0
2023-03-22,100,691.8,0,0,0,0.0
2023-03-23,100,571.9,0,0,0,0.0
2023-03-24,100,1121.2,0,0,0,0.0
2023-03-25,100,-1001.2,0,0,0,0.0
2023-03-26,100,-948.1,0,0,0,0.0
2023-03-27,100.0,-563.2,1,0,0,0.0
2023-03-28,100.0,607.8,2,0,0,0.0
2023-03-29,100.0,-2124.0,1,0,0,0.0
