fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,0,-9,0,0,0,-9
2023-01-02,100.0,-49218.4,1,2,0,55.0
2023-01-03,100,-49425.9,0,0,0,55.0
2023-01-04,100,-49240.0,0,0,0,55.0
2023-01-05,100,-49054.1,0,4,0,55.0
2023-01-06,100,-49759.2,0,1,0,55.0
2023-01-07,100,-50101.4,0,1,0,55.0
2023-01-08,100,-50244.7,0,2,0,55.0
2023-01-09,100,-50192.4,0,0,0,55.0
2023-01-10,100,-50372.4,0,0,0,55.0
2023-01-11,100,-49748.2,0,5,0,55.0
2023-01-12,100,-49943.9,0,0,0,55.0
2023-01-13,100,-49827.2,0,0,0,55.0
2023-01-14,100,-50470.6,0,0,0,55.0
2023-01-15,100,-50341.0,0,0,0,55.0
2023-01-16,100,-50196.9,0,1,0,55.0
2023-01-17,100,-49450.2,0,3,0,60.0
2023-01-18,100,-49271.9,0,0,0,60.0
2023-01-19,100,-49111.8,0,4,0,60.0
2023-01-20,99.8,-46982.2,1,2,0,60.0
2023-01-21,100,-50287.9,0,2,0,60.0
2023-01-22,100,-50050.7,0,0,0,60.0
2023-01-23,100,-49145.9,0,2,0,60.0
2023-01-24,100,-49747.4,0,0,0,60.0
2023-01-25,100.0,-49165.4,2,1,0,60.0
2023-01-26,100,-49076.6,0,0,0,60.0
2023-01-27,100.0,-48844.8,1,1,0,60.0
2023-01-28,100,-49276.2,0,0,0,55.0
2023-01-29,100,-49345.2,0,0,0,60.0
2023-01-30,100.0,-49834.2,1,0,0,60.0
2023-01-31,100,-49088.9,0,1,0,55.0
2023-02-01,100,-49342.5,0,0,0,60.0
2023-02-02,100,-49083.8,0,1,0,60.0
2023-02-03,100,-49328.2,0,0,0,60.0
2023-02-04,100,-50335.0,0,0,0,55.0
2023-02-05,100,-49524.0,0,0,0,60.0
2023-02-06,100,-49634.3,0,0,0,60.0
2023-02-07,99.8,-49020.2,4,3,0,60.0
2023-02-08,100,-49024.7,0,3,0,60.0
2023-02-09,100,-49196.5,0,0,0,60.0
2023-02-10,61.2,-49971.2,1,0,0,60.0
2023-02-11,0,-9,0,0,0,-9
2023-02-12,0,-9,0,0,0,-9
2023-02-13,0,-9,0,0,0,-9
2023-02-14,66.8,-49224.2,3,0,0,60.0
2023-02-15,0,-9,0,0,0,-9
2023-02-16,0.7,-48461.4,2,0,0,-9
2023-02-17,0,-9,0,0,0,-9
2023-02-18,0,-9,0,0,0,-9
2023-02-19,0,-9,0,0,0,-9
2023-02-20,0,-9,0,0,0,-9
2023-02-21,88.7,-47845.9,4,0,0,60.0
2023-02-22,100.0,-48502.4,1,0,0,60.0
2023-02-23,100.0,-48897.7,1,0,0,60.0
2023-02-24,100,-48684.5,0,0,0,60.0
2023-02-25,94.3,-49080.0,1,0,0,60.0
2023-02-26,11.3,-51400.2,1,1,0,60.0
2023-02-27,63.7,-49013.2,1,0,0,35.0
2023-02-28,100.0,-49561.1,2,0,0,60.0
2023-03-01,74.6,-49077.4,5,0,0,55.0
2023-03-02,0,-9,0,0,0,-9
2023-03-03,0,-9,0,0,0,-9
2023-03-04,0,-9,0,0,0,-9
2023-03-05,0,-9,0,0,0,-9
2023-03-06,46.1,-51427.0,1,0,0,70.0
2023-03-07,80.2,-49870.7,1,0,0,40.0
2023-03-08,96.7,-50138.1,88,0,0,60.0
2023-03-09,100.0,-50567.7,1,0,0,55.0
2023-03-10,72.6,-49304.6,1,0,0,55.0
2023-03-11,11.7,-53350.3,1,0,0,60.0
2023-03-12,100,-50576.6,0,0,0,55.0
2023-03-13,86.6,-50896.4,2,0,0,55.0
2023-03-14,39.8,-51821.8,3,0,0,75.0
2023-03-15,61.8,-50589.4,7,0,0,40.0
2023-03-16,35.3,-51042.0,3,0,0,75.0
2023-03-17,100,-50375.6,0,0,0,55.0
2023-03-18,100.0,-50375.6,1,0,0,55.0
2023-03-19,100,-50043.8,0,0,0,60.0
2023-03-20,100,-50152.5,0,0,0,55.0
2023-03-21,82.8,-50082.1,3,0,0,40.0
2023-03-22,85.7,-49894.1,1,0,0,55.0
2023-03-23,42.3,-48552.9,2,0,0,75.0
2023-03-24,100,-49146.8,0,0,0,55.0
2023-03-25,100,-49192.4,0,0,0,60.0
2023-03-26,100,-49063.8,0,0,0,60.0
2023-03-27,100.0,-49322.0,2,0,0,60.0
2023-03-28,94.3,-49864.9,3,0,0,60.0
2023-03-29,100.0,-49543.3,1,0,0,60.0
2023-03-30,64.6,-50198.3,1,0,0,60.0
2023-03-31,35.3,-50208.5,3,1,0,70.0
