fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,1068.0,1,0,1,0.0
2023-01-02,100,1054.6,0,0,3,0.0
2023-01-03,100,1052.0,0,0,0,0.0
2023-01-04,100,1074.2,0,0,7,0.0
2023-01-05,100,1047.2,0,0,2,0.0
2023-01-06,100,1043.3,0,0,2,0.0
2023-01-07,100,1068.0,0,0,1,0.0
2023-01-08,100,1083.7,0,0,5,0.0
2023-01-09,100,1073.0,0,0,2,0.0
2023-01-10,100,1057.8,0,0,1,0.0
2023-01-11,100,1057.6,0,0,2,0.0
2023-01-12,100,1042.7,0,0,1,0.0
2023-01-13,100,1039.1,0,0,3,0.0
2023-01-14,100,1047.6,0,0,0,0.0
2023-01-15,100,1073.6,0,0,2,0.0
2023-01-16,100,1037.7,0,0,4,0.0
2023-01-17,100,1021.7,0,0,7,0.0
2023-01-18,4.8,1138.5,1,0,0,0.0
2023-01-19,0,-9,0,0,0,-9
2023-01-20,0,-9,0,0,0,-9
2023-01-21,0,-9,0,0,0,-9
2023-01-22,0,-9,0,0,0,-9
2023-01-23,0,-9,0,0,0,-9
2023-01-24,0,-9,0,0,0,-9
2023-01-25,0,-9,0,0,0,-9
2023-01-26,0,-9,0,0,0,-9
2023-01-27,0,-9,0,0,0,-9
2023-01-28,0,-9,0,0,0,-9
2023-01-29,0,-9,0,0,0,-9
2023-01-30,0,-9,0,0,0,-9
2023-01-31,0,-9,0,0,0,-9
2023-02-01,0,-9,0,0,0,-9
2023-02-02,0,-9,0,0,0,-9
2023-02-03,0,-9,0,0,0,-9
2023-02-04,0,-9,0,0,0,-9
2023-02-05,0,-9,0,0,0,-9
2023-02-06,0,-9,0,0,0,-9
2023-02-07,0,-9,0,0,0,-9
2023-02-08,0,-9,0,0,0,-9
2023-02-09,0,-9,0,0,0,-9
2023-02-10,0,-9,0,0,0,-9
2023-02-11,0,-9,0,0,0,-9
2023-02-12,0,-9,0,0,0,-9
2023-02-13,0,-9,0,0,0,-9
2023-02-14,0,-9,0,0,0,-9
