fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-46212.2,1,0,2,30.0
2023-01-02,100,-46170.9,0,0,2,30.0
2023-01-03,100,-45881.4,0,0,0,30.0
2023-01-04,100,-45855.9,0,0,0,30.0
2023-01-05,100,-45942.1,0,0,0,30.0
2023-01-06,100,-45874.2,0,0,0,30.0
2023-01-07,100,-46122.9,0,0,0,30.0
2023-01-08,100,-46014.7,0,0,0,30.0
2023-01-09,100,-46064.4,0,0,0,30.0
2023-01-10,100,-46012.3,0,0,3,30.0
2023-01-11,100,-45939.6,0,0,0,30.0
2023-01-12,100,-45812.4,0,0,0,30.0
2023-01-13,100,-45997.2,0,0,0,30.0
2023-01-14,100,-46099.3,0,0,1,30.0
2023-01-15,100,-45653.9,0,0,1,30.0
2023-01-16,100,-45765.8,0,0,1,30.0
2023-01-17,100,-45871.2,0,0,1,30.0
2023-01-18,100,-45785.1,0,0,0,30.0
2023-01-19,100,-46029.2,0,0,0,30.0
2023-01-20,100.0,-45976.7,1,0,1,30.0
2023-01-21,100,-45825.0,0,0,0,30.0
2023-01-22,100,-45941.1,0,0,0,30.0
2023-01-23,99.9,-45425.5,1,0,0,30.0
2023-01-24,100,-45479.7,0,0,0,30.0
2023-01-25,100.0,-45496.6,2,0,0,35.0
2023-01-26,100,-45988.4,0,0,2,30.0
2023-01-27,100.0,-46221.9,1,0,3,30.0
2023-01-28,100,-46108.4,0,0,0,30.0
2023-01-29,100,-45964.9,0,0,0,30.0
2023-01-30,100.0,-46001.8,1,0,1,30.0
2023-01-31,100,-46060.2,0,0,1,30.0
2023-02-01,100,-46067.7,0,0,0,30.0
2023-02-02,100,-46180.1,0,0,1,30.0
2023-02-03,100,-46039.3,0,0,0,30.0
2023-02-04,100,-45732.8,0,0,0,30.0
2023-02-05,100,-45465.8,0,0,0,30.0
2023-02-06,100,-45440.7,0,0,0,35.0
2023-02-07,98.4,-45385.0,1,0,0,30.0
2023-02-08,100,-45636.6,0,0,0,30.0
2023-02-09,100,-45666.4,0,0,1,30.0
2023-02-10,100,-45725.9,0,0,0,30.0
2023-02-11,100,-45798.1,0,0,0,30.0
2023-02-12,100,-45892.1,0,0,1,30.0
2023-02-13,100,-45914.7,0,0,0,30.0
2023-02-14,100.0,-46015.1,1,0,2,30.0
2023-02-15,100.0,-45938.7,2,0,4,35.0
2023-02-16,100.0,-45983.0,1,0,0,30.0
2023-02-17,99.9,-46340.2,1,0,2,30.0
2023-02-18,100.0,-45994.5,1,0,0,30.0
2023-02-19,100.0,-46184.5,1,0,0,35.0
2023-02-20,100.0,-46000.3,1,0,0,30.0
2023-02-21,100,-45791.8,0,0,2,30.0
2023-02-22,100,-45785.1,0,0,2,30.0
2023-02-23,100,-45733.0,0,0,1,35.0
2023-02-24,100,-45596.4,0,0,1,35.0
2023-02-25,100.0,-46152.5,1,0,0,30.0
2023-02-26,100.0,-46052.5,1,0,1,35.0
2023-02-27,100,-46095.4,0,0,2,30.0
2023-02-28,100,-45884.7,0,0,1,30.0
2023-03-01,100.0,-45876.7,1,0,0,35.0
2023-03-02,100.0,-46068.8,1,0,0,30.0
2023-03-03,100,-46165.5,0,0,1,30.0
2023-03-04,100,-46113.5,0,0,0,30.0
2023-03-05,100,-46060.7,0,0,0,30.0
2023-03-06,100,-46197.2,0,0,0,30.0
2023-03-07,100,-45795.0,0,0,2,30.0
2023-03-08,100,-46071.4,0,0,2,30.0
2023-03-09,100,-46085.1,0,0,0,35.0
2023-03-10,100,-45986.7,0,0,2,45.0
2023-03-11,100,-45850.1,0,0,1,35.0
2023-03-12,100,-45880.1,0,0,1,30.0
2023-03-13,100,-45975.3,0,0,2,30.0
2023-03-14,99.9,-45807.8,1,0,1,30.0
2023-03-15,100,-45327.6,0,0,0,35.0
2023-03-16,100,-45380.3,0,0,2,35.0
2023-03-17,100,-45606.4,0,0,2,35.0
2023-03-18,100,-45544.1,0,0,0,35.0
2023-03-19,100,-45668.4,0,0,0,30.0
2023-03-20,100,-45825.7,0,0,0,35.0
2023-03-21,100,-45833.9,0,0,0,30.0
2023-03-22,100,-46004.1,0,0,0,30.0
2023-03-23,100,-45943.8,0,0,0,30.0
2023-03-24,100,-46185.4,0,0,1,30.0
2023-03-25,100,-46342.2,0,0,2,30.0
2023-03-26,100,-46062.0,0,0,0,35.0
2023-03-27,100.0,-46219.4,1,0,0,35.0
2023-03-28,100.0,-46258.9,2,0,0,35.0
2023-03-29,100.0,-46350.5,1,0,1,35.0
2023-03-30,100.0,-46338.3,2,0,2,35.0
2023-03-31,100,-46254.6,0,0,0,30.0
2023-04-01,100,-46238.4,0,0,2,35.0
2023-04-02,100,-46210.7,0,0,2,40.0
2023-04-03,100,-46510.4,0,0,1,30.0
2023-04-04,100,-46504.3,0,0,1,35.0
2023-04-05,100.0,-46441.0,2,0,0,35.0
2023-04-06,95.3,-45882.9,1,0,0,35.0
2023-04-07,43.8,-49651.9,2,0,0,70.0
2023-04-08,100,-48846.5,0,0,0,35.0
2023-04-09,100,-48297.1,0,0,1,35.0
2023-04-10,100,-48277.4,0,0,0,35.0
2023-04-11,100,-48491.5,0,0,0,35.0
2023-04-12,100,-48377.0,0,0,3,35.0
2023-04-13,10.2,-48641.0,1,0,0,30.0
2023-04-14,97.4,-49478.9,1,0,2,35.0
2023-04-15,100,-48543.5,0,0,1,35.0
2023-04-16,100,-48691.8,0,0,0,30.0
2023-04-17,99.9,-48473.6,3,0,1,35.0
2023-04-18,100,-48412.5,0,0,0,35.0
2023-04-19,99.9,-48641.8,3,0,0,35.0
2023-04-20,100,-48486.5,0,0,0,30.0
2023-04-21,100,-48604.9,0,0,0,30.0
2023-04-22,100,-48294.1,0,0,1,35.0
2023-04-23,100,-48206.2,0,0,1,35.0
2023-04-24,100,-48223.4,0,0,0,35.0
2023-04-25,100,-48410.2,0,0,1,35.0
2023-04-26,100.0,-48391.1,1,0,2,35.0
2023-04-27,99.9,-48095.7,2,0,2,35.0
2023-04-28,100,-48399.5,0,0,1,35.0
2023-04-29,100,-48445.4,0,0,1,35.0
2023-04-30,100,-48358.0,0,0,0,30.0
2023-05-01,100,-48120.3,0,0,1,35.0
2023-05-02,100,-47993.7,0,0,0,35.0
2023-05-03,100,-48029.1,0,0,0,35.0
2023-05-04,100,-48111.6,0,0,0,35.0
2023-05-05,100,-47959.0,0,0,1,35.0
2023-05-06,100,-47943.8,0,0,0,35.0
2023-05-07,100,-48451.8,0,0,0,30.0
2023-05-08,99.8,-48310.1,1,0,0,35.0
2023-05-09,100,-48311.2,0,0,0,35.0
2023-05-10,100,-48277.1,0,0,2,35.0
2023-05-11,99.9,-48461.2,1,0,1,30.0
2023-05-12,100,-48356.9,0,0,2,30.0
2023-05-13,100,-48431.2,0,0,3,30.0
2023-05-14,100,-48326.1,0,0,0,35.0
2023-05-15,100,-48156.9,0,0,0,35.0
2023-05-16,100,-48530.8,0,0,0,30.0
2023-05-17,100,-48258.4,0,0,0,30.0
2023-05-18,100,-48106.7,0,0,2,30.0
2023-05-19,100,-48054.3,0,0,1,35.0
2023-05-20,100,-48316.8,0,0,1,35.0
2023-05-21,100,-48492.0,0,0,1,30.0
2023-05-22,100,-48435.0,0,0,3,30.0
2023-05-23,100,-48016.2,0,0,0,35.0
2023-05-24,100,-48048.6,0,0,0,35.0
2023-05-25,100,-48043.4,0,0,1,35.0
2023-05-26,100,-47782.7,0,0,1,35.0
2023-05-27,100,-47777.9,0,0,0,35.0
2023-05-28,100,-47879.2,0,0,1,35.0
2023-05-29,100.0,-47855.9,1,0,3,35.0
2023-05-30,100,-47722.5,0,0,1,35.0
2023-05-31,100,-47585.0,0,0,1,35.0
2023-06-01,100,-47548.7,0,0,1,40.0
2023-06-02,99.9,-47633.6,1,0,2,40.0
2023-06-03,100,-47733.9,0,0,0,35.0
2023-06-04,100,-47728.5,0,0,1,35.0
2023-06-05,100,-47671.3,0,0,1,35.0
2023-06-06,100,-47571.4,0,0,2,35.0
2023-06-07,100,-47583.5,0,0,0,35.0
2023-06-08,100,-47709.2,0,0,2,35.0
2023-06-09,100,-47856.0,0,0,2,35.0
2023-06-10,100,-47765.5,0,0,0,30.0
2023-06-11,100.0,-47681.6,1,0,0,35.0
