fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,0.0,1,0,3,5.0
2023-01-02,100,-0.0,0,0,2,5.0
2023-01-03,100,0.0,0,0,0,5.0
2023-01-04,100,-0.0,0,0,1,5.0
2023-01-05,100,0.0,0,1,3,5.0
2023-01-06,100,-0.0,0,0,2,5.0
2023-01-07,100,-0.0,0,0,6,5.0
2023-01-08,100,0.0,0,0,10,10.0
2023-01-09,100,-0.0,0,0,5,10.0
2023-01-10,100,0.0,0,0,6,10.0
2023-01-11,100,-0.0,0,0,10,10.0
2023-01-12,100,-0.0,0,0,3,10.0
2023-01-13,100,-0.0,0,1,4,5.0
2023-01-14,100,-0.0,0,0,2,5.0
2023-01-15,100,0.0,0,0,2,5.0
2023-01-16,100,-0.0,0,0,0,10.0
2023-01-17,100,0.0,0,1,1,5.0
2023-01-18,100,-0.0,0,0,5,10.0
2023-01-19,100,0.0,0,1,4,10.0
2023-01-20,60.8,-0.0,1,0,7,15.0
2023-01-21,100,0.0,0,0,9,10.0
2023-01-22,100,-0.0,0,0,9,10.0
2023-01-23,94.4,0.0,1,1,8,10.0
2023-01-24,0,-9,0,0,0,-9
2023-01-25,34.0,0.1,1,0,11,15.0
2023-01-26,0.9,-10.0,1,0,0,-9
2023-01-27,33.8,0.0,1,0,9,15.0
2023-01-28,100,-0.0,0,1,7,10.0
2023-01-29,100,0.0,0,0,6,10.0
2023-01-30,73.2,-0.0,1,0,3,10.0
2023-01-31,100,0.0,0,1,7,10.0
2023-02-01,100,-0.0,0,0,6,10.0
2023-02-02,100,-0.0,0,0,10,10.0
2023-02-03,100,0.0,0,0,8,10.0
2023-02-04,100,0.0,0,1,6,10.0
2023-02-05,100,-0.0,0,1,12,10.0
2023-02-06,100,-0.0,0,0,12,10.0
2023-02-07,53.2,0.0,2,0,4,35.0
2023-02-08,100,0.0,0,0,10,10.0
2023-02-09,100,-0.0,0,0,9,10.0
