fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-14139.3,1,0,0,35.0
2023-01-02,100,-14166.9,0,0,0,35.0
2023-01-03,100,-14186.3,0,0,1,35.0
2023-01-04,100,-14194.4,0,0,0,35.0
2023-01-05,100,-14205.1,0,0,1,35.0
2023-01-06,100,-14181.5,0,0,0,35.0
2023-01-07,100,-14200.0,0,0,0,35.0
2023-01-08,100,-14192.3,0,0,0,35.0
2023-01-09,100,-14190.5,0,0,0,35.0
2023-01-10,100,-14207.7,0,0,0,35.0
2023-01-11,100,-14250.5,0,0,0,35.0
2023-01-12,100,-14248.7,0,0,0,35.0
2023-01-13,88.8,-14153.1,1,0,0,30.0
2023-01-14,100,-14210.4,0,0,1,35.0
2023-01-15,84.0,-14112.3,1,0,1,30.0
2023-01-16,89.3,-14129.6,1,0,0,30.0
2023-01-17,100,-14240.2,0,0,0,35.0
2023-01-18,100,-14262.8,0,0,0,35.0
2023-01-19,100,-14296.2,0,0,0,35.0
2023-01-20,100,-14316.3,0,1,0,35.0
2023-01-21,100,-14317.9,0,0,0,35.0
2023-01-22,100,-14279.5,0,0,1,35.0
2023-01-23,100,-14259.9,0,0,1,35.0
2023-01-24,100,-14299.9,0,0,0,35.0
2023-01-25,100,-14223.9,0,2,0,35.0
2023-01-26,100,-14283.0,0,0,1,35.0
2023-01-27,100,-14313.6,0,1,1,35.0
2023-01-28,100,-14332.3,0,0,0,35.0
2023-01-29,100,-14212.8,0,0,0,35.0
2023-01-30,100,-14266.4,0,1,0,35.0
2023-01-31,100,-14329.4,0,0,0,35.0
2023-02-01,100,-14381.1,0,0,0,35.0
2023-02-02,100,-14403.5,0,0,0,35.0
2023-02-03,100,-14043.3,0,0,0,35.0
2023-02-04,100,-14143.9,0,0,0,35.0
2023-02-05,100,-14180.2,0,0,0,35.0
2023-02-06,100,-14245.0,0,0,1,35.0
2023-02-07,100,-14255.8,0,1,0,35.0
2023-02-08,100,-14265.1,0,0,0,35.0
2023-02-09,100,-14295.3,0,0,0,35.0
2023-02-10,100,-14335.6,0,0,0,35.0
2023-02-11,100,-14345.3,0,0,0,35.0
2023-02-12,100,-14350.1,0,0,0,35.0
2023-02-13,100,-14389.7,0,0,0,35.0
2023-02-14,100,-14425.4,0,1,0,35.0
2023-02-15,100,-14453.0,0,2,0,35.0
2023-02-16,100,-14495.9,0,1,0,35.0
2023-02-17,100,-14620.1,0,0,0,35.0
2023-02-18,100,-14662.7,0,1,1,35.0
2023-02-19,100,-14679.8,0,1,0,35.0
2023-02-20,100,-14582.6,0,1,0,35.0
2023-02-21,100,-14633.1,0,0,0,35.0
2023-02-22,100,-14670.7,0,0,1,35.0
2023-02-23,100,-14656.1,0,0,1,35.0
2023-02-24,100,-14441.5,0,0,0,35.0
2023-02-25,100,-14612.3,0,1,0,35.0
2023-02-26,100,-14670.8,0,1,0,35.0
2023-02-27,100,-14723.9,0,0,1,35.0
2023-02-28,100,-14755.1,0,0,0,35.0
2023-03-01,100,-14791.3,0,1,0,35.0
2023-03-02,100,-14834.5,0,1,0,35.0
2023-03-03,100,-14868.2,0,0,0,35.0
2023-03-04,100,-14882.3,0,0,1,35.0
2023-03-05,100,-14915.7,0,0,1,35.0
2023-03-06,100,-14945.7,0,0,0,35.0
2023-03-07,82.2,-14887.3,1,0,1,30.0
2023-03-08,100,-15017.1,0,0,0,35.0
2023-03-09,100,-15032.0,0,0,1,35.0
2023-03-10,78.2,-14892.0,1,0,0,25.0
2023-03-11,100,-15029.7,0,0,0,35.0
2023-03-12,54.2,-14825.8,1,0,0,30.0
2023-03-13,92.3,-14925.1,1,0,2,35.0
2023-03-14,52.2,-14795.8,1,0,0,30.0
2023-03-15,100,-15020.5,0,0,1,35.0
2023-03-16,84.7,-14888.1,1,0,0,30.0
2023-03-17,88.0,-14883.8,1,0,0,30.0
2023-03-18,100,-15009.5,0,0,0,40.0
2023-03-19,93.9,-14943.4,1,0,1,35.0
2023-03-20,100,-15010.4,0,0,0,35.0
2023-03-21,100,-15041.5,0,0,0,35.0
2023-03-22,100,-15088.3,0,0,0,35.0
2023-03-23,100,-15129.7,0,0,0,35.0
2023-03-24,100,-15168.7,0,0,0,35.0
2023-03-25,100,-15159.1,0,0,1,35.0
2023-03-26,100,-15176.5,0,0,0,35.0
2023-03-27,100,-15175.1,0,1,0,35.0
2023-03-28,100,-15180.2,0,2,0,35.0
2023-03-29,100,-15228.9,0,1,0,35.0
2023-03-30,100,-15252.8,0,2,0,35.0
2023-03-31,100,-15271.3,0,0,0,35.0
2023-04-01,100,-15315.5,0,0,0,35.0
2023-04-02,100,-15350.1,0,0,1,35.0
2023-04-03,100,-15383.4,0,0,0,35.0
2023-04-04,100,-15327.7,0,0,0,35.0
2023-04-05,100,-15389.4,0,2,0,35.0
2023-04-06,100,-15455.3,0,0,0,35.0
2023-04-07,100.0,-15506.2,1,0,0,35.0
2023-04-08,100,-15540.9,0,0,0,35.0
2023-04-09,100,-15538.0,0,0,0,35.0
2023-04-10,100,-15548.1,0,0,0,35.0
2023-04-11,100,-15536.5,0,0,1,35.0
2023-04-12,93.4,-15594.3,87,0,0,40.0
2023-04-13,100,-15636.9,0,0,1,35.0
2023-04-14,100,-15591.2,0,0,0,35.0
2023-04-15,100,-15653.9,0,0,1,35.0
2023-04-16,100,-15684.7,0,0,1,35.0
2023-04-17,100,-15716.9,0,3,0,35.0
2023-04-18,79.2,-15657.1,1,0,0,30.0
2023-04-19,100,-15776.1,0,3,0,35.0
2023-04-20,100,-15829.2,0,0,0,35.0
