fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-08-04,4.8,-42451.0,1,0,0,-9
2023-08-05,100.0,-42670.0,2,0,0,-9
2023-08-06,100,-42467.7,0,0,0,-9
2023-08-07,100,-42584.7,0,0,0,-9
2023-08-08,100.0,-42500.4,2,0,0,-9
2023-08-09,100.0,-42397.1,2,2,0,-9
2023-08-10,100.0,-42378.7,1,0,0,-9
2023-08-11,100.0,-42338.7,1,0,0,-9
2023-08-12,100,-42183.5,0,0,0,-9
2023-08-13,100,-42151.3,0,0,0,-9
2023-08-14,100.0,-42152.9,1,0,0,-9
2023-08-15,100.0,-42078.7,1,0,0,30.0
2023-08-16,100.0,-42098.1,1,0,0,30.0
2023-08-17,100,-42049.6,0,0,2,30.0
2023-08-18,100,-42039.2,0,0,1,30.0
2023-08-19,100,-41987.0,0,0,1,30.0
2023-08-20,100,-41976.8,0,0,0,30.0
2023-08-21,100,-41962.3,0,0,0,30.0
2023-08-22,100,-42125.3,0,1,0,30.0
2023-08-23,100.0,-42149.7,1,0,0,30.0
2023-08-24,100,-42043.9,0,0,0,30.0
2023-08-25,100,-42024.2,0,0,0,30.0
2023-08-26,100,-41984.3,0,0,1,30.0
2023-08-27,100,-41834.4,0,0,0,30.0
2023-08-28,100,-41832.5,0,0,0,30.0
2023-08-29,100,-41736.1,0,0,0,30.0
2023-08-30,100.0,-41662.8,1,0,0,30.0
2023-08-31,100,-41534.5,0,0,0,30.0
2023-09-01,99.9,-41472.3,1,0,0,30.0
2023-09-02,100,-41388.8,0,0,0,30.0
2023-09-03,100,-41404.2,0,0,0,30.0
2023-09-04,100.0,-41386.3,1,0,0,30.0
2023-09-05,100.0,-41331.2,2,0,0,30.0
2023-09-06,100,-41140.1,0,0,0,30.0
2023-09-07,100.0,-41071.2,2,0,1,30.0
2023-09-08,100,-40977.8,0,0,0,30.0
2023-09-09,100,-40802.5,0,0,0,30.0
