fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-3163.4,1,0,1,0.0
2023-01-02,100,-3056.2,0,0,7,0.0
2023-01-03,100,-3062.4,0,0,1,0.0
2023-01-04,100,-3042.8,0,0,2,0.0
2023-01-05,100,-3097.6,0,0,5,0.0
2023-01-06,100,-3086.6,0,0,3,0.0
2023-01-07,100,-3096.6,0,0,0,0.0
2023-01-08,100,-3087.7,0,0,3,0.0
2023-01-09,100,-3041.9,0,0,4,0.0
2023-01-10,100,-3158.4,0,0,1,0.0
2023-01-11,100,-2992.7,0,0,5,0.0
2023-01-12,100,-3094.4,0,0,5,0.0
2023-01-13,100,-3071.5,0,0,5,0.0
2023-01-14,100,-3103.1,0,0,2,0.0
2023-01-15,100,-3090.3,0,0,1,0.0
2023-01-16,100,-3077.8,0,0,1,0.0
2023-01-17,100,-3071.1,0,0,1,0.0
2023-01-18,100,-3067.6,0,0,5,0.0
2023-01-19,100,-3148.3,0,0,2,0.0
2023-01-20,100,-3083.3,0,1,7,0.0
2023-01-21,100,-3094.6,0,0,0,0.0
2023-01-22,100,-3088.2,0,0,0,0.0
2023-01-23,100,-3082.4,0,0,0,0.0
2023-01-24,100,-3070.5,0,0,2,0.0
2023-01-25,100,-3069.1,0,2,1,0.0
2023-01-26,100,-3087.7,0,0,1,0.0
2023-01-27,100,-3087.1,0,1,1,0.0
2023-01-28,100,-3079.1,0,0,1,0.0
2023-01-29,100,-3081.0,0,0,2,0.0
2023-01-30,100,-3080.7,0,1,3,0.0
2023-01-31,100,-3085.2,0,0,4,0.0
2023-02-01,100,-3084.5,0,0,2,0.0
2023-02-02,100,-3084.5,0,0,6,0.0
2023-02-03,100,-3078.1,0,0,1,0.0
2023-02-04,100,-3084.3,0,0,2,0.0
2023-02-05,100,-3086.6,0,0,0,0.0
2023-02-06,100,-3090.7,0,0,5,25.0
2023-02-07,100,-3091.3,0,1,3,0.0
2023-02-08,100,-3090.7,0,0,0,0.0
2023-02-09,100,-3096.4,0,0,1,0.0
2023-02-10,100,-3180.2,0,0,0,0.0
2023-02-11,100,-3102.2,0,0,2,0.0
2023-02-12,100,-3097.7,0,0,1,0.0
2023-02-13,0,-9,0,0,0,-9
2023-02-14,80.7,-3091.9,80,1,0,0.0
2023-02-15,0,-9,9,9,9,-9
2023-02-16,0,-9,9,9,9,-9
