fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,41.6,16249.2,1,0,0,40.0
2023-01-02,100,17135.8,0,0,3,40.0
2023-01-03,100,17144.0,0,0,1,40.0
2023-01-04,100,16748.7,0,0,0,40.0
2023-01-05,100,16680.4,0,0,1,40.0
2023-01-06,100,16668.7,0,0,1,40.0
2023-01-07,100,16637.6,0,0,1,40.0
2023-01-08,100,16519.8,0,0,0,40.0
2023-01-09,100,16366.4,0,0,1,35.0
2023-01-10,100,16219.0,0,0,0,40.0
2023-01-11,100,16017.7,0,0,2,40.0
2023-01-12,100,16062.5,0,0,0,40.0
2023-01-13,38.0,16115.1,1,0,1,35.0
2023-01-14,0,-9,0,0,0,-9
2023-01-15,0,-9,0,0,0,-9
2023-01-16,0,-9,0,0,0,-9
2023-01-17,0,-9,0,0,0,-9
2023-01-18,0,-9,0,0,0,-9
2023-01-19,0,-9,0,0,0,-9
2023-01-20,95.6,15916.6,2,0,0,40.0
2023-01-21,99.6,16575.2,1,0,0,40.0
2023-01-22,100,16750.1,0,0,0,40.0
2023-01-23,100,16671.2,0,0,0,40.0
2023-01-24,99.6,16821.7,1,0,1,40.0
2023-01-25,100.0,17049.1,2,0,0,40.0
2023-01-26,100,17329.1,0,0,0,40.0
2023-01-27,100.0,17471.8,1,0,0,40.0
2023-01-28,100,17587.3,0,0,0,40.0
2023-01-29,100,17677.2,0,0,0,40.0
2023-01-30,100.0,17720.0,1,0,0,40.0
2023-01-31,62.3,17690.2,1,0,0,40.0
2023-02-01,0,-9,0,0,0,-9
2023-02-02,0,-9,0,0,0,-9
2023-02-03,0,-9,0,0,0,-9
2023-02-04,0,-9,0,0,0,-9
2023-02-05,0,-9,0,0,0,-9
2023-02-06,40.2,16829.8,1,0,0,55.0
2023-02-07,99.4,17741.2,5,0,0,40.0
2023-02-08,100,17902.9,0,0,0,40.0
2023-02-09,100,17953.0,0,0,1,40.0
2023-02-10,100,17908.8,0,0,0,40.0
2023-02-11,100,17933.8,0,0,0,40.0
2023-02-12,100,17723.0,0,0,0,40.0
2023-02-13,100,17433.5,0,0,0,40.0
2023-02-14,100.0,17427.1,1,0,0,40.0
2023-02-15,100.0,17534.1,2,0,1,40.0
2023-02-16,99.6,17410.9,2,0,0,40.0
2023-02-17,100,17303.0,0,0,0,40.0
2023-02-18,99.3,17447.6,3,0,0,40.0
2023-02-19,100.0,17583.3,1,0,0,40.0
2023-02-20,100.0,17582.0,1,0,1,40.0
2023-02-21,100,17324.4,0,0,0,40.0
2023-02-22,100,17023.8,0,0,0,40.0
2023-02-23,100,16914.8,0,0,1,40.0
2023-02-24,100,17210.2,0,0,0,40.0
2023-02-25,100.0,17410.7,1,0,0,40.0
2023-02-26,100.0,17548.4,1,0,1,40.0
2023-02-27,100,17667.9,0,0,0,40.0
2023-02-28,100,17894.8,0,0,0,40.0
2023-03-01,100.0,18148.6,1,0,0,40.0
2023-03-02,100.0,18268.3,1,0,0,40.0
2023-03-03,100,18395.8,0,0,1,40.0
2023-03-04,100,18491.2,0,0,0,40.0
2023-03-05,100,18401.3,0,0,0,40.0
2023-03-06,100,18006.7,0,0,0,40.0
2023-03-07,100,17743.2,0,0,0,40.0
2023-03-08,99.6,17431.7,1,0,0,40.0
2023-03-09,100,16980.8,0,0,0,40.0
2023-03-10,100,16604.9,0,0,1,40.0
2023-03-11,100,16507.2,0,0,0,40.0
2023-03-12,100,16385.0,0,0,0,40.0
2023-03-13,100,16242.7,0,0,0,40.0
2023-03-14,100,16091.1,0,0,0,40.0
2023-03-15,100,16095.4,0,0,0,40.0
2023-03-16,100,15997.2,0,0,0,40.0
2023-03-17,100,16078.0,0,0,2,40.0
2023-03-18,100,16210.8,0,0,0,40.0
2023-03-19,100,16360.0,0,0,0,40.0
2023-03-20,100,16547.9,0,0,0,40.0
2023-03-21,100,16712.4,0,0,0,40.0
2023-03-22,100,16864.7,0,0,0,40.0
2023-03-23,75.4,17015.2,12,0,0,35.0
2023-03-24,69.3,16970.9,16,0,0,40.0
2023-03-25,21.1,16940.7,49,0,0,40.0
2023-03-26,43.4,16742.0,44,0,0,40.0
2023-03-27,66.3,16800.9,32,0,1,45.0
2023-03-28,98.9,16772.5,4,0,0,40.0
2023-03-29,100.0,16808.3,1,0,0,40.0
2023-03-30,100.0,16743.2,2,0,0,40.0
2023-03-31,100,16900.6,0,0,0,40.0
2023-04-01,100,16983.9,0,0,0,40.0
2023-04-02,100,17136.8,0,0,0,40.0
2023-04-03,100,17163.2,0,0,0,40.0
2023-04-04,100,17367.7,0,0,0,40.0
2023-04-05,100.0,17350.7,2,0,0,40.0
2023-04-06,100,17410.7,0,0,0,40.0
2023-04-07,100,17391.4,0,0,0,35.0
2023-04-08,100,17249.9,0,0,0,40.0
2023-04-09,100,17409.4,0,0,1,40.0
2023-04-10,100,17690.4,0,0,0,40.0
2023-04-11,100,17778.3,0,0,0,40.0
2023-04-12,100,17746.4,0,0,0,40.0
2023-04-13,100,17777.3,0,0,0,40.0
2023-04-14,98.7,17743.8,2,0,0,40.0
2023-04-15,100,17615.4,0,0,1,40.0
2023-04-16,100,17564.3,0,0,1,40.0
2023-04-17,100.0,17190.5,3,0,0,40.0
2023-04-18,100,17008.2,0,0,0,40.0
2023-04-19,100.0,17038.6,3,0,0,40.0
2023-04-20,100,17196.8,0,0,1,40.0
2023-04-21,100,17106.9,0,0,0,40.0
2023-04-22,100,16976.1,0,0,0,40.0
2023-04-23,100,16800.3,0,0,0,40.0
2023-04-24,100,16893.4,0,0,1,40.0
2023-04-25,100,17007.4,0,0,0,40.0
2023-04-26,100.0,17133.1,1,0,0,40.0
2023-04-27,99.6,17099.8,3,0,0,40.0
2023-04-28,100,17063.6,0,0,0,40.0
2023-04-29,100,17140.2,0,0,0,40.0
2023-04-30,100,17075.1,0,0,0,40.0
