fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,38.6,1,0,4,0.0
2023-01-02,100,20.2,0,0,1,0.0
2023-01-03,100,85.4,0,0,0,0.0
2023-01-04,100,59.9,0,0,0,0.0
2023-01-05,100,47.2,0,0,4,0.0
2023-01-06,100,105.1,0,0,11,0.0
2023-01-07,100,97.5,0,0,0,0.0
2023-01-08,100,120.2,0,0,7,0.0
2023-01-09,100,20.0,0,0,3,0.0
2023-01-10,100,167.5,0,0,0,0.0
2023-01-11,100,29.6,0,0,0,0.0
2023-01-12,100,89.1,0,0,1,0.0
2023-01-13,100,0.1,0,0,1,0.0
2023-01-14,100,115.3,0,0,3,0.0
2023-01-15,100,5.6,0,0,1,0.0
2023-01-16,100,43.6,0,0,1,0.0
2023-01-17,100,28.9,0,0,6,0.0
2023-01-18,100,97.7,0,0,5,0.0
2023-01-19,100,47.5,0,0,0,0.0
2023-01-20,100,47.8,0,1,2,0.0
2023-01-21,100,19.2,0,0,0,0.0
2023-01-22,100,46.0,0,0,0,0.0
2023-01-23,100,43.9,0,0,0,0.0
2023-01-24,100,5.2,0,0,0,0.0
2023-01-25,100,-30.3,0,2,1,0.0
2023-01-26,100,-19.9,0,0,1,0.0
2023-01-27,100,0.9,0,1,1,0.0
2023-01-28,100,-6.2,0,0,5,0.0
2023-01-29,100,10.7,0,0,0,0.0
2023-01-30,100,-30.5,0,1,0,0.0
2023-01-31,100,1.0,0,0,0,0.0
2023-02-01,100,-8.4,0,0,1,0.0
2023-02-02,100,-15.0,0,0,0,0.0
2023-02-03,100,-1.4,0,0,1,0.0
2023-02-04,100,100.3,0,0,0,0.0
2023-02-05,100,38.8,0,0,1,0.0
2023-02-06,100,37.1,0,0,9,5.0
2023-02-07,100,-5.3,0,1,5,0.0
2023-02-08,100,3.8,0,0,1,0.0
2023-02-09,100,19.9,0,0,0,0.0
2023-02-10,100,35.6,0,0,0,0.0
2023-02-11,100,0.8,0,0,0,0.0
2023-02-12,100,39.0,0,0,0,0.0
2023-02-13,100,-11.4,0,0,0,0.0
2023-02-14,100,312.0,0,1,0,0.0
2023-02-15,100,67.7,0,2,1,0.0
2023-02-16,100,128.8,0,1,2,0.0
2023-02-17,100,108.8,0,0,0,0.0
2023-02-18,100,116.2,0,1,0,0.0
2023-02-19,100,116.0,0,1,2,0.0
2023-02-20,100,47.9,0,1,1,0.0
2023-02-21,100,140.1,0,0,0,0.0
2023-02-22,100,143.8,0,0,2,0.0
2023-02-23,100,10.6,0,0,8,0.0
2023-02-24,100,85.6,0,0,0,0.0
