fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-09-22,37.5,-1554.8,1,0,4,-9
2023-09-23,100,-1013.8,0,0,5,-9
2023-09-24,100,-493.1,0,0,2,-9
2023-09-25,100.0,1597.2,3,0,5,-9
2023-09-26,100,2001.4,0,0,5,-9
2023-09-27,100.0,1242.5,1,0,4,-9
2023-09-28,100.0,-1898.6,1,0,2,-9
2023-09-29,100.0,654.9,1,0,4,-9
2023-09-30,19.6,-9392.6,4,0,0,-9
2023-10-01,0.0,2640.9,3,0,0,-9
2023-10-02,100.0,2050.6,1,0,4,-9
2023-10-03,100.0,1002.4,1,0,2,-9
2023-10-04,100.0,855.3,1,0,2,20.0
2023-10-05,100.0,-238.6,1,0,1,25.0
2023-10-06,99.9,-3272.9,2,0,2,25.0
2023-10-07,100,1126.8,0,0,2,30.0
2023-10-08,100,440.9,0,0,0,30.0
2023-10-09,100.0,1129.0,1,0,1,20.0
2023-10-10,100.0,-3416.3,1,0,1,25.0
2023-10-11,100.0,2902.8,1,0,4,20.0
2023-10-12,100.0,-131.1,1,0,0,20.0
2023-10-13,100.0,-2576.9,1,0,10,30.0
2023-10-14,100,860.9,0,0,4,25.0
2023-10-15,100,-211.1,0,0,2,20.0
2023-10-16,100.0,-2039.6,1,0,3,20.0
2023-10-17,100.0,2402.2,1,0,7,20.0
2023-10-18,100,-2815.5,0,0,4,25.0
2023-10-19,100.0,2852.7,1,0,8,25.0
2023-10-20,100.0,121.0,2,0,4,25.0
2023-10-21,100.0,231.5,1,0,2,20.0
2023-10-22,100,-4025.3,0,0,1,20.0
2023-10-22,100.0,-4025.3,1,0,1,20.0
2023-10-23,100,2946.9,0,0,3,20.0
2023-10-24,100,1009.2,0,0,0,25.0
2023-10-25,100.0,-1537.4,2,0,2,25.0
2023-10-26,100.0,1153.4,1,0,1,25.0
2023-10-27,100,302.5,0,0,2,25.0
2023-10-28,100,-1540.5,0,0,5,30.0
2023-10-29,100,-2180.6,0,0,6,20.0
2023-10-30,100.0,3735.0,1,0,7,25.0
2023-10-31,100,-2467.1,0,0,1,30.0
2023-11-01,100,-3210.6,0,0,9,25.0
2023-11-02,100.0,4178.1,1,0,4,20.0
2023-11-03,100,-70.1,0,0,9,30.0
2023-11-04,100,-134.4,0,0,10,30.0
2023-11-05,100,362.2,0,0,2,20.0
2023-11-06,100,-2717.6,0,0,5,20.0
2023-11-07,100.0,728.9,2,0,2,20.0
2023-11-08,100,1235.4,0,0,3,30.0
2023-11-09,100.0,-1786.7,5,0,3,20.0
2023-11-10,100.0,-745.3,4,0,3,20.0
2023-11-11,100,-498.7,0,0,2,20.0
2023-11-12,100.0,-905.4,1,0,0,15.0
2023-11-13,100,1918.5,0,0,1,10.0
2023-11-14,100,-507.0,0,0,2,25.0
2023-11-15,100,835.0,0,0,1,25.0
2023-11-16,100,1474.6,0,0,5,25.0
2023-11-17,100.0,229.7,2,0,2,30.0
2023-11-18,100,384.9,0,0,0,25.0
2023-11-19,100,311.1,0,0,1,25.0
2023-11-20,100.0,-111.9,1,0,2,25.0
2023-11-21,100.0,-193.6,1,0,0,25.0
2023-11-22,100,818.1,0,0,6,30.0
2023-11-23,100.0,68.2,2,0,1,25.0
2023-11-24,100.0,-472.9,1,0,3,30.0
