fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,0,-9,9,9,9,-9
2023-01-02,0,-9,9,9,9,-9
2023-01-03,0,-9,9,9,9,-9
2023-01-04,0,-9,9,9,9,-9
2023-01-05,0,-9,9,9,9,-9
2023-01-06,0,-9,9,9,9,-9
2023-01-07,0,-9,9,9,9,-9
2023-01-08,0,-9,9,9,9,-9
2023-01-09,0,-9,9,9,9,-9
2023-01-10,0,-9,9,9,9,-9
2023-01-11,0,-9,9,9,9,-9
2023-01-12,0,-9,9,9,9,-9
2023-01-13,0,-9,9,9,9,-9
2023-01-14,19.9,93.9,6,0,0,45.0
2023-01-15,33.1,45.2,5,0,0,20.0
2023-01-16,32.5,23.4,6,0,0,60.0
2023-01-17,20.9,172.3,19,0,0,40.0
2023-01-18,0,-9,9,9,9,-9
2023-01-19,0,-9,9,9,9,-9
2023-01-20,0,-9,9,9,9,-9
2023-01-21,0,-9,9,9,9,-9
2023-01-22,0,-9,9,9,9,-9
2023-01-23,0,-9,9,9,9,-9
2023-01-24,0,-9,9,9,9,-9
2023-01-25,0,-9,9,9,9,-9
2023-01-26,0,-9,9,9,9,-9
2023-01-27,0,-9,9,9,9,-9
2023-01-28,0,-9,9,9,9,-9
2023-01-29,0,-9,9,9,9,-9
2023-01-30,0,-9,9,9,9,-9
2023-01-31,0,-9,9,9,9,-9
2023-02-01,0,-9,9,9,9,-9
2023-02-02,0,-9,9,9,9,-9
2023-02-03,0,-9,9,9,9,-9
2023-02-04,0,-9,9,9,9,-9
2023-02-05,0,-9,9,9,9,-9
2023-02-06,0,-9,9,9,9,-9
2023-02-07,0,-9,9,9,9,-9
2023-02-08,0,-9,9,9,9,-9
2023-02-09,0,-9,9,9,9,-9
2023-02-10,0,-9,9,9,9,-9
2023-02-11,0,-9,9,9,9,-9
2023-02-12,0,-9,9,9,9,-9
2023-02-13,0,-9,9,9,9,-9
2023-02-14,0,-9,9,9,9,-9
2023-02-15,0,-9,9,9,9,-9
2023-02-16,0,-9,9,9,9,-9
2023-02-17,0,-9,9,9,9,-9
2023-02-18,0,-9,9,9,9,-9
2023-02-19,0,-9,9,9,9,-9
2023-02-20,0,-9,9,9,9,-9
2023-02-21,0,-9,9,9,9,-9
2023-02-22,0,-9,9,9,9,-9
2023-02-23,9.9,216.4,1,1,0,20.0
2023-02-24,99.5,-383.8,8,0,2,10.0
2023-02-25,100,126.9,0,1,1,0.0
2023-02-26,100,-18.2,0,1,2,0.0
2023-02-27,100,-81.3,0,0,4,0.0
2023-02-28,100,-1.1,0,0,8,0.0
2023-03-01,100,43.0,0,1,3,0.0
2023-03-02,100,30.9,0,1,6,0.0
2023-03-03,100,46.3,0,0,6,5.0
2023-03-04,100,29.8,0,0,7,0.0
2023-03-05,100,34.6,0,0,10,0.0
2023-03-06,100,14.6,0,0,5,0.0
2023-03-07,100,42.8,0,0,5,5.0
2023-03-08,100,41.9,0,0,3,0.0
2023-03-09,100.0,618.6,1,0,7,0.0
2023-03-10,100,-72.4,0,0,7,0.0
2023-03-11,100,23.6,0,0,12,0.0
2023-03-12,100,-75.5,0,0,9,0.0
2023-03-13,100,-74.3,0,0,8,0.0
2023-03-14,100,-51.0,0,0,8,0.0
2023-03-15,100,12.8,0,0,6,0.0
2023-03-16,100,-17.0,0,0,7,0.0
2023-03-17,100,-23.5,0,0,3,0.0
2023-03-18,100,-1.1,0,0,8,0.0
2023-03-19,100,-30.8,0,0,4,0.0
2023-03-20,100,-35.6,0,0,9,0.0
2023-03-21,100,-74.7,0,0,12,0.0
2023-03-22,100,-39.4,0,0,3,0.0
2023-03-23,100,-16.6,0,0,9,0.0
2023-03-24,100,16.3,0,0,6,5.0
2023-03-25,100,-89.5,0,0,13,0.0
2023-03-26,100,-40.8,0,0,12,0.0
2023-03-27,100,65.2,0,1,11,0.0
2023-03-28,100,-77.7,0,2,12,0.0
2023-03-29,100,-18.3,0,1,9,5.0
2023-03-30,100,-21.2,0,2,14,5.0
2023-03-31,100,63.5,0,0,3,5.0
2023-04-01,100,-72.2,0,0,12,0.0
