fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,0,-9,9,9,9,-9
2023-01-02,0,-9,9,9,9,-9
2023-01-03,0,-9,9,9,9,-9
2023-01-04,0,-9,9,9,9,-9
2023-01-05,0,-9,9,9,9,-9
2023-01-06,0,-9,9,9,9,-9
2023-01-07,0,-9,9,9,9,-9
2023-01-08,0,-9,9,9,9,-9
2023-01-09,0,-9,9,9,9,-9
2023-01-10,0,-9,9,9,9,-9
2023-01-11,0,-9,9,9,9,-9
2023-01-12,0,-9,9,9,9,-9
2023-01-13,0,-9,9,9,9,-9
2023-01-14,19.9,13595.5,6,0,0,35.0
2023-01-15,33.1,13751.0,5,0,0,40.0
2023-01-16,32.5,13637.3,6,0,0,15.0
2023-01-17,20.9,13271.3,19,0,0,30.0
2023-01-18,0,-9,9,9,9,-9
2023-01-19,0,-9,9,9,9,-9
2023-01-20,0,-9,9,9,9,-9
2023-01-21,0,-9,9,9,9,-9
2023-01-22,0,-9,9,9,9,-9
2023-01-23,0,-9,9,9,9,-9
2023-01-24,0,-9,9,9,9,-9
2023-01-25,0,-9,9,9,9,-9
2023-01-26,0,-9,9,9,9,-9
2023-01-27,0,-9,9,9,9,-9
2023-01-28,0,-9,9,9,9,-9
2023-01-29,0,-9,9,9,9,-9
2023-01-30,0,-9,9,9,9,-9
2023-01-31,0,-9,9,9,9,-9
2023-02-01,0,-9,9,9,9,-9
2023-02-02,0,-9,9,9,9,-9
2023-02-03,0,-9,9,9,9,-9
2023-02-04,0,-9,9,9,9,-9
2023-02-05,0,-9,9,9,9,-9
2023-02-06,0,-9,9,9,9,-9
2023-02-07,0,-9,9,9,9,-9
2023-02-08,0,-9,9,9,9,-9
2023-02-09,0,-9,9,9,9,-9
2023-02-10,0,-9,9,9,9,-9
2023-02-11,0,-9,9,9,9,-9
2023-02-12,0,-9,9,9,9,-9
2023-02-13,0,-9,9,9,9,-9
2023-02-14,0,-9,9,9,9,-9
2023-02-15,0,-9,9,9,9,-9
2023-02-16,0,-9,9,9,9,-9
2023-02-17,0,-9,9,9,9,-9
2023-02-18,0,-9,9,9,9,-9
2023-02-19,0,-9,9,9,9,-9
2023-02-20,0,-9,9,9,9,-9
2023-02-21,0,-9,9,9,9,-9
2023-02-22,0,-9,9,9,9,-9
2023-02-23,9.9,-907.9,1,1,0,45.0
2023-02-24,99.5,-906.8,8,0,0,45.0
2023-02-25,100,-1689.6,0,1,0,40.0
2023-02-26,100,-1758.1,0,1,0,40.0
2023-02-27,100,-1702.9,0,0,0,40.0
2023-02-28,100,-1614.1,0,0,0,40.0
2023-03-01,100,-1565.2,0,1,0,40.0
2023-03-02,100,-1571.2,0,1,0,40.0
2023-03-03,100,-1509.4,0,0,0,45.0
2023-03-04,100,-1588.1,0,0,0,40.0
2023-03-05,100,-1545.3,0,0,0,40.0
2023-03-06,100,-1594.1,0,0,0,40.0
2023-03-07,100,-1619.4,0,0,2,45.0
2023-03-08,100,-1699.3,0,0,0,40.0
2023-03-09,100.0,-1618.8,1,0,0,40.0
2023-03-10,100,-1725.5,0,0,1,40.0
2023-03-11,100,-1619.1,0,0,1,40.0
2023-03-12,100,-1696.8,0,0,0,40.0
2023-03-13,100,-1471.1,0,0,0,40.0
2023-03-14,100,-1456.7,0,0,1,40.0
2023-03-15,100,-1533.2,0,0,1,40.0
2023-03-16,100,-1521.2,0,0,0,45.0
2023-03-17,100,-1416.1,0,0,0,40.0
2023-03-18,100,-1383.4,0,0,0,40.0
2023-03-19,100,-1354.5,0,0,0,40.0
2023-03-20,100,-1215.6,0,0,0,40.0
2023-03-21,100,-1151.6,0,0,0,40.0
2023-03-22,100,-1054.7,0,0,0,40.0
2023-03-23,100,-1026.2,0,0,0,40.0
2023-03-24,100,-1053.1,0,0,0,45.0
2023-03-25,100,-1090.3,0,0,0,40.0
2023-03-26,100,-1005.8,0,0,0,40.0
2023-03-27,100,-952.5,0,1,0,40.0
2023-03-28,100,-1036.3,0,2,0,40.0
2023-03-29,100,-827.4,0,1,0,45.0
2023-03-30,100,-821.2,0,2,0,45.0
