fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-96.2,2,0,0,0.0
2023-01-02,100.0,-130.0,1,0,0,0.0
2023-01-03,100,-38.2,0,0,0,0.0
2023-01-04,100,33.8,0,0,0,0.0
2023-01-05,100.0,152.9,1,0,0,0.0
2023-01-06,100,-87.3,0,0,0,0.0
2023-01-07,100,-177.3,0,0,0,0.0
2023-01-08,100,-66.7,0,0,0,0.0
2023-01-09,99.6,-223.8,1,0,3,0.0
2023-01-10,100,-225.3,0,0,0,0.0
2023-01-11,100,310.4,0,0,0,0.0
2023-01-12,100.0,25.6,1,0,0,0.0
2023-01-13,100,100.3,0,0,2,0.0
2023-01-14,100,-60.3,0,0,1,0.0
2023-01-15,100.0,77.6,1,0,1,0.0
2023-01-16,100,-16.3,0,0,0,0.0
2023-01-17,100,146.5,0,0,0,0.0
2023-01-18,100,-17.5,0,0,4,0.0
2023-01-19,100.0,-9.2,1,0,0,0.0
2023-01-20,100.0,-31.2,3,0,3,0.0
2023-01-21,100,32.4,0,0,0,0.0
2023-01-22,100,-43.7,0,0,0,0.0
2023-01-23,100,135.5,0,0,0,0.0
2023-01-24,100,-49.4,0,0,0,0.0
2023-01-25,99.9,30.8,3,0,0,0.0
2023-01-26,100,88.0,0,0,0,0.0
2023-01-27,99.9,61.0,3,0,0,0.0
2023-01-28,100,70.1,0,0,0,0.0
2023-01-29,100,84.7,0,0,0,0.0
2023-01-30,100.0,26.4,2,0,0,0.0
2023-01-31,100,59.5,0,0,0,0.0
2023-02-01,100.0,47.5,1,0,1,0.0
2023-02-02,100.0,37.6,1,0,0,0.0
2023-02-03,100,149.8,0,0,0,0.0
2023-02-04,100,28.4,0,0,0,0.0
2023-02-05,100,106.3,0,0,0,0.0
2023-02-06,100,68.1,0,0,0,5.0
2023-02-07,99.8,104.3,4,0,1,0.0
2023-02-08,99.9,177.3,1,0,0,0.0
2023-02-09,100.0,-240.7,1,0,0,0.0
2023-02-10,100.0,290.1,1,0,1,0.0
2023-02-11,100,-8.2,0,0,0,0.0
2023-02-12,100,117.1,0,0,0,0.0
2023-02-13,100,-205.3,0,0,0,0.0
2023-02-14,100.0,241.1,3,0,0,0.0
2023-02-15,100.0,-90.3,2,0,1,0.0
2023-02-16,100.0,54.7,2,0,1,0.0
2023-02-17,100.0,136.0,2,0,0,0.0
2023-02-18,100.0,86.1,2,0,1,0.0
2023-02-19,100.0,152.2,2,0,2,0.0
2023-02-20,100.0,69.1,2,0,0,0.0
2023-02-21,100.0,-89.2,1,0,0,0.0
2023-02-22,100.0,-465.2,1,0,1,0.0
2023-02-23,100.0,430.8,2,0,3,0.0
2023-02-24,100.0,121.7,2,0,1,0.0
2023-02-25,100.0,160.0,1,0,0,0.0
2023-02-26,100.0,143.3,2,0,0,0.0
2023-02-27,100.0,89.3,1,0,0,0.0
2023-02-28,100.0,150.8,1,0,0,0.0
