fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,99.2,1008.3,3,0,2,30.0
2023-01-02,99.6,1010.3,1,0,4,35.0
2023-01-03,99.2,1006.8,2,0,1,30.0
2023-01-04,99.6,1007.8,1,0,1,30.0
2023-01-05,99.2,1008.7,2,0,2,35.0
2023-01-06,99.2,1011.4,2,0,2,30.0
2023-01-07,99.6,1016.0,1,0,0,30.0
2023-01-08,99.2,1008.4,2,0,0,35.0
2023-01-09,99.6,1012.3,1,0,0,35.0
2023-01-10,99.2,999.1,2,0,0,35.0
2023-01-11,99.2,997.0,2,0,0,35.0
2023-01-12,99.6,1007.1,1,0,1,35.0
2023-01-13,99.2,1006.7,2,0,2,35.0
2023-01-14,99.2,1001.9,2,0,1,35.0
2023-01-15,99.6,1006.7,1,0,1,35.0
2023-01-16,99.2,1006.1,2,0,0,30.0
2023-01-17,99.2,1004.5,2,0,1,35.0
2023-01-18,99.6,1009.6,1,0,1,30.0
2023-01-19,99.2,1005.9,2,0,1,30.0
2023-01-20,99.2,1006.3,3,0,2,30.0
2023-01-21,99.6,1012.9,1,0,1,30.0
2023-01-22,99.2,1011.3,2,0,2,30.0
2023-01-23,99.2,1006.5,2,0,1,35.0
2023-01-24,99.6,1010.7,1,0,1,30.0
2023-01-25,99.2,1017.7,3,0,1,30.0
2023-01-26,99.2,1016.4,2,0,1,30.0
2023-01-27,99.2,1013.4,3,0,2,30.0
2023-01-28,99.6,1018.5,1,0,1,30.0
2023-01-29,99.2,1009.8,2,0,0,30.0
2023-01-30,99.2,1009.5,2,0,0,30.0
2023-01-31,99.6,1024.2,1,0,0,30.0
2023-02-01,99.2,1011.4,2,0,2,30.0
2023-02-02,99.2,1009.7,2,0,0,30.0
2023-02-03,99.6,1021.0,1,0,1,30.0
2023-02-04,99.2,1010.1,2,0,1,30.0
2023-02-05,99.4,1014.1,2,0,0,35.0
2023-02-06,99.4,1020.2,2,0,1,25.0
2023-02-07,99.0,1008.9,5,0,4,30.0
2023-02-08,99.6,1022.5,1,0,1,30.0
2023-02-09,99.2,1022.4,2,0,0,30.0
2023-02-10,99.2,1019.9,2,0,2,30.0
2023-02-11,99.6,1027.2,1,0,0,30.0
2023-02-12,99.2,1020.9,2,0,1,30.0
2023-02-13,99.6,1019.2,1,0,1,30.0
2023-02-14,99.2,1023.2,3,0,0,30.0
2023-02-15,99.2,1020.5,4,1,4,30.0
2023-02-16,99.6,1019.8,2,0,2,30.0
2023-02-17,99.2,1022.0,2,0,0,30.0
2023-02-18,99.2,1019.7,3,0,1,30.0
2023-02-19,99.6,1025.2,1,0,0,30.0
2023-02-20,99.2,1018.1,2,0,1,30.0
2023-02-21,99.2,1020.0,2,0,1,30.0
2023-02-22,99.6,1026.4,1,0,0,30.0
2023-02-23,99.2,1023.6,2,0,0,30.0
2023-02-24,99.2,1021.4,2,0,3,30.0
2023-02-25,99.6,1030.3,1,0,0,30.0
2023-02-26,99.2,1021.3,2,0,0,30.0
2023-02-27,99.6,1019.4,1,0,0,30.0
2023-02-28,99.2,1025.5,2,0,1,30.0
2023-03-01,99.2,1021.5,3,0,1,30.0
2023-03-02,99.6,1019.2,2,0,4,30.0
2023-03-03,99.2,1033.2,2,0,1,30.0
2023-03-04,99.2,1022.9,2,0,2,30.0
2023-03-05,99.6,1031.0,1,0,1,30.0
2023-03-06,99.2,1023.0,2,0,1,30.0
2023-03-07,99.2,1018.9,2,0,2,30.0
2023-03-08,99.6,1028.0,1,0,0,30.0
2023-03-09,99.2,1012.4,2,0,2,30.0
2023-03-10,99.6,1023.4,1,0,4,30.0
2023-03-11,99.2,1019.8,2,0,3,30.0
2023-03-12,99.6,1014.5,1,0,4,40.0
2023-03-13,99.2,1021.5,2,0,3,35.0
2023-03-14,99.2,1014.6,2,0,1,35.0
2023-03-15,99.6,1021.7,1,0,1,30.0
2023-03-16,99.2,1015.6,2,0,1,35.0
2023-03-17,99.6,1017.1,1,0,1,30.0
2023-03-18,99.2,1019.2,2,0,5,30.0
2023-03-19,99.2,1012.6,2,0,2,30.0
2023-03-20,99.6,1022.3,1,0,0,30.0
2023-03-21,99.2,1012.9,2,0,3,30.0
2023-03-22,99.6,1008.5,1,0,0,30.0
2023-03-23,99.2,1023.5,2,0,0,30.0
2023-03-24,99.2,1012.8,2,0,0,30.0
2023-03-25,99.6,1025.3,1,0,2,30.0
2023-03-26,99.2,1019.9,2,0,1,30.0
2023-03-27,99.2,1017.2,3,0,3,30.0
2023-03-28,99.6,1026.7,2,0,0,30.0
2023-03-29,99.2,1015.4,2,0,0,30.0
2023-03-30,99.6,1015.2,3,0,3,30.0
2023-03-31,99.2,1021.7,2,0,0,30.0
2023-04-01,99.2,1012.9,2,0,1,30.0
2023-04-02,99.6,1023.2,1,0,2,30.0
2023-04-03,99.2,1008.9,2,0,0,30.0
2023-04-04,99.6,1016.9,1,0,1,30.0
2023-04-05,99.2,1022.6,3,0,0,30.0
2023-04-06,99.2,1013.4,2,0,0,30.0
2023-04-07,99.6,1014.5,1,0,2,30.0
2023-04-08,99.2,1006.9,2,0,1,30.0
2023-04-09,99.6,1018.9,1,0,1,30.0
2023-04-10,99.2,1012.7,2,0,0,30.0
2023-04-11,99.6,1017.0,1,0,0,30.0
2023-04-12,99.2,1022.0,2,0,0,30.0
2023-04-13,99.2,1012.3,2,0,2,30.0
2023-04-14,99.6,1024.8,1,0,1,30.0
2023-04-15,99.2,1012.6,2,0,1,30.0
2023-04-16,99.6,1006.8,1,0,0,35.0
2023-04-17,99.1,1008.1,5,0,2,30.0
2023-04-18,99.2,1004.0,2,0,4,30.0
2023-04-19,99.5,1014.7,3,0,3,30.0
2023-04-20,99.2,1011.8,2,0,1,30.0
2023-04-21,99.6,1012.0,1,0,2,30.0
2023-04-22,99.2,1015.7,2,0,1,35.0
2023-04-23,99.2,1007.5,2,0,1,35.0
2023-04-24,99.6,999.2,1,0,2,35.0
2023-04-25,99.2,1004.2,2,0,1,35.0
2023-04-26,99.6,1013.2,1,0,0,35.0
2023-04-27,99.2,1023.0,4,0,1,35.0
2023-04-28,99.2,1010.5,2,0,2,30.0
2023-04-29,99.6,1002.5,1,0,1,35.0
2023-04-30,99.2,1004.1,2,0,3,35.0
2023-05-01,99.2,986.1,2,0,0,40.0
2023-05-02,99.6,1006.8,1,0,1,40.0
2023-05-03,99.2,1004.8,2,0,2,30.0
2023-05-04,99.6,1011.9,1,0,0,30.0
2023-05-05,99.2,1021.6,2,0,1,30.0
2023-05-06,99.2,1012.6,2,0,1,30.0
2023-05-07,99.6,1021.0,1,0,1,30.0
2023-05-08,99.2,1017.7,2,0,0,30.0
2023-05-09,99.2,1018.9,2,0,1,30.0
2023-05-10,99.6,1024.2,1,0,1,35.0
2023-05-11,99.1,1006.7,3,0,2,30.0
2023-05-12,99.2,1005.0,2,0,1,30.0
2023-05-13,99.6,1029.7,1,0,0,30.0
2023-05-14,99.2,1016.0,2,0,3,30.0
2023-05-15,99.6,1021.9,1,0,0,35.0
2023-05-16,99.2,1007.0,2,0,1,35.0
2023-05-17,99.2,1003.5,2,0,2,40.0
2023-05-18,99.6,1013.3,1,0,0,40.0
2023-05-19,99.2,1012.1,2,0,1,30.0
2023-05-20,99.2,1009.8,2,0,0,30.0
2023-05-21,99.6,1015.9,1,0,1,35.0
2023-05-22,99.2,1004.1,2,0,4,35.0
2023-05-23,99.2,1006.1,2,0,1,35.0
2023-05-24,99.6,1014.9,1,0,1,40.0
2023-05-25,99.2,1010.6,2,0,7,25.0
2023-05-26,99.2,1001.3,2,0,5,40.0
2023-05-27,99.6,995.1,1,0,3,40.0
2023-05-28,99.1,1005.2,2,0,3,30.0
2023-05-29,99.2,1011.8,3,0,1,40.0
2023-05-30,99.6,1002.0,1,0,5,35.0
2023-05-31,99.2,1003.6,2,0,2,40.0
2023-06-01,99.6,1012.7,1,0,1,35.0
2023-06-02,99.2,1000.0,2,0,3,40.0
2023-06-03,99.2,1001.8,2,0,1,40.0
2023-06-04,99.6,1015.3,1,0,1,40.0
2023-06-05,99.2,995.7,2,0,1,40.0
2023-06-06,99.6,999.2,1,0,3,40.0
2023-06-07,99.2,1004.0,2,0,1,40.0
2023-06-08,99.2,1010.4,2,0,0,30.0
2023-06-09,99.6,996.9,1,0,3,35.0
2023-06-10,99.2,1006.6,2,0,3,35.0
2023-06-11,99.2,996.5,3,0,0,40.0
2023-06-12,99.6,1012.9,1,0,2,35.0
2023-06-13,99.2,1005.2,2,0,1,30.0
2023-06-14,99.6,1019.9,1,0,1,30.0
2023-06-15,99.2,1003.2,2,0,0,30.0
2023-06-16,99.2,1002.4,3,0,1,30.0
2023-06-17,99.2,1005.7,3,0,1,35.0
2023-06-18,99.6,1003.9,1,0,0,35.0
2023-06-19,99.2,1005.6,2,0,3,35.0
2023-06-20,99.6,1015.6,1,0,2,30.0
2023-06-21,99.2,1019.4,4,2,0,30.0
2023-06-22,99.2,1015.4,2,2,0,35.0
2023-06-23,99.2,1010.2,2,0,0,35.0
2023-06-24,99.6,1010.7,1,0,0,35.0
2023-06-25,99.2,1003.6,2,0,1,35.0
2023-06-26,99.6,1012.0,1,0,0,35.0
2023-06-27,99.2,1007.3,2,0,2,40.0
2023-06-28,99.2,1007.9,2,0,0,40.0
2023-06-29,99.6,1015.7,2,0,0,35.0
2023-06-30,99.2,1017.6,3,0,2,35.0
2023-07-01,99.6,1021.1,2,0,2,35.0
2023-07-02,99.2,1008.0,2,0,2,35.0
2023-07-03,99.2,994.2,2,0,0,35.0
2023-07-04,99.6,1017.1,1,0,2,35.0
2023-07-05,99.2,1002.2,3,0,0,35.0
2023-07-06,99.6,1019.1,2,0,0,35.0
2023-07-07,99.2,1008.4,3,0,1,35.0
2023-07-08,99.2,1008.4,2,0,1,35.0
2023-07-09,99.6,1004.5,1,0,2,35.0
2023-07-10,99.2,1004.7,2,0,4,35.0
2023-07-11,99.6,1013.5,2,0,1,35.0
2023-07-12,99.2,1012.4,3,0,1,30.0
2023-07-13,99.1,1003.0,5,0,2,35.0
2023-07-14,99.6,1019.9,2,0,3,35.0
2023-07-15,99.2,1006.0,2,0,1,35.0
2023-07-16,99.2,1009.7,2,0,2,35.0
2023-07-17,99.6,1007.4,2,0,2,35.0
2023-07-18,99.2,1004.1,2,0,2,35.0
2023-07-19,99.2,1005.6,3,0,3,35.0
2023-07-20,99.6,1020.8,1,0,0,30.0
2023-07-21,99.2,1010.7,2,0,1,35.0
2023-07-22,99.6,1031.4,1,0,1,35.0
2023-07-23,99.2,1009.7,2,0,0,35.0
2023-07-24,99.2,1009.0,5,0,1,35.0
2023-07-26,99.2,1011.3,3,0,1,35.0
2023-07-27,99.2,1008.1,2,0,0,35.0
2023-07-28,99.6,1015.0,1,0,1,35.0
2023-07-29,99.2,1015.2,2,0,0,35.0
2023-07-30,99.6,1026.1,1,0,3,30.0
2023-07-31,99.2,1022.9,2,0,0,35.0
2023-08-01,99.2,1016.3,3,0,0,30.0
2023-08-02,99.2,1015.9,3,0,0,30.0
2023-08-03,99.6,1015.7,2,0,3,35.0
2023-08-04,99.2,1015.3,4,0,1,30.0
2023-08-05,99.2,1021.3,2,0,3,30.0
2023-08-06,99.6,1031.2,1,0,3,30.0
2023-08-07,99.2,1015.9,2,0,0,30.0
2023-08-08,99.2,1007.9,3,0,0,35.0
2023-08-09,99.6,1032.2,2,0,1,35.0
2023-08-10,99.2,1019.0,3,0,2,35.0
2023-08-11,99.2,1019.8,3,0,4,35.0
2023-08-12,99.2,1030.3,2,0,1,35.0
2023-08-13,99.6,1019.8,1,0,1,35.0
2023-08-14,99.6,1013.6,3,0,1,30.0
