fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,100.0,-26458.3,1,0,0,80.0
2023-01-02,100,-26401.6,0,0,0,80.0
2023-01-03,100,-26400.0,0,0,0,80.0
2023-01-04,100,-26255.8,0,0,1,80.0
2023-01-05,100,-26339.6,0,0,0,85.0
2023-01-06,100,-26458.8,0,0,0,80.0
2023-01-07,100,-26396.4,0,0,0,80.0
2023-01-08,100,-26419.7,0,0,0,80.0
2023-01-09,100,-26406.6,0,0,0,80.0
2023-01-10,100,-26353.9,0,0,1,85.0
2023-01-11,100,-26303.2,0,0,0,85.0
2023-01-12,100,-26263.3,0,0,1,80.0
2023-01-13,100,-26330.3,0,0,0,80.0
2023-01-14,100,-26369.8,0,0,0,85.0
2023-01-15,100,-26302.5,0,0,0,85.0
2023-01-16,100,-26328.2,0,0,0,85.0
2023-01-17,100,-26344.0,0,0,0,85.0
2023-01-18,100,-26356.9,0,0,0,85.0
2023-01-19,100,-26257.4,0,0,0,80.0
2023-01-20,100.0,-26228.6,1,0,0,85.0
2023-01-21,100,-26390.6,0,0,0,85.0
2023-01-22,100,-26381.1,0,0,0,80.0
2023-01-23,100,-26215.9,0,0,0,80.0
2023-01-24,100,-26132.2,0,0,1,80.0
2023-01-25,100.0,-26114.9,2,0,0,80.0
2023-01-26,100,-26123.4,0,0,1,85.0
2023-01-27,100.0,-26125.6,1,0,0,85.0
2023-01-28,100,-26099.0,0,0,1,85.0
2023-01-29,100,-26077.4,0,0,1,85.0
2023-01-30,100.0,-26090.6,1,0,1,90.0
2023-01-31,100,-26108.8,0,0,0,85.0
2023-02-01,100,-26139.6,0,0,3,85.0
2023-02-02,100,-26092.5,0,0,0,80.0
2023-02-03,100,-26151.1,0,0,1,80.0
2023-02-04,100,-26143.7,0,0,0,80.0
2023-02-05,100,-26108.7,0,0,0,80.0
2023-02-06,100,-26070.3,0,0,0,80.0
2023-02-07,98.4,-26006.3,1,0,1,85.0
2023-02-08,100,-26017.2,0,0,0,85.0
2023-02-09,100,-26033.1,0,0,1,80.0
2023-02-10,100,-26040.0,0,0,1,80.0
2023-02-11,100,-26027.8,0,0,0,80.0
2023-02-12,100,-26125.0,0,0,1,80.0
2023-02-13,100,-26087.0,0,0,0,80.0
2023-02-14,100.0,-26139.0,1,0,0,80.0
2023-02-15,100.0,-26120.8,2,0,1,85.0
2023-02-16,100.0,-26043.7,1,0,1,80.0
2023-02-17,100,-25983.8,0,0,1,80.0
2023-02-18,100.0,-25898.0,1,0,1,85.0
2023-02-19,100.0,-25967.7,1,0,0,80.0
2023-02-20,100.0,-26042.0,1,0,0,80.0
2023-02-21,33.4,-25983.5,1,0,0,80.0
2023-02-22,0,-9,0,0,0,-9
2023-02-23,0,-9,0,0,0,-9
2023-02-24,0,-9,0,0,0,-9
2023-02-25,0,-9,0,0,0,-9
2023-02-26,0,-9,0,0,0,-9
