fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-11-07,0,-9,0,0,0,-9
2023-11-08,0,-9,0,0,0,-9
2023-11-09,0,-9,0,0,0,-9
2023-11-10,14.5,4644.8,1,0,0,0.0
2023-11-11,100,-126.1,0,0,0,0.0
2023-11-12,100.0,-57.2,3,0,0,0.0
2023-11-13,100.0,-479.2,2,0,0,0.0
2023-11-14,100.0,-229.6,1,0,0,0.0
2023-11-15,100.0,1003.1,1,0,0,0.0
2023-11-16,100.0,-679.4,1,0,0,0.0
2023-11-17,100.0,-393.8,5,0,1,0.0
2023-11-18,100.0,212.7,1,0,1,0.0
2023-11-19,100.0,157.4,2,0,0,0.0
2023-11-20,99.9,-419.1,4,0,0,0.0
2023-11-21,100.0,-250.4,2,0,0,0.0
2023-11-22,100.0,119.0,1,0,3,0.0
2023-11-23,100.0,-240.8,3,0,0,0.0
2023-11-24,88.6,-699.2,2,0,3,0.0
