fecha,disponibilidad,offs,num_gaps,num_overlaps,peaks,p_ppsd
2023-01-01,51.7,-3279274.1,2,0,0,70.0
2023-01-02,49.8,-3291282.4,1,0,0,65.0
2023-01-03,52.4,-3296610.4,1,0,0,55.0
2023-01-04,53.9,-3307251.9,1,0,0,40.0
2023-01-05,51.3,-3311476.0,1,0,0,70.0
2023-01-06,49.5,-3315279.7,1,0,0,70.0
2023-01-07,51.5,-3315233.9,1,0,0,55.0
2023-01-08,52.1,-3316835.8,1,0,0,60.0
2023-01-09,50.9,-3319870.5,1,0,0,60.0
2023-01-10,52.6,-3318860.3,1,0,0,45.0
2023-01-11,52.8,-3318215.1,1,0,0,45.0
2023-01-12,42.3,-3345225.6,1,0,0,75.0
2023-01-13,50.9,-3332438.9,1,0,0,40.0
2023-01-14,50.0,-3332755.6,1,0,0,65.0
2023-01-15,53.0,-3326920.2,1,0,0,60.0
2023-01-16,50.6,-3330391.7,1,0,0,60.0
2023-01-17,54.1,-3320295.7,1,0,0,40.0
2023-01-18,51.4,-3320858.9,1,0,0,60.0
2023-01-19,47.4,-3375930.2,1,0,0,70.0
2023-01-20,52.4,-3367825.4,1,1,0,40.0
2023-01-21,47.2,-3375377.7,1,0,0,70.0
2023-01-22,49.0,-3377972.7,1,0,0,70.0
2023-01-23,54.5,-3361361.1,1,0,0,40.0
2023-01-24,50.1,-3360354.0,1,0,0,55.0
2023-01-25,52.8,-3352428.2,1,2,0,60.0
2023-01-26,50.5,-3350630.8,1,0,0,50.0
2023-01-27,52.1,-3340599.3,1,1,0,60.0
2023-01-28,52.7,-3330863.8,1,0,0,45.0
2023-01-29,53.4,-3322784.1,1,0,0,50.0
2023-01-30,56.7,-3309171.5,1,1,0,40.0
2023-01-31,53.7,-3301847.0,1,0,0,40.0
2023-02-01,53.1,-3292319.5,1,0,0,40.0
2023-02-02,53.1,-3330366.8,2,0,0,45.0
2023-02-03,54.6,-3330203.1,1,0,0,40.0
2023-02-04,53.5,-3325617.6,1,0,0,40.0
2023-02-05,55.2,-3321753.1,1,0,0,40.0
2023-02-06,56.1,-3317326.2,1,0,0,40.0
2023-02-07,53.7,-3314924.3,1,1,0,40.0
2023-02-08,54.0,-3308671.3,1,0,0,40.0
2023-02-09,54.7,-3302326.5,1,0,0,40.0
2023-02-10,56.2,-3336160.5,1,0,0,40.0
2023-02-11,56.1,-3309896.0,1,0,0,40.0
2023-02-12,50.1,-3303996.3,1,0,0,65.0
2023-02-13,54.7,-3293158.8,1,0,0,40.0
2023-02-14,44.7,-3304052.6,1,1,0,70.0
2023-02-15,50.6,-3294660.8,1,2,0,40.0
2023-02-16,53.1,-3326139.1,1,1,0,40.0
2023-02-17,54.6,-3336005.0,1,0,0,40.0
2023-02-18,50.3,-3357091.0,1,1,0,60.0
2023-02-19,53.0,-3375394.9,2,1,0,40.0
2023-02-20,55.3,-3305806.8,1,1,0,40.0
2023-02-21,49.7,-3296823.4,1,0,0,55.0
2023-02-22,48.2,-3297584.6,1,0,0,70.0
2023-02-23,49.8,-3305269.0,1,0,0,45.0
2023-02-24,52.0,-3298971.2,1,0,0,40.0
2023-02-25,52.3,-3289910.9,1,1,0,50.0
2023-02-26,53.7,-3284946.6,1,1,0,40.0
2023-02-27,53.5,-3283429.8,1,0,0,40.0
2023-02-28,54.5,-3274287.4,1,0,0,40.0
2023-03-01,55.0,-3261140.4,1,1,0,40.0
2023-03-02,54.6,-3246704.1,1,0,0,40.0
2023-03-03,48.9,-3267345.3,2,0,0,60.0
2023-03-04,52.9,-3284914.5,1,0,0,60.0
2023-03-05,45.5,-3299644.8,1,0,0,70.0
2023-03-06,52.1,-3289153.2,2,0,0,45.0
2023-03-07,53.3,-3298284.2,1,0,0,45.0
2023-03-08,53.4,-3303471.3,1,0,0,40.0
2023-03-09,48.6,-3318776.0,1,0,0,55.0
2023-03-10,46.6,-3330273.4,1,0,0,60.0
2023-03-11,43.9,-3343862.2,1,0,0,65.0
2023-03-12,49.0,-3354567.3,1,0,0,55.0
2023-03-13,45.8,-3360081.7,1,0,0,70.0
2023-03-14,48.0,-3357856.9,1,0,0,65.0
2023-03-15,47.3,-3366202.6,1,0,0,65.0
