fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-11-07,0,-9,0,[],0,0,[],-9
2023-11-08,0,-9,0,[],0,0,[],-9
2023-11-09,0,-9,0,[],0,0,[],-9
2023-11-10,0,-9,0,[],0,0,[],-9
2023-11-11,0,-9,0,[],0,0,[],-9
2023-11-12,0,-9,0,[],0,0,[],-9
2023-11-13,0,-9,0,[],0,0,[],-9
2023-11-14,32.0,-1250.1,1,2023-11-14-0-0-0-0-58732.81_,0,0,[],0.0
2023-11-15,100,167.7,0,[],0,2,2023-11-15-16-28-18-760000_2023-11-15-21-31-31-110000_,0.0
2023-11-16,100,-252.0,0,[],0,4,2023-11-16-5-34-40-670000_2023-11-16-13-38-22-970000_2023-11-16-17-31-45-170000_2023-11-16-23-44-8-70000_,0.0
2023-11-17,100.0,-208.3,2,2023-11-17-0-0-0-0-3.6_2023-11-17-22-44-25-810000-4.120000123977661_,0,5,2023-11-17-10-1-22-350000_2023-11-17-10-3-20-500000_2023-11-17-17-44-15-450000_2023-11-17-17-47-47-900000_2023-11-17-22-9-19-650000_,0.0
2023-11-18,100,-179.8,0,[],0,9,2023-11-18-8-17-36-890000_2023-11-18-8-20-15-590000_2023-11-18-11-46-0-940000_2023-11-18-11-46-54-340000_2023-11-18-14-39-19-140000_2023-11-18-14-40-9-540000_2023-11-18-17-17-58-840000_2023-11-18-22-35-28-190000_2023-11-18-22-36-18-590000_,5.0
2023-11-19,100.0,-32.1,1,2023-11-19-2-26-8-680000-4.119999885559082_,0,2,2023-11-19-8-41-5-210000_2023-11-19-8-42-14-960000_,0.0
2023-11-20,100.0,-384.5,1,2023-11-20-1-42-42-280000-12.359999895095825_,0,3,2023-11-20-5-53-36-550000_2023-11-20-12-17-25-500000_2023-11-20-22-22-42-250000_,0.0
2023-11-21,100.0,-119.2,1,2023-11-21-0-0-0-0-2.89_,0,1,2023-11-21-22-37-12-640000_,0.0
2023-11-22,97.8,-118.4,2,2023-11-22-11-26-22-480000-1853.340000152588_2023-11-22-23-2-5-240000-22.55999994277954_,0,3,2023-11-22-3-55-43-870000_2023-11-22-4-19-42-70000_2023-11-22-10-27-13-870000_,0.0
2023-11-23,100.0,-93.1,2,2023-11-23-0-0-0-0-2.19_2023-11-23-22-50-27-380000-16.480000019073486_,0,0,[],0.0
2023-11-24,100.0,-295.2,2,2023-11-24-0-0-0-0-0.25_2023-11-24-22-21-50-720000-3.799999952316284_,0,3,2023-11-24-21-41-41-400000_2023-11-24-22-36-37-80000_2023-11-24-22-49-19-880000_,5.0
