fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,580.8,1,2023-1-1-0-0-0-0-2.76_,0,0,[],0.0
2023-01-02,100,-2849.8,0,[],0,0,[],0.0
2023-01-03,100,-1458.6,0,[],0,0,[],0.0
2023-01-04,100,16.6,0,[],0,0,[],0.0
2023-01-05,100.0,-439.9,1,2023-1-5-0-53-25-290000-8.240000009536743_,0,0,[],0.0
2023-01-06,100,845.8,0,[],0,0,[],0.0
2023-01-07,100,-3631.3,0,[],0,0,[],0.0
2023-01-08,100,-102.6,0,[],0,0,[],0.0
2023-01-09,100,200.8,0,[],0,0,[],0.0
2023-01-10,100,-852.8,0,[],0,0,[],0.0
2023-01-11,100,-1323.2,0,[],0,0,[],0.0
2023-01-12,100,-1516.4,0,[],0,0,[],0.0
2023-01-13,100,317.2,0,[],0,0,[],0.0
2023-01-14,100,698.5,0,[],0,1,2023-1-14-11-33-9-760000_,0.0
2023-01-15,100,225.3,0,[],0,0,[],0.0
2023-01-16,100,860.2,0,[],0,0,[],0.0
2023-01-17,100,-1838.5,0,[],0,0,[],0.0
2023-01-18,100,163.3,0,[],0,0,[],0.0
2023-01-19,100,-60.5,0,[],0,0,[],0.0
2023-01-20,100.0,-93.1,1,2023-1-20-16-28-50-960000-8.239999771118164_,0,0,[],0.0
2023-01-21,100,1155.2,0,[],0,0,[],0.0
2023-01-22,100,420.1,0,[],0,0,[],0.0
2023-01-23,100,-247.2,0,[],0,0,[],0.0
2023-01-24,100,546.9,0,[],0,0,[],0.0
2023-01-25,100.0,165.4,2,2023-1-25-14-48-53-620000-20.600000143051147_2023-1-25-14-51-47-580000-7.579999923706055_,0,0,[],0.0
2023-01-26,100,818.1,0,[],0,2,2023-1-26-2-34-47-400000_2023-1-26-4-32-23-650000_,0.0
2023-01-27,100,865.3,0,[],0,1,2023-1-27-4-36-0-380000_,0.0
2023-01-28,100,110.3,0,[],0,0,[],0.0
2023-01-29,99.9,974.1,1,2023-1-29-17-50-10-160000-90.6399998664856_,0,1,2023-1-29-2-5-45-860000_,0.0
2023-01-30,100.0,515.4,1,2023-1-30-16-42-2-980000-8.240000009536743_,0,0,[],0.0
2023-01-31,100,-501.0,0,[],0,0,[],0.0
2023-02-01,100,66.2,0,[],0,0,[],0.0
2023-02-02,100,590.2,0,[],0,0,[],0.0
2023-02-03,100,1062.2,0,[],0,0,[],0.0
