fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-202.0,1,2023-1-1-0-0-0-0-0.7_,0,0,[],5.0
2023-01-02,100,-1231.5,0,[],0,1,2023-1-2-5-38-57-410000_,5.0
2023-01-03,100,-425.3,0,[],0,0,[],5.0
2023-01-04,100,4369.5,0,[],0,3,2023-1-4-12-56-0-440000_2023-1-4-12-56-50-540000_2023-1-4-14-43-32-90000_,20.0
2023-01-05,100,-286.7,0,[],0,5,2023-1-5-0-24-46-350000_2023-1-5-7-58-1-350000_2023-1-5-7-59-1-300000_2023-1-5-8-6-59-600000_2023-1-5-11-4-39-200000_,20.0
2023-01-06,100,-298.0,0,[],0,0,[],5.0
2023-01-07,100,-324.4,0,[],0,1,2023-1-7-20-0-1-950000_,5.0
2023-01-08,100,-201.3,0,[],0,1,2023-1-8-13-10-30-630000_,5.0
2023-01-09,100,-205.9,0,[],0,2,2023-1-9-5-43-50-20000_2023-1-9-19-3-31-920000_,10.0
2023-01-10,100,629.1,0,[],0,3,2023-1-10-7-57-40-940000_2023-1-10-7-58-31-140000_2023-1-10-7-59-21-290000_,15.0
2023-01-11,100,-563.2,0,[],0,4,2023-1-11-5-57-25-360000_2023-1-11-5-58-15-460000_2023-1-11-10-16-10-360000_2023-1-11-12-49-59-760000_,15.0
2023-01-12,100,-101.5,0,[],0,2,2023-1-12-2-55-0-750000_2023-1-12-23-17-54-450000_,15.0
2023-01-13,100,-239.4,0,[],0,6,2023-1-13-2-2-31-20000_2023-1-13-4-18-10-170000_2023-1-13-8-43-16-920000_2023-1-13-8-44-6-970000_2023-1-13-8-44-57-370000_2023-1-13-16-42-24-720000_,15.0
2023-01-14,100,-364.4,0,[],0,2,2023-1-14-2-26-49-70000_2023-1-14-18-19-12-120000_,5.0
2023-01-15,100,-436.7,0,[],0,2,2023-1-15-4-4-27-690000_2023-1-15-22-23-19-140000_,10.0
2023-01-16,100,-414.9,0,[],1,2,2023-1-16-1-8-23-20000_2023-1-16-1-21-35-820000_,15.0
2023-01-17,100,-387.0,0,[],0,0,[],0.0
2023-01-18,100,-322.4,0,[],0,2,2023-1-18-8-0-47-210000_2023-1-18-8-7-45-610000_,5.0
2023-01-19,100,-262.9,0,[],0,1,2023-1-19-5-56-47-320000_,5.0
2023-01-20,100.0,-415.6,1,2023-1-20-16-28-49-830000-11.019999742507935_,0,14,2023-1-20-9-45-46-70000_2023-1-20-9-46-36-220000_2023-1-20-11-29-44-970000_2023-1-20-11-30-42-220000_2023-1-20-11-31-36-420000_2023-1-20-15-10-21-920000_2023-1-20-15-11-35-20000_2023-1-20-22-20-30-410000_2023-1-20-22-21-28-910000_2023-1-20-22-26-52-660000_2023-1-20-22-29-34-60000_2023-1-20-22-30-26-460000_2023-1-20-22-31-29-110000_2023-1-20-22-32-20-810000_,10.0
2023-01-21,100,-149.5,0,[],0,1,2023-1-21-0-35-31-680000_,0.0
2023-01-22,100,-157.5,0,[],0,1,2023-1-22-4-47-25-570000_,0.0
2023-01-23,100,-159.4,0,[],0,8,2023-1-23-3-6-3-910000_2023-1-23-3-7-11-210000_2023-1-23-3-12-21-760000_2023-1-23-3-13-19-10000_2023-1-23-4-22-56-460000_2023-1-23-4-23-46-660000_2023-1-23-12-38-36-210000_2023-1-23-12-40-2-210000_,10.0
2023-01-24,100,-82.6,0,[],0,0,[],0.0
2023-01-25,100.0,-76.5,2,2023-1-25-14-48-55-940000-20.139999866485596_2023-1-25-14-51-47-200000-7.940000057220459_,0,0,[],0.0
2023-01-26,100,-19.2,0,[],0,1,2023-1-26-9-39-2-980000_,0.0
2023-01-27,100.0,12.8,1,2023-1-27-14-50-13-560000-19.27999997138977_,0,15,2023-1-27-4-36-5-550000_2023-1-27-13-56-50-350000_2023-1-27-13-58-45-250000_2023-1-27-14-0-2-850000_2023-1-27-17-44-50-0_2023-1-27-18-26-51-550000_2023-1-27-18-28-45-700000_2023-1-27-20-4-54-450000_2023-1-27-20-16-27-750000_2023-1-27-20-49-27-0_2023-1-27-20-50-18-750000_2023-1-27-21-28-32-100000_2023-1-27-21-29-22-200000_2023-1-27-22-25-21-100000_2023-1-27-23-5-31-850000_,20.0
2023-01-28,100,-20.2,0,[],0,19,2023-1-28-7-35-22-450000_2023-1-28-7-37-4-600000_2023-1-28-7-38-10-900000_2023-1-28-8-40-10-550000_2023-1-28-8-43-33-100000_2023-1-28-8-44-31-0_2023-1-28-13-43-6-0_2023-1-28-13-43-56-400000_2023-1-28-13-44-46-750000_2023-1-28-15-11-31-450000_2023-1-28-16-21-36-100000_2023-1-28-16-24-7-100000_2023-1-28-19-16-43-150000_2023-1-28-19-24-25-600000_2023-1-28-20-48-37-300000_2023-1-28-20-49-56-650000_2023-1-28-20-53-2-650000_2023-1-28-22-30-16-200000_2023-1-28-23-30-9-850000_,20.0
2023-01-29,100,-55.7,0,[],0,16,2023-1-29-3-52-36-800000_2023-1-29-3-53-27-0_2023-1-29-3-55-1-300000_2023-1-29-4-39-33-750000_2023-1-29-4-40-52-600000_2023-1-29-6-18-42-750000_2023-1-29-7-30-9-500000_2023-1-29-8-37-1-650000_2023-1-29-8-39-16-250000_2023-1-29-8-52-19-400000_2023-1-29-11-12-27-350000_2023-1-29-11-45-8-350000_2023-1-29-11-53-9-250000_2023-1-29-23-12-39-700000_2023-1-29-23-15-18-500000_2023-1-29-23-16-9-100000_,25.0
