fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-2740.2,1,2023-1-1-0-0-0-0-0.48_,0,0,[],35.0
2023-01-02,100,-2794.8,0,[],0,0,[],35.0
2023-01-03,100,-3923.3,0,[],0,0,[],35.0
2023-01-04,100,-4442.2,0,[],0,0,[],35.0
2023-01-05,100,-3612.0,0,[],0,0,[],35.0
2023-01-06,100,-3669.0,0,[],0,0,[],35.0
2023-01-07,100,-3594.9,0,[],0,0,[],35.0
2023-01-08,100,-3600.5,0,[],0,0,[],35.0
2023-01-09,100,-3552.9,0,[],0,0,[],35.0
2023-01-10,100,-3362.2,0,[],0,0,[],35.0
2023-01-11,100,-3231.1,0,[],0,0,[],35.0
2023-01-12,100,-3337.1,0,[],0,0,[],35.0
2023-01-13,98.9,-3190.5,2,2023-1-13-14-12-30-665000-260.22499990463257_2023-1-13-14-19-10-215000-707.7799997329712_,0,0,[],35.0
2023-01-14,100,-3155.5,0,[],0,0,[],35.0
2023-01-15,100,-2615.1,0,[],0,0,[],35.0
2023-01-16,100,-2947.5,0,[],0,0,[],35.0
2023-01-17,100,-3208.4,0,[],0,0,[],35.0
2023-01-18,100,-3609.3,0,[],0,0,[],35.0
2023-01-19,100,-3665.9,0,[],0,0,[],35.0
2023-01-20,100.0,-4738.9,1,2023-1-20-16-28-50-425000-10.569999933242798_,0,0,[],35.0
2023-01-21,100,-4130.6,0,[],0,0,[],35.0
2023-01-22,100,-3897.1,0,[],0,0,[],35.0
2023-01-23,100,-3942.4,0,[],0,0,[],35.0
2023-01-24,100,-3722.6,0,[],0,0,[],35.0
2023-01-25,100.0,-3866.6,2,2023-1-25-14-48-54-535000-21.384999752044678_2023-1-25-14-51-48-995000-6.43999981880188_,0,0,[],35.0
2023-01-26,100,-4133.0,0,[],0,0,[],35.0
2023-01-27,100.0,-3870.3,1,2023-1-27-14-50-15-375000-17.044999837875366_,0,0,[],35.0
2023-01-28,70.2,-5202.8,1,2023-1-28-16-50-14-955000-25785.045_,0,0,[],40.0
2023-01-29,9.5,-3234.3,3,2023-1-29-0-0-0-0-14557.415_2023-1-29-23-43-45-635000-974.365_2023-1-29-5-9-21-830000-62695.004999637604_,0,0,[],35.0
2023-01-30,43.5,-1836.9,3,2023-1-30-0-0-0-0-14509.74_2023-1-30-5-7-8-580000-34265.56999993324_2023-1-30-16-42-5-805000-9.694999933242798_,0,0,[],25.0
2023-01-31,100,-2917.2,0,[],0,0,[],35.0
2023-02-01,100,-2998.8,0,[],0,0,[],35.0
2023-02-02,100,-2699.3,0,[],0,0,[],35.0
2023-02-03,100,-3276.8,0,[],0,0,[],35.0
2023-02-04,100,-3136.5,0,[],0,0,[],35.0
2023-02-05,100,-3033.5,0,[],0,0,[],35.0
2023-02-06,100,-2826.8,0,[],0,0,[],40.0
2023-02-07,99.8,-2740.7,4,2023-2-7-14-32-15-555000-6.299999713897705_2023-2-7-14-35-1-490000-23.480000257492065_2023-2-7-14-36-25-45000-77.00999999046326_2023-2-7-14-41-17-700000-76.66999983787537_,0,0,[],35.0
2023-02-08,100,-2347.2,0,[],0,0,[],35.0
2023-02-09,100,-2855.3,0,[],0,0,[],35.0
2023-02-10,100,-2860.7,0,[],0,0,[],35.0
2023-02-11,100,-2644.9,0,[],1,0,[],35.0
2023-02-12,100,-2425.1,0,[],0,0,[],35.0
2023-02-13,100,-2590.2,0,[],0,0,[],35.0
2023-02-14,100.0,-2117.8,1,2023-2-14-16-4-22-985000-17.05999994277954_,0,0,[],35.0
2023-02-15,100.0,-2315.7,2,2023-2-15-15-56-37-535000-14.789999723434448_2023-2-15-19-41-0-35000-14.794999837875366_,0,0,[],35.0
2023-02-16,100.0,-3355.4,1,2023-2-16-0-24-57-880000-6.319999694824219_,0,0,[],35.0
2023-02-17,100,-2795.0,0,[],0,0,[],35.0
2023-02-18,100.0,-2436.6,1,2023-2-18-16-17-15-370000-14.164999961853027_,0,0,[],35.0
2023-02-19,100.0,-2486.9,1,2023-2-19-1-38-55-105000-8.59499979019165_,0,0,[],35.0
2023-02-20,100.0,-2906.4,1,2023-2-20-20-27-3-920000-10.87999963760376_,0,0,[],35.0
2023-02-21,100,-2302.3,0,[],0,0,[],35.0
2023-02-22,100,-2645.2,0,[],0,0,[],35.0
2023-02-23,100,-2708.5,0,[],0,0,[],35.0
2023-02-24,100,-3036.7,0,[],0,0,[],40.0
2023-02-25,99.7,-2852.1,1,2023-2-25-22-38-13-365000-267.00499987602234_,1,0,[],35.0
2023-02-26,100.0,-2098.2,1,2023-2-26-17-21-46-890000-6.210000038146973_,0,0,[],35.0
2023-02-27,100,-1691.6,0,[],0,0,[],35.0
2023-02-28,100,-2054.2,0,[],0,0,[],35.0
2023-03-01,65.1,-2919.8,1,2023-3-1-15-37-15-420000-30164.58_,0,0,[],35.0
