fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-5673.7,1,2023-1-1-0-0-0-0-1.86_,0,0,[],35.0
2023-01-02,100,-5514.5,0,[],0,0,[],35.0
2023-01-03,100,-2429.8,0,[],0,0,[],35.0
2023-01-04,100,-1060.2,0,[],0,0,[],35.0
2023-01-05,100,-3367.4,0,[],0,0,[],35.0
2023-01-06,100,-3318.0,0,[],0,0,[],35.0
2023-01-07,100,-3467.5,0,[],0,0,[],35.0
2023-01-08,100,-3473.9,0,[],0,0,[],35.0
2023-01-09,100,-3834.3,0,[],0,0,[],35.0
2023-01-10,100,-4187.2,0,[],0,0,[],35.0
2023-01-11,100,-4837.3,0,[],0,0,[],35.0
2023-01-12,100,-4541.8,0,[],0,0,[],35.0
2023-01-13,98.9,-5202.5,2,2023-1-13-14-12-29-880000-261.0499999523163_2023-1-13-14-19-11-395000-706.579999923706_,0,0,[],35.0
2023-01-14,100,-5235.2,0,[],0,0,[],35.0
2023-01-15,100,-6791.2,0,[],0,0,[],35.0
2023-01-16,100,-6007.0,0,[],0,0,[],35.0
2023-01-17,100,-5158.5,0,[],0,0,[],35.0
2023-01-18,100,-4189.8,0,[],0,0,[],35.0
2023-01-19,100,-3942.0,0,[],0,0,[],35.0
2023-01-20,100.0,-146.2,1,2023-1-20-16-28-50-775000-10.804999828338623_,0,0,[],35.0
2023-01-21,100,-1642.2,0,[],0,0,[],35.0
2023-01-22,100,-2528.8,0,[],0,0,[],35.0
2023-01-23,100,-2281.4,0,[],0,0,[],35.0
2023-01-24,100,-3120.4,0,[],0,0,[],35.0
2023-01-25,100.0,-2954.8,2,2023-1-25-14-48-54-995000-19.234999895095825_2023-1-25-14-51-49-75000-6.40999960899353_,0,0,[],35.0
2023-01-26,100,-2201.3,0,[],0,0,[],35.0
2023-01-27,100.0,-2714.5,1,2023-1-27-14-50-14-610000-17.140000104904175_,0,0,[],35.0
2023-01-28,70.2,2577.7,1,2023-1-28-16-50-13-240000-25786.76_,0,0,[],35.0
2023-01-29,4.8,-5170.4,3,2023-1-29-0-0-0-0-18155.83_2023-1-29-23-43-43-995000-976.005_2023-1-29-5-2-38-50000-63098.90499997139_,1,0,[],75.0
2023-01-30,36.0,-7358.8,3,2023-1-30-0-0-0-0-14507.925_2023-1-30-5-7-7-765000-36966.81500005722_2023-1-30-15-38-14-660000-3841.319999694824_,2,0,[],15.0
2023-01-31,100,-3861.8,0,[],0,0,[],35.0
2023-02-01,100,-3437.6,0,[],0,0,[],35.0
2023-02-02,100,-4389.3,0,[],0,0,[],35.0
2023-02-03,100,-2805.3,0,[],1,0,[],35.0
2023-02-04,100,-3240.4,0,[],0,0,[],35.0
2023-02-05,100,-3292.7,0,[],0,0,[],35.0
2023-02-06,100,-3846.9,0,[],0,0,[],40.0
2023-02-07,99.8,-4258.3,4,2023-2-7-14-32-15-500000-6.479999780654907_2023-2-7-14-35-2-955000-22.014999866485596_2023-2-7-14-36-26-530000-76.72499990463257_2023-2-7-14-41-16-405000-76.81499981880188_,0,0,[],35.0
2023-02-08,100,-5420.9,0,[],0,0,[],35.0
2023-02-09,100,-3818.6,0,[],0,0,[],35.0
2023-02-10,100,-3959.8,0,[],0,0,[],35.0
2023-02-11,100,-4387.7,0,[],0,0,[],35.0
2023-02-12,100,-5086.5,0,[],0,0,[],35.0
2023-02-13,100,-4424.9,0,[],0,0,[],35.0
2023-02-14,100.0,-5993.1,1,2023-2-14-16-4-24-395000-15.259999990463257_,0,0,[],35.0
2023-02-15,96.3,-5249.0,2,2023-2-15-15-3-45-810000-3185.7799999713898_2023-2-15-19-40-59-110000-14.949999570846558_,1,0,[],35.0
2023-02-16,100.0,-2457.1,1,2023-2-16-0-24-57-605000-6.384999990463257_,0,0,[],35.0
2023-02-17,100,-4184.2,0,[],0,0,[],35.0
2023-02-18,97.9,-5293.3,3,2023-2-18-16-13-46-415000-223.36499977111816_2023-2-18-22-41-7-230000-978.5749998092651_2023-2-18-22-57-32-255000-624.8249998092651_,4,0,[],35.0
2023-02-19,100.0,-5122.2,1,2023-2-19-1-38-54-455000-8.759999752044678_,0,0,[],35.0
2023-02-20,99.2,-3723.8,2,2023-2-20-20-15-29-155000-167.6399998664856_2023-2-20-20-18-25-955000-526.9649996757507_,2,0,[],35.0
2023-02-21,100,-5372.2,0,[],0,0,[],35.0
2023-02-22,100,-4388.5,0,[],0,0,[],35.0
2023-02-23,100,-4499.4,0,[],0,0,[],35.0
2023-02-24,100,-3299.1,0,[],0,0,[],35.0
2023-02-25,100.0,-3734.9,1,2023-2-25-22-42-29-755000-9.279999732971191_,0,0,[],35.0
2023-02-26,100.0,-5881.9,1,2023-2-26-17-21-45-995000-8.544999599456787_,0,0,[],35.0
2023-02-27,100,-7376.8,0,[],0,0,[],35.0
2023-02-28,100,-7211.9,0,[],0,0,[],35.0
2023-03-01,65.1,-4721.9,1,2023-3-1-15-37-14-840000-30165.16_,0,0,[],35.0
2023-03-02,0.7,-5152.9,2,2023-3-2-0-0-0-0-18197.875_2023-3-2-5-13-36-830000-67583.17_,1,0,[],-9
2023-03-03,27.3,-7107.0,1,2023-3-3-0-0-0-0-62805.695_,1,0,[],35.0
2023-03-04,100,-3683.2,0,[],0,0,[],35.0
2023-03-05,100,-4871.4,0,[],0,0,[],35.0
2023-03-06,100,-7552.9,0,[],0,0,[],35.0
2023-03-07,93.3,-7448.6,1,2023-3-7-19-29-4-295000-5793.354999780655_,1,0,[],35.0
2023-03-08,99.5,-5199.1,1,2023-3-8-15-27-28-965000-423.789999961853_,1,0,[],35.0
2023-03-09,100,-4931.5,0,[],0,0,[],35.0
2023-03-10,100,-3401.5,0,[],0,0,[],35.0
2023-03-11,100,-2402.4,0,[],0,0,[],35.0
2023-03-12,100,-2472.7,0,[],0,0,[],35.0
2023-03-13,99.6,-4170.4,1,2023-3-13-14-41-27-900000-340.09499979019165_,0,0,[],35.0
2023-03-14,100,-4654.4,0,[],0,0,[],35.0
2023-03-15,100,-5271.6,0,[],0,0,[],35.0
2023-03-16,100,-5131.7,0,[],0,0,[],35.0
2023-03-17,100,-5058.7,0,[],1,0,[],35.0
2023-03-18,100,-5681.3,0,[],0,0,[],35.0
2023-03-19,100,-5426.6,0,[],0,0,[],35.0
2023-03-20,100,-4471.2,0,[],0,0,[],35.0
2023-03-21,80.3,-5735.5,1,2023-3-21-14-49-53-845000-16979.194999694824_,2,0,[],35.0
2023-03-22,100,-5696.6,0,[],1,0,[],35.0
2023-03-23,100,-2769.9,0,[],0,0,[],35.0
2023-03-24,100,-3624.1,0,[],1,0,[],35.0
2023-03-25,100,-3315.5,0,[],0,0,[],35.0
2023-03-26,100,-2803.1,0,[],1,0,[],35.0
2023-03-27,100.0,-1835.5,1,2023-3-27-23-21-19-995000-13.149999856948853_,0,0,[],35.0
2023-03-28,100.0,-4064.2,2,2023-3-28-4-31-21-420000-2.2099997997283936_2023-3-28-19-20-1-505000-6.514999866485596_,0,0,[],35.0
2023-03-29,100.0,-3791.3,1,2023-3-29-17-29-1-875000-8.615000009536743_,0,0,[],35.0
2023-03-30,84.1,-4072.8,2,2023-3-30-15-29-59-105000-13728.749999761581_2023-3-30-19-28-51-660000-6.3349997997283936_,1,0,[],35.0
2023-03-31,100,-3626.0,0,[],0,0,[],35.0
2023-04-01,100,-2827.2,0,[],0,0,[],35.0
2023-04-02,94.9,-3007.4,1,2023-4-2-17-24-13-385000-4380.84500002861_,1,0,[],35.0
2023-04-03,100,-2218.2,0,[],0,0,[],35.0
2023-04-04,78.6,-1716.3,1,2023-4-4-18-51-15-185000-18524.815_,0,0,[],35.0
2023-04-05,16.4,-6761.1,4,2023-4-5-0-0-0-0-18107.53_2023-4-5-5-1-49-710000-30330.694999694824_2023-4-5-13-42-21-125000-23744.849999904633_2023-4-5-22-32-39-790000-6.659999847412109_,2,0,[],30.0
2023-04-06,100,-5164.5,0,[],0,0,[],35.0
2023-04-07,100,-3861.8,0,[],1,0,[],35.0
2023-04-08,100,-3060.0,0,[],0,0,[],35.0
2023-04-09,100,-4859.8,0,[],0,0,[],35.0
2023-04-10,99.9,-5238.3,1,2023-4-10-19-14-43-345000-69.64999985694885_,0,0,[],35.0
2023-04-11,99.9,-5116.5,2,2023-4-11-8-19-27-470000-50.52499985694885_2023-4-11-21-34-17-400000-45.59499979019165_,1,0,[],35.0
2023-04-12,99.9,-5541.8,1,2023-4-12-11-0-19-905000-70.08999991416931_,1,0,[],35.0
2023-04-13,99.8,-4186.8,2,2023-4-13-0-10-24-735000-84.25999975204468_2023-4-13-13-45-24-495000-50.49999976158142_,1,0,[],35.0
2023-04-14,44.0,-3522.6,2,2023-4-14-3-1-16-500000-53.49499988555908_2023-4-14-3-2-22-945000-48363.049999952316_,2,0,[],35.0
2023-04-15,99.9,-5334.2,2,2023-4-15-5-49-44-60000-50.93499994277954_2023-4-15-19-18-0-240000-75.75499987602234_,1,0,[],35.0
2023-04-16,44.8,-6103.8,2,2023-4-16-8-41-45-120000-47.875_2023-4-16-8-42-43-850000-47665.14499998093_,2,0,[],35.0
2023-04-17,99.8,-3841.7,5,2023-4-17-10-43-34-765000-53.230000019073486_2023-4-17-14-32-28-995000-6.21999979019165_2023-4-17-14-33-2-65000-4.110000133514404_2023-4-17-20-46-51-705000-22.769999980926514_2023-4-17-23-9-53-940000-112.05499982833862_,0,0,[],40.0
2023-04-18,99.9,-4241.9,1,2023-4-18-12-0-13-645000-63.34999990463257_,0,0,[],35.0
