fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,30520.5,1,2023-1-1-0-0-0-0-1.025_,0,0,[],65.0
2023-01-02,100,30376.1,0,[],0,0,[],65.0
2023-01-03,100,29684.2,0,[],0,0,[],65.0
2023-01-04,100,30246.6,0,[],0,0,[],65.0
2023-01-05,100,30477.5,0,[],0,0,[],65.0
2023-01-06,100,30316.2,0,[],0,0,[],65.0
2023-01-07,100.0,30926.4,1,2023-1-7-12-0-32-445000-3.245000123977661_,0,1,2023-1-7-4-29-51-115000_,65.0
2023-01-08,99.7,30559.4,2,2023-1-8-17-41-40-60000-72.72500014305115_2023-1-8-17-53-48-505000-164.52500009536743_,2,0,[],65.0
2023-01-09,100,30673.2,0,[],0,0,[],65.0
2023-01-10,100,30298.7,0,[],0,0,[],65.0
2023-01-11,100,30002.7,0,[],0,0,[],65.0
2023-01-12,100,29779.5,0,[],0,0,[],65.0
2023-01-13,100,30160.5,0,[],0,0,[],65.0
2023-01-14,100.0,30608.4,1,2023-1-14-5-15-7-520000-2.059999942779541_,0,0,[],65.0
2023-01-15,100,29855.7,0,[],0,0,[],65.0
2023-01-16,99.7,29978.8,3,2023-1-16-0-0-0-20000-2.2_2023-1-16-0-0-0-155000-2.059999942779541_2023-1-16-15-18-39-65000-268.37000012397766_,0,0,[],65.0
2023-01-17,100,30400.6,0,[],0,0,[],65.0
2023-01-18,100,29994.9,0,[],0,0,[],65.0
2023-01-19,100,29996.6,0,[],0,0,[],65.0
2023-01-20,100.0,30044.9,1,2023-1-20-16-28-47-580000-11.014999866485596_,0,0,[],65.0
2023-01-21,100,30090.8,0,[],0,0,[],65.0
2023-01-22,93.4,29958.9,1,2023-1-22-18-29-43-925000-5676.569999933243_,0,0,[],60.0
2023-01-23,99.4,30146.3,7,2023-1-23-14-53-56-995000-84.00999975204468_2023-1-23-14-55-49-730000-0.3400001525878906_2023-1-23-15-2-33-430000-66.91499996185303_2023-1-23-15-4-25-775000-1.8499999046325684_2023-1-23-15-7-56-375000-289.0699996948242_2023-1-23-15-24-47-55000-64.80999994277954_2023-1-23-15-26-27-770000-0.015000104904174805_,1,0,[],65.0
2023-01-24,99.9,30116.6,2,2023-1-24-13-47-6-75000-95.32999968528748_2023-1-24-13-48-46-725000-1.1949999332427979_,0,0,[],65.0
2023-01-25,99.6,30314.6,6,2023-1-25-14-48-52-555000-18.614999771118164_2023-1-25-14-51-45-700000-5.894999742507935_2023-1-25-15-28-7-620000-83.39499998092651_2023-1-25-15-30-7-730000-1.5900001525878906_2023-1-25-17-28-29-220000-80.11499977111816_2023-1-25-17-40-11-85000-157.81499981880188_,2,0,[],65.0
2023-01-26,99.9,30779.6,2,2023-1-26-14-13-1-595000-81.62999987602234_2023-1-26-14-14-46-730000-0.9900000095367432_,0,0,[],65.0
2023-01-27,99.9,31101.7,6,2023-1-27-0-0-36-680000-42.08999991416931_2023-1-27-0-2-53-680000-10.679999828338623_2023-1-27-0-5-43-50000-8.0_2023-1-27-1-22-9-770000-1.6899998188018799_2023-1-27-1-34-18-540000-25.869999885559082_2023-1-27-14-50-11-600000-17.980000019073486_,0,0,[],65.0
2023-01-28,100,31398.9,0,[],0,0,[],65.0
2023-01-29,99.8,31808.9,1,2023-1-29-19-35-59-580000-182.73499989509583_,0,0,[],65.0
2023-01-30,100.0,31759.8,1,2023-1-30-16-42-2-580000-10.304999828338623_,0,0,[],65.0
2023-01-31,100,31954.0,0,[],0,0,[],65.0
2023-02-01,100,31853.9,0,[],0,0,[],65.0
2023-02-02,99.9,31284.4,2,2023-2-2-14-45-18-465000-75.50999999046326_2023-2-2-14-47-19-730000-0.25500011444091797_,0,0,[],65.0
2023-02-03,100,30846.4,0,[],0,0,[],65.0
2023-02-04,99.6,31002.8,4,2023-2-4-17-22-28-265000-90.53999996185303_2023-2-4-17-24-18-775000-1.0849997997283936_2023-2-4-18-28-23-840000-76.94500017166138_2023-2-4-18-40-1-980000-155.37999987602234_,2,0,[],65.0
2023-02-05,100,30285.7,0,[],0,0,[],65.0
2023-02-06,100,30937.0,0,[],0,0,[],65.0
2023-02-07,99.7,30711.7,7,2023-2-7-14-32-11-725000-6.825000047683716_2023-2-7-14-34-58-620000-22.09999990463257_2023-2-7-14-36-22-30000-79.06999969482422_2023-2-7-14-41-13-530000-76.98499989509583_2023-2-7-14-59-9-900000-92.34499955177307_2023-2-7-15-1-7-730000-0.3299999237060547_2023-2-7-15-10-58-830000-19.009999752044678_,1,0,[],65.0
2023-02-08,99.8,31115.3,4,2023-2-8-14-38-20-700000-78.28499984741211_2023-2-8-14-40-9-775000-1.934999942779541_2023-2-8-14-50-12-370000-45.71000003814697_2023-2-8-16-0-38-445000-6.114999771118164_,1,0,[],65.0
2023-02-09,100.0,31683.6,1,2023-2-9-20-11-4-310000-39.12999963760376_,0,0,[],65.0
2023-02-10,100,31823.2,0,[],0,0,[],65.0
2023-02-11,99.9,31133.4,2,2023-2-11-16-11-39-0-68.02500009536743_2023-2-11-16-13-20-775000-0.9449996948242188_,0,0,[],65.0
2023-02-12,100,31299.5,0,[],0,0,[],65.0
2023-02-13,100,31745.1,0,[],0,0,[],65.0
2023-02-14,100.0,31909.0,1,2023-2-14-16-4-19-180000-17.109999895095825_,0,0,[],65.0
2023-02-15,99.8,32062.5,7,2023-2-15-15-56-34-5000-14.815000057220459_2023-2-15-16-15-9-925000-17.305000066757202_2023-2-15-16-22-39-895000-5.324999809265137_2023-2-15-16-30-9-435000-7.804999589920044_2023-2-15-16-33-36-50000-90.74999976158142_2023-2-15-19-25-3-670000-7.479999780654907_2023-2-15-19-40-56-80000-15.43999981880188_,0,0,[],65.0
2023-02-16,100.0,31533.3,1,2023-2-16-0-24-53-490000-8.690000057220459_,0,0,[],65.0
2023-02-17,100,31276.0,0,[],0,0,[],65.0
2023-02-18,100.0,32270.8,1,2023-2-18-16-17-11-985000-13.96500015258789_,0,0,[],65.0
2023-02-19,100.0,32119.8,1,2023-2-19-1-38-51-875000-6.984999895095825_,0,0,[],65.0
2023-02-20,98.6,32338.0,3,2023-2-20-16-36-8-540000-1148.5549998283386_2023-2-20-16-55-47-255000-14.079999685287476_2023-2-20-20-27-1-725000-9.150000095367432_,0,0,[],65.0
