fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,8.5,-9363.0,3,2023-1-1-0-0-0-0-39679.19_2023-1-1-22-40-3-280000-4796.72_2023-1-1-12-2-5-975000-34620.48999977112_,0,0,[],15.0
2023-01-02,8.4,-9350.3,3,2023-1-2-0-0-0-0-37387.375_2023-1-2-22-54-11-495000-3948.505_2023-1-2-11-24-16-865000-37776.640000104904_,1,0,[],10.0
2023-01-03,4.1,-10379.2,3,2023-1-3-0-0-0-0-45767.76_2023-1-3-13-51-15-675000-36524.325_2023-1-3-12-43-3-390000-603.4849998950958_,0,0,[],35.0
2023-01-04,41.5,-9163.4,1,2023-1-4-0-0-0-0-50570.765_,1,0,[],35.0
2023-01-05,86.7,-9644.3,1,2023-1-5-20-48-50-585000-11469.415_,0,0,[],35.0
2023-01-06,0,-9,0,[],0,0,[],-9
2023-01-07,0,-9,0,[],0,0,[],-9
2023-01-08,0,-9,0,[],0,0,[],-9
2023-01-09,0,-9,0,[],0,0,[],-9
2023-01-10,0,-9,0,[],0,0,[],-9
2023-01-11,0,-9,0,[],0,0,[],-9
2023-01-12,0,-9,0,[],0,0,[],-9
2023-01-13,27.6,-9713.7,1,2023-1-13-0-0-0-0-62594.975_,1,0,[],35.0
2023-01-14,100,-10030.1,0,[],0,0,[],35.0
2023-01-15,100,-10096.5,0,[],0,0,[],35.0
2023-01-16,100,-10073.0,0,[],0,0,[],35.0
2023-01-17,100,-9829.9,0,[],0,0,[],35.0
2023-01-18,64.4,-10515.7,1,2023-1-18-12-13-8-490000-30739.495000123978_,0,0,[],30.0
2023-01-19,100,-10328.6,0,[],0,0,[],35.0
2023-01-20,100.0,-10599.6,1,2023-1-20-16-28-48-710000-12.854999780654907_,0,0,[],35.0
2023-01-21,81.2,-10632.2,1,2023-1-21-16-49-21-950000-16223.814999818802_,0,0,[],30.0
2023-01-22,100,-10362.3,0,[],0,0,[],35.0
2023-01-23,99.9,-10539.0,1,2023-1-23-13-31-10-205000-72.78999996185303_,1,0,[],35.0
2023-01-24,100,-10375.6,0,[],0,0,[],35.0
2023-01-25,100.0,-10794.1,2,2023-1-25-14-48-54-880000-20.80999994277954_2023-1-25-14-51-48-360000-5.179999828338623_,0,0,[],35.0
2023-01-26,100,-10606.4,0,[],0,0,[],35.0
2023-01-27,100.0,-10421.1,1,2023-1-27-14-50-14-790000-15.664999723434448_,0,0,[],35.0
2023-01-28,100,-10318.5,0,[],0,0,[],35.0
2023-01-29,100,-10583.0,0,[],0,0,[],35.0
2023-01-30,100.0,-11130.5,1,2023-1-30-16-42-5-200000-10.434999942779541_,0,0,[],35.0
2023-01-31,100,-9989.5,0,[],0,0,[],35.0
2023-02-01,100,-10160.6,0,[],0,0,[],35.0
2023-02-02,100,-10204.7,0,[],0,0,[],35.0
2023-02-03,100,-10965.1,0,[],0,0,[],35.0
2023-02-04,100,-11188.6,0,[],0,0,[],35.0
2023-02-05,100,-11040.2,0,[],0,0,[],35.0
2023-02-06,99.6,-10872.7,1,2023-2-6-3-39-12-380000-339.61499977111816_,1,0,[],35.0
2023-02-07,99.8,-11177.0,4,2023-2-7-14-32-13-850000-5.289999961853027_2023-2-7-14-35-0-900000-23.77999973297119_2023-2-7-14-36-25-60000-78.58999991416931_2023-2-7-14-41-16-45000-75.65000009536743_,0,0,[],35.0
2023-02-08,59.4,-10707.4,1,2023-2-8-11-17-43-135000-35112.72499990463_,1,0,[],30.0
2023-02-09,81.1,-10330.9,6,2023-2-9-23-32-35-170000-1644.83_2023-2-9-10-29-20-635000-1004.7149999141693_2023-2-9-13-7-44-970000-86.45000004768372_2023-2-9-14-20-44-175000-6311.615000009537_2023-2-9-16-35-55-950000-5453.814999818802_2023-2-9-20-5-22-625000-1800.284999847412_,6,0,[],30.0
2023-02-10,26.8,-10635.7,6,2023-2-10-0-0-0-0-33386.64_2023-2-10-23-54-55-575000-304.425_2023-2-10-10-56-46-130000-4073.234999895096_2023-2-10-13-33-41-355000-17313.639999866486_2023-2-10-19-22-47-190000-660.3599998950958_2023-2-10-20-49-5-725000-7510.340000152588_,1,0,[],30.0
2023-02-11,16.6,-11663.1,4,2023-2-11-0-0-0-0-34944.29_2023-2-11-14-15-14-270000-35085.73_2023-2-11-10-42-59-385000-937.5749998092651_2023-2-11-12-55-43-740000-1121.7249999046326_,3,0,[],35.0
2023-02-12,37.4,-10703.2,8,2023-2-12-0-0-0-0-4042.425_2023-2-12-2-39-30-535000-26770.294999837875_2023-2-12-11-6-45-105000-1335.9699997901917_2023-2-12-13-8-41-585000-4024.2000000476837_2023-2-12-15-16-38-995000-358.4399998188019_2023-2-12-16-24-4-750000-7123.154999732971_2023-2-12-19-25-32-140000-10069.654999732971_2023-2-12-23-19-42-645000-402.4249999523163_,3,0,[],30.0
2023-02-13,0,-9,0,[],0,0,[],-9
2023-02-14,100.0,-2182.2,2,2023-2-14-0-0-0-0-0.3_2023-2-14-16-4-24-315000-15.349999904632568_,0,0,[],35.0
2023-02-15,100.0,-2586.7,2,2023-2-15-15-56-36-270000-15.674999713897705_2023-2-15-19-40-59-585000-13.019999742507935_,1,0,[],35.0
2023-02-16,100.0,-3050.9,1,2023-2-16-0-24-57-960000-7.75_,2,0,[],35.0
2023-02-17,100,-3384.8,0,[],1,0,[],35.0
2023-02-18,100.0,-2772.0,1,2023-2-18-16-17-15-690000-13.15499997138977_,2,0,[],35.0
2023-02-19,100.0,-3523.1,1,2023-2-19-1-38-53-675000-7.804999828338623_,0,0,[],35.0
2023-02-20,100.0,-3401.9,1,2023-2-20-20-27-4-950000-7.829999685287476_,2,0,[],35.0
2023-02-21,100,-3211.2,0,[],0,0,[],35.0
2023-02-22,100,-3328.6,0,[],2,0,[],35.0
2023-02-23,100,-4325.1,0,[],0,0,[],35.0
2023-02-24,100,-3071.4,0,[],0,0,[],35.0
2023-02-25,100.0,-3081.9,1,2023-2-25-22-42-28-535000-10.264999628067017_,1,0,[],35.0
2023-02-26,100.0,-3195.1,1,2023-2-26-17-21-46-800000-7.754999876022339_,2,0,[],35.0
2023-02-27,100,-2888.8,0,[],1,0,[],35.0
2023-02-28,100,-3036.6,0,[],0,0,[],35.0
2023-03-01,100.0,-3811.3,1,2023-3-1-19-11-2-105000-5.2099997997283936_,0,0,[],35.0
2023-03-02,100.0,-3678.5,1,2023-3-2-4-57-56-990000-7.804999828338623_,1,0,[],35.0
2023-03-03,100,-3233.2,0,[],2,0,[],35.0
2023-03-04,100,-3165.8,0,[],0,0,[],35.0
2023-03-05,100,-3473.1,0,[],1,0,[],35.0
2023-03-06,100,-3654.5,0,[],0,0,[],35.0
2023-03-07,98.1,-3757.6,1,2023-3-7-19-51-38-630000-1675.3999998569489_,0,0,[],35.0
2023-03-08,100,-4017.9,0,[],1,0,[],35.0
2023-03-09,100,-3787.7,0,[],0,0,[],35.0
2023-03-10,100,-4406.2,0,[],1,0,[],35.0
2023-03-11,100,-4375.8,0,[],0,0,[],35.0
2023-03-12,100,-4995.4,0,[],0,0,[],35.0
2023-03-13,96.2,-4623.9,2,2023-3-13-14-52-2-555000-3160.9249997138977_2023-3-13-20-29-49-520000-157.0699999332428_,2,0,[],35.0
2023-03-14,100,-4630.2,0,[],0,0,[],35.0
2023-03-15,100,-4386.9,0,[],0,0,[],35.0
2023-03-16,100,-4674.8,0,[],0,0,[],35.0
2023-03-17,100,-4491.6,0,[],1,0,[],35.0
2023-03-18,100,-4607.6,0,[],1,0,[],40.0
2023-03-19,100,-4386.2,0,[],0,0,[],35.0
2023-03-20,100,-4005.1,0,[],0,0,[],35.0
2023-03-21,100,-3795.8,0,[],1,0,[],35.0
2023-03-22,100,-4257.7,0,[],0,0,[],35.0
2023-03-23,100,-4034.7,0,[],1,0,[],35.0
2023-03-24,100,-4284.0,0,[],0,0,[],35.0
2023-03-25,100,-4597.5,0,[],0,0,[],35.0
2023-03-26,100,-4616.6,0,[],0,0,[],35.0
2023-03-27,100.0,-5035.1,1,2023-3-27-23-21-20-330000-12.77999997138977_,0,0,[],35.0
2023-03-28,100.0,-5167.6,1,2023-3-28-19-20-1-155000-7.7799999713897705_,0,0,[],35.0
2023-03-29,100.0,-5133.8,1,2023-3-29-17-28-59-700000-7.724999904632568_,0,0,[],35.0
2023-03-30,100.0,-4948.2,2,2023-3-30-19-18-42-400000-5.319999694824219_2023-3-30-19-28-51-705000-5.129999876022339_,0,0,[],35.0
2023-03-31,100,-4905.6,0,[],0,0,[],35.0
2023-04-01,100,-4563.3,0,[],0,0,[],35.0
2023-04-02,100,-4961.7,0,[],0,0,[],35.0
2023-04-03,100,-5145.0,0,[],0,0,[],35.0
2023-04-04,100,-5012.5,0,[],0,0,[],35.0
2023-04-05,100.0,-4221.6,2,2023-4-5-20-17-55-565000-7.950000047683716_2023-4-5-22-32-38-665000-5.065000057220459_,0,0,[],35.0
2023-04-06,100,-4327.1,0,[],0,0,[],35.0
2023-04-07,100,-4768.0,0,[],0,0,[],35.0
2023-04-08,100,-5038.3,0,[],0,0,[],35.0
2023-04-09,100,-5576.3,0,[],0,0,[],35.0
2023-04-10,99.9,-5671.9,2,2023-4-10-17-15-41-525000-34.47000002861023_2023-4-10-19-9-28-35000-63.959999799728394_,1,0,[],35.0
2023-04-11,99.9,-5537.2,1,2023-4-11-13-3-8-530000-50.46499991416931_,1,0,[],35.0
2023-04-12,69.1,-5448.6,2,2023-4-12-16-36-4-190000-26635.81_2023-4-12-7-16-16-740000-55.25499987602234_,0,0,[],35.0
2023-04-13,95.9,-5583.2,2,2023-4-13-0-0-0-0-3503.0_2023-4-13-19-24-41-820000-55.174999952316284_,2,0,[],35.0
2023-04-14,99.9,-5277.2,1,2023-4-14-13-43-34-905000-79.08999991416931_,2,0,[],35.0
