fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-07-13,32.2,22.3,2,2023-7-13-0-0-0-0-58511.735004_2023-7-13-17-38-10-25004-30.224995851516724_,0,0,[],100.0
2023-07-14,100.0,-705.8,1,2023-7-14-17-44-49-940000-37.99499988555908_,0,0,[],100.0
2023-07-15,100,-1331.7,0,[],0,0,[],100.0
2023-07-16,100,-1702.4,0,[],0,0,[],100.0
2023-07-17,100.0,-1991.6,1,2023-7-17-0-0-0-0-0.125_,0,0,[],100.0
2023-07-18,100,-2272.3,0,[],0,0,[],100.0
2023-07-19,100.0,-2464.2,1,2023-7-19-0-0-0-0-2.29_,0,0,[],100.0
2023-07-20,100,-2666.1,0,[],0,0,[],100.0
2023-07-21,100,-2828.0,0,[],0,0,[],100.0
2023-07-22,100,-3016.8,0,[],0,0,[],100.0
2023-07-23,100,-3137.8,0,[],0,0,[],100.0
2023-07-24,99.9,-3267.2,3,2023-7-24-0-0-0-0-2.2_2023-7-24-15-22-8-605000-27.86000084877014_2023-7-24-20-47-35-260001-35.96999907493591_,0,0,[],30.0
2023-07-26,0,-9,9,[],9,9,[],-9
2023-07-27,100.0,-3580.0,1,2023-7-27-21-0-46-270000-24.894999504089355_,0,0,[],30.0
2023-07-28,100,-3699.9,0,[],0,1,2023-7-28-16-58-34-460000_,30.0
2023-07-29,100,-3800.5,0,[],0,0,[],30.0
2023-07-30,100,-3906.5,0,[],0,0,[],30.0
2023-07-31,100,-4049.5,0,[],0,0,[],30.0
2023-08-01,100.0,-4128.4,1,2023-8-1-0-0-0-0-0.66_,0,0,[],30.0
2023-08-02,100.0,-4206.7,1,2023-8-2-0-0-0-0-1.064999_,0,0,[],30.0
2023-08-03,100.0,-4270.1,1,2023-8-3-0-0-0-0-1.374999_,0,0,[],30.0
2023-08-04,99.9,-4320.4,3,2023-8-4-0-0-0-0-0.125_2023-8-4-22-47-37-500000-24.834999799728394_2023-8-4-22-49-41-635000-21.904998779296875_,0,0,[],30.0
2023-08-05,99.9,-4388.0,2,2023-8-5-1-36-9-795000-22.114999771118164_2023-8-5-20-0-27-10000-23.119998931884766_,0,0,[],30.0
2023-08-06,100,-4487.0,0,[],0,1,2023-8-6-4-10-2-190000_,30.0
2023-08-07,100,-4568.8,0,[],0,0,[],30.0
2023-08-08,100.0,-4591.9,1,2023-8-8-0-0-0-0-1.715_,0,1,2023-8-8-14-6-17-815000_,30.0
2023-08-09,100.0,-4648.3,2,2023-8-9-0-0-0-0-1.26_2023-8-9-23-53-11-530000-25.024998903274536_,0,0,[],30.0
2023-08-10,100.0,-4727.5,1,2023-8-10-0-0-0-0-0.9_,0,0,[],30.0
2023-08-11,100.0,-4794.4,1,2023-8-11-0-0-0-0-1.415_,0,0,[],30.0
2023-08-12,100,-4884.6,0,[],0,0,[],30.0
2023-08-13,100,-4972.1,0,[],0,0,[],30.0
2023-08-14,100.0,-4983.9,1,2023-8-14-0-0-0-0-2.005_,0,0,[],30.0
