fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-07-13,32.2,7382.4,2,2023-7-13-0-0-0-0-58510.320004_2023-7-13-17-38-9-245004-32.2249960899353_,0,0,[],100.0
2023-07-14,100.0,6773.8,1,2023-7-14-17-44-48-410000-40.07499980926514_,0,0,[],100.0
2023-07-15,100,6111.4,0,[],0,0,[],100.0
2023-07-16,100,5973.4,0,[],0,0,[],100.0
2023-07-17,100.0,5959.4,1,2023-7-17-0-0-0-0-1.015_,0,0,[],100.0
2023-07-18,100,5493.0,0,[],0,1,2023-7-18-20-0-29-344999_,100.0
2023-07-19,100.0,5522.7,1,2023-7-19-0-0-0-0-0.695_,0,0,[],100.0
2023-07-20,100,5195.3,0,[],0,0,[],100.0
2023-07-21,100,5303.6,0,[],0,0,[],100.0
2023-07-22,100,4789.1,0,[],0,0,[],100.0
2023-07-23,100,4893.1,0,[],0,0,[],100.0
2023-07-24,99.9,4870.8,3,2023-7-24-0-0-0-0-1.9_2023-7-24-15-22-9-335000-27.440000772476196_2023-7-24-20-47-37-25001-35.41999864578247_,0,0,[],30.0
2023-07-26,0,-9,9,[],9,9,[],-9
2023-07-27,100.0,5121.0,1,2023-7-27-21-0-47-800000-21.759999752044678_,0,0,[],30.0
2023-07-28,100,5075.0,0,[],0,1,2023-7-28-16-58-40-750000_,30.0
2023-07-29,100,5149.8,0,[],0,0,[],30.0
2023-07-30,100,5154.0,0,[],0,0,[],30.0
2023-07-31,100,4645.0,0,[],0,0,[],30.0
2023-08-01,100.0,4619.2,1,2023-8-1-0-0-0-0-1.73_,0,0,[],30.0
2023-08-02,100.0,4646.5,1,2023-8-2-0-0-0-0-1.199999_,0,0,[],30.0
2023-08-03,100,4756.2,0,[],0,0,[],30.0
2023-08-04,99.9,5111.8,3,2023-8-4-0-0-0-0-1.415_2023-8-4-22-47-35-345000-27.244999885559082_2023-8-4-22-49-39-420000-24.179998636245728_,0,0,[],30.0
2023-08-05,99.9,5408.4,2,2023-8-5-1-36-9-940000-21.649999856948853_2023-8-5-20-0-27-425000-22.72999882698059_,0,0,[],30.0
2023-08-06,100,5186.5,0,[],0,0,[],30.0
2023-08-07,100,5114.2,0,[],0,0,[],30.0
2023-08-08,100.0,5548.0,1,2023-8-8-0-0-0-0-0.655_,0,0,[],30.0
2023-08-09,100.0,5752.4,2,2023-8-9-0-0-0-0-0.63_2023-8-9-23-53-10-695000-24.50499963760376_,0,0,[],30.0
2023-08-10,100.0,5643.4,1,2023-8-10-0-0-0-0-2.435_,0,0,[],30.0
2023-08-11,100.0,5726.6,1,2023-8-11-0-0-0-0-1.65_,0,0,[],30.0
2023-08-12,100,5495.6,0,[],0,0,[],30.0
2023-08-13,100,5127.5,0,[],0,0,[],30.0
2023-08-14,100.0,5549.2,1,2023-8-14-0-0-0-0-0.47_,0,0,[],30.0
