fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-10-25,24.0,54084.0,5,2023-10-25-0-0-0-0-65023.365_2023-10-25-20-17-0-670000-6.179999828338623_2023-10-25-20-22-12-950000-6.039999961853027_2023-10-25-22-15-6-420000-312.03999972343445_2023-10-25-23-10-8-230000-311.0699996948242_,0,0,[],40.0
2023-10-26,99.6,53889.0,2,2023-10-26-0-0-0-0-1.805_2023-10-26-15-55-7-340000-311.05999994277954_,0,3,2023-10-26-0-3-39-555000_2023-10-26-12-48-33-455000_2023-10-26-23-18-57-705000_,30.0
2023-10-27,99.6,53971.9,1,2023-10-27-14-54-32-0-311.09999990463257_,0,2,2023-10-27-12-2-15-135000_2023-10-27-18-30-5-55000_,30.0
2023-10-28,100,53848.5,0,[],0,1,2023-10-28-2-45-10-105000_,30.0
2023-10-29,100,53625.9,0,[],0,2,2023-10-29-0-26-27-715000_2023-10-29-13-55-42-365000_,30.0
2023-10-30,100,53446.5,0,[],0,5,2023-10-30-2-14-33-405000_2023-10-30-3-4-30-105000_2023-10-30-4-34-46-405000_2023-10-30-11-20-0-805000_2023-10-30-16-1-16-155000_,30.0
2023-10-31,100,53366.5,0,[],0,1,2023-10-31-14-13-5-195000_,30.0
2023-11-01,100,53629.3,0,[],0,4,2023-11-1-11-39-39-855000_2023-11-1-13-34-25-805000_2023-11-1-17-8-21-405000_2023-11-1-20-55-15-255000_,30.0
2023-11-02,99.6,53424.0,2,2023-11-2-0-0-0-0-0.415_2023-11-2-20-16-34-540000-381.21999979019165_,0,3,2023-11-2-12-4-48-815000_2023-11-2-19-15-14-615000_2023-11-2-23-29-51-515000_,30.0
2023-11-03,99.6,53257.2,2,2023-11-3-18-15-3-150000-310.90999960899353_2023-11-3-22-50-27-420000-25.179999828338623_,0,2,2023-11-3-15-9-23-735000_2023-11-3-19-3-22-115000_,30.0
2023-11-04,100.0,53144.5,1,2023-11-4-1-9-1-790000-16.479999780654907_,0,2,2023-11-4-15-58-13-575000_2023-11-4-17-42-32-775000_,30.0
2023-11-05,100,53133.5,0,[],0,4,2023-11-5-0-30-15-484999_2023-11-5-2-36-8-684999_2023-11-5-9-31-15-684999_2023-11-5-12-48-49-734999_,30.0
2023-11-06,99.4,53217.9,2,2023-11-6-4-19-42-240000-289.23999977111816_2023-11-6-14-27-34-555000-250.66999983787537_,0,2,2023-11-6-0-16-55-885000_2023-11-6-23-46-19-930000_,30.0
2023-11-07,100.0,53197.0,4,2023-11-7-0-0-0-0-1.69_2023-11-7-17-46-39-545000-6.179999828338623_2023-11-7-18-5-41-755000-6.179999828338623_2023-11-7-18-34-34-165000-6.180000066757202_,0,2,2023-11-7-12-13-35-790000_2023-11-7-18-43-16-150000_,30.0
2023-11-08,100.0,53094.5,5,2023-11-8-15-48-4-5000-2.06000018119812_2023-11-8-16-18-27-315000-13.43999981880188_2023-11-8-17-4-0-325000-6.180000066757202_2023-11-8-17-12-35-55000-14.419999837875366_2023-11-8-17-18-33-175000-6.109999895095825_,0,3,2023-11-8-0-47-9-610000_2023-11-8-14-1-8-60000_2023-11-8-16-42-6-560000_,30.0
2023-11-09,99.9,53190.7,7,2023-11-9-14-49-44-445000-8.239999771118164_2023-11-9-15-4-5-355000-6.179999828338623_2023-11-9-15-31-6-35000-5.40999960899353_2023-11-9-22-31-26-345000-8.240000009536743_2023-11-9-22-38-13-215000-16.479999780654907_2023-11-9-22-46-48-145000-4.120000123977661_2023-11-9-22-49-6-165000-6.180000066757202_,0,1,2023-11-9-11-38-55-880000_,30.0
2023-11-10,99.9,53097.5,8,2023-11-10-13-53-35-75000-4.009999752044678_2023-11-10-15-32-15-395000-12.359999895095825_2023-11-10-15-38-40-895000-4.120000839233398_2023-11-10-15-59-12-825001-14.41999864578247_2023-11-10-20-19-0-435000-5.87999963760376_2023-11-10-20-22-13-495000-10.399999856948853_2023-11-10-20-27-11-560000-5.25_2023-11-10-20-30-1-345000-2.0299999713897705_,0,3,2023-11-10-7-48-6-830000_2023-11-10-11-16-2-680000_2023-11-10-15-39-40-120001_,30.0
2023-11-11,100,53019.8,0,[],0,3,2023-11-11-4-30-4-255000_2023-11-11-8-0-55-405000_2023-11-11-9-46-27-305000_,30.0
2023-11-12,99.5,52976.8,2,2023-11-12-19-36-0-295000-393.98999977111816_2023-11-12-23-36-41-355000-10.299999952316284_,0,3,2023-11-12-9-41-50-760000_2023-11-12-15-7-10-510000_2023-11-12-21-44-11-990000_,30.0
2023-11-13,99.6,52971.0,1,2023-11-13-1-35-53-405000-385.0799996852875_,0,2,2023-11-13-12-7-56-940000_2023-11-13-16-6-49-190000_,30.0
2023-11-14,95.5,53053.3,1,2023-11-14-11-5-55-800000-3856.539999961853_,0,3,2023-11-14-17-26-18-995000_2023-11-14-19-12-6-945000_2023-11-14-23-2-23-895000_,30.0
2023-11-15,100.0,53047.4,1,2023-11-15-4-10-23-110000-10.299999713897705_,0,6,2023-11-15-14-23-56-215000_2023-11-15-15-10-40-865000_2023-11-15-16-28-33-265000_2023-11-15-19-49-1-15000_2023-11-15-21-50-2-15000_2023-11-15-22-25-11-965000_,30.0
2023-11-16,99.6,53084.1,2,2023-11-16-16-17-19-60000-319.19000005722046_2023-11-16-17-39-43-950000-12.359999895095825_,0,4,2023-11-16-0-33-59-645000_2023-11-16-12-2-55-895000_2023-11-16-12-46-0-545000_2023-11-16-12-53-24-745000_,30.0
2023-11-17,99.7,53172.8,4,2023-11-17-0-0-0-0-0.905_2023-11-17-18-25-51-270000-251.26999950408936_2023-11-17-22-41-35-740000-4.119999885559082_2023-11-17-22-44-28-550000-6.179999828338623_,0,3,2023-11-17-12-28-3-755000_2023-11-17-12-31-8-355000_2023-11-17-16-40-48-705000_,30.0
2023-11-18,100,53385.3,0,[],0,4,2023-11-18-11-48-8-295000_2023-11-18-13-14-11-445000_2023-11-18-16-5-32-95000_2023-11-18-19-13-23-295000_,30.0
2023-11-19,100,53461.4,0,[],0,4,2023-11-19-2-54-19-975000_2023-11-19-4-17-29-275000_2023-11-19-6-2-42-525000_2023-11-19-21-40-26-375000_,30.0
2023-11-20,99.6,53405.9,2,2023-11-20-0-0-0-0-1.565_2023-11-20-17-12-54-30000-310.85999965667725_,0,4,2023-11-20-11-27-22-765000_2023-11-20-12-16-44-765000_2023-11-20-18-53-20-45000_2023-11-20-22-26-44-295000_,30.0
2023-11-21,100.0,53203.7,1,2023-11-21-0-0-0-0-0.145_,0,3,2023-11-21-13-6-37-345000_2023-11-21-15-51-45-195000_2023-11-21-16-3-4-195000_,30.0
2023-11-22,100,53354.0,0,[],0,3,2023-11-22-2-9-44-895000_2023-11-22-10-44-49-295000_2023-11-22-18-36-29-695000_,30.0
2023-11-23,100.0,53399.1,3,2023-11-23-0-0-0-0-0.98_2023-11-23-22-45-46-395000-4.119999885559082_2023-11-23-22-50-38-905000-6.179999828338623_,0,4,2023-11-23-9-46-57-780000_2023-11-23-10-44-21-380000_2023-11-23-12-55-49-230000_2023-11-23-17-12-41-430000_,30.0
2023-11-24,100.0,53309.0,1,2023-11-24-0-0-0-0-0.61_,0,4,2023-11-24-4-34-19-60000_2023-11-24-12-12-50-810000_2023-11-24-14-38-27-960000_2023-11-24-22-22-18-310000_,30.0
