fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,316.6,1,2023-1-1-0-0-0-0-2.178393_,0,5,2023-1-1-11-48-59-228393_2023-1-1-13-17-22-528393_2023-1-1-16-5-55-28393_2023-1-1-17-17-5-678393_2023-1-1-17-18-5-578393_,0.0
2023-01-02,100,307.0,0,[],0,9,2023-1-2-5-39-38-758393_2023-1-2-5-40-28-758393_2023-1-2-9-0-40-308393_2023-1-2-9-1-30-358393_2023-1-2-11-38-14-958393_2023-1-2-11-39-5-608393_2023-1-2-14-35-53-158393_2023-1-2-18-12-19-608393_2023-1-2-18-13-9-858393_,0.0
2023-01-03,100,325.7,0,[],0,3,2023-1-3-13-29-25-708393_2023-1-3-13-30-18-158393_2023-1-3-16-32-42-458393_,0.0
2023-01-04,100,314.0,0,[],0,8,2023-1-4-1-7-29-628393_2023-1-4-1-8-20-78393_2023-1-4-13-55-18-878393_2023-1-4-14-4-6-378393_2023-1-4-15-27-50-328393_2023-1-4-18-48-35-828393_2023-1-4-20-43-45-378393_2023-1-4-20-44-52-978393_,0.0
2023-01-05,100,377.5,0,[],0,3,2023-1-5-9-32-45-718393_2023-1-5-9-33-36-168393_2023-1-5-14-36-6-768393_,0.0
2023-01-06,100,410.6,0,[],0,20,2023-1-6-0-31-17-578393_2023-1-6-0-37-34-978393_2023-1-6-0-38-27-28393_2023-1-6-0-41-29-878393_2023-1-6-2-0-23-778393_2023-1-6-5-6-49-828393_2023-1-6-5-7-47-928393_2023-1-6-5-9-13-728393_2023-1-6-7-15-28-128393_2023-1-6-7-54-12-178393_2023-1-6-7-55-7-328393_2023-1-6-8-21-23-528393_2023-1-6-8-23-21-678393_2023-1-6-8-47-59-628393_2023-1-6-11-14-28-878393_2023-1-6-11-16-14-628393_2023-1-6-11-51-26-978393_2023-1-6-12-12-32-278393_2023-1-6-12-13-23-778393_2023-1-6-21-26-18-528393_,25.0
2023-01-07,100,323.5,0,[],0,23,2023-1-7-2-23-39-988393_2023-1-7-2-50-4-38393_2023-1-7-3-13-4-388393_2023-1-7-3-14-27-888393_2023-1-7-4-5-51-738393_2023-1-7-4-7-7-988393_2023-1-7-4-12-39-938393_2023-1-7-8-45-18-638393_2023-1-7-9-18-28-288393_2023-1-7-9-44-32-838393_2023-1-7-10-39-22-738393_2023-1-7-10-41-45-888393_2023-1-7-11-25-4-838393_2023-1-7-11-27-29-738393_2023-1-7-12-1-29-688393_2023-1-7-12-5-9-188393_2023-1-7-12-34-5-138393_2023-1-7-13-2-26-988393_2023-1-7-17-55-47-188393_2023-1-7-18-18-58-338393_2023-1-7-21-23-14-838393_2023-1-7-22-23-33-388393_2023-1-7-22-24-47-888393_,25.0
2023-01-08,100,366.7,0,[],0,18,2023-1-8-3-43-48-788393_2023-1-8-3-44-39-88393_2023-1-8-3-59-21-938393_2023-1-8-4-32-8-738393_2023-1-8-4-55-19-338393_2023-1-8-4-56-56-588393_2023-1-8-4-58-21-438393_2023-1-8-6-32-46-38393_2023-1-8-8-48-9-788393_2023-1-8-9-22-41-88393_2023-1-8-9-32-48-588393_2023-1-8-11-36-21-788393_2023-1-8-11-37-13-988393_2023-1-8-12-38-46-338393_2023-1-8-12-39-36-488393_2023-1-8-14-25-54-688393_2023-1-8-19-13-17-788393_2023-1-8-19-14-9-138393_,25.0
2023-01-09,100,339.7,0,[],0,5,2023-1-9-18-53-23-728393_2023-1-9-18-54-15-578393_2023-1-9-23-24-6-328393_2023-1-9-23-37-17-128393_2023-1-9-23-38-8-528393_,0.0
2023-01-10,100,427.2,0,[],0,25,2023-1-10-1-20-3-338393_2023-1-10-1-23-35-788393_2023-1-10-2-33-30-838393_2023-1-10-3-46-50-938393_2023-1-10-3-47-41-138393_2023-1-10-4-29-27-588393_2023-1-10-4-30-19-438393_2023-1-10-5-47-0-688393_2023-1-10-6-39-59-288393_2023-1-10-6-42-9-438393_2023-1-10-8-0-54-838393_2023-1-10-8-34-29-238393_2023-1-10-9-25-8-338393_2023-1-10-9-27-7-738393_2023-1-10-9-44-17-838393_2023-1-10-10-37-4-888393_2023-1-10-11-24-10-638393_2023-1-10-11-25-15-788393_2023-1-10-12-19-9-738393_2023-1-10-12-23-19-388393_2023-1-10-12-39-21-588393_2023-1-10-15-3-51-538393_2023-1-10-15-33-0-388393_2023-1-10-16-39-36-538393_2023-1-10-21-57-17-188393_,25.0
2023-01-11,100,389.8,0,[],0,2,2023-1-11-20-40-0-88393_2023-1-11-20-40-50-388393_,0.0
2023-01-12,100,370.0,0,[],0,3,2023-1-12-7-29-3-38393_2023-1-12-7-30-21-288393_2023-1-12-9-59-53-388393_,0.0
2023-01-13,88.8,493.9,1,2023-1-13-10-8-59-958393-9648.999999761581_,0,3,2023-1-13-2-13-4-298393_2023-1-13-2-17-28-898393_2023-1-13-7-24-10-198393_,10.0
2023-01-14,100,346.3,0,[],0,1,2023-1-14-11-33-59-528393_,0.0
2023-01-15,84.0,569.9,1,2023-1-15-8-40-34-958393-13784.000000953674_,0,5,2023-1-15-0-4-46-348393_2023-1-15-0-5-36-898393_2023-1-15-15-0-41-818394_2023-1-15-18-0-0-568394_2023-1-15-19-44-58-718394_,10.0
2023-01-16,89.3,604.4,1,2023-1-16-9-57-49-958391-9204.000003099442_,0,2,2023-1-16-3-49-58-898391_2023-1-16-21-31-21-468394_,5.0
2023-01-17,100,405.5,0,[],0,2,2023-1-17-13-45-33-868393_2023-1-17-16-23-49-68393_,0.0
2023-01-18,100,406.7,0,[],0,5,2023-1-18-0-27-20-498393_2023-1-18-8-1-59-548393_2023-1-18-8-2-53-548393_2023-1-18-8-4-9-248393_2023-1-18-16-7-59-448393_,0.0
2023-01-19,100,434.9,0,[],0,3,2023-1-19-15-51-14-568391_2023-1-19-15-52-5-318391_2023-1-19-22-19-29-668391_,0.0
2023-01-20,100,523.6,0,[],1,14,2023-1-20-11-28-41-668393_2023-1-20-11-31-30-218393_2023-1-20-11-32-23-768393_2023-1-20-11-33-18-868393_2023-1-20-11-34-11-218393_2023-1-20-11-36-11-318393_2023-1-20-12-58-57-718393_2023-1-20-15-30-36-268393_2023-1-20-19-22-38-768393_2023-1-20-21-47-54-768393_2023-1-20-22-15-11-18393_2023-1-20-22-19-36-818393_2023-1-20-22-31-9-918393_2023-1-20-22-32-6-368393_,0.0
2023-01-21,100,326.9,0,[],0,2,2023-1-21-11-58-12-228393_2023-1-21-16-47-31-628393_,0.0
2023-01-22,100,471.4,0,[],0,10,2023-1-22-6-14-6-238393_2023-1-22-6-15-6-838393_2023-1-22-6-16-40-188393_2023-1-22-7-28-17-288393_2023-1-22-8-10-45-788393_2023-1-22-8-11-35-788393_2023-1-22-11-36-32-338393_2023-1-22-11-37-22-738393_2023-1-22-12-13-11-938393_2023-1-22-13-0-58-188393_,0.0
2023-01-23,100,410.2,0,[],0,4,2023-1-23-2-24-11-768393_2023-1-23-19-51-57-68393_2023-1-23-19-52-47-218393_2023-1-23-20-21-41-768393_,0.0
2023-01-24,100,506.4,0,[],0,4,2023-1-24-11-42-40-308393_2023-1-24-18-46-54-8393_2023-1-24-21-58-4-158393_2023-1-24-23-8-15-58393_,0.0
2023-01-25,100,544.5,0,[],2,1,2023-1-25-20-30-16-568393_,0.0
2023-01-26,100,537.1,0,[],0,1,2023-1-26-4-31-19-568393_,0.0
2023-01-27,100,501.4,0,[],1,3,2023-1-27-4-35-33-598393_2023-1-27-18-8-29-818393_2023-1-27-18-9-21-468393_,0.0
2023-01-28,100,464.0,0,[],0,5,2023-1-28-12-17-10-138393_2023-1-28-12-18-0-288393_2023-1-28-17-53-1-788393_2023-1-28-21-47-50-188393_2023-1-28-21-48-40-638393_,0.0
2023-01-29,100,598.3,0,[],0,3,2023-1-29-2-6-39-708393_2023-1-29-22-18-35-108393_2023-1-29-22-19-36-358393_,0.0
2023-01-30,100,571.4,0,[],1,0,[],0.0
2023-01-31,100,780.1,0,[],0,12,2023-1-31-7-10-50-938393_2023-1-31-11-50-34-188393_2023-1-31-13-1-29-888393_2023-1-31-13-2-20-438393_2023-1-31-14-25-54-388393_2023-1-31-14-31-4-338393_2023-1-31-16-54-54-688393_2023-1-31-16-55-45-188393_2023-1-31-19-26-49-488393_2023-1-31-19-27-39-988393_2023-1-31-23-5-9-38393_2023-1-31-23-20-56-688393_,0.0
2023-02-01,100,378.8,0,[],0,16,2023-2-1-0-27-56-778393_2023-2-1-0-28-46-878393_2023-2-1-8-59-38-278393_2023-2-1-12-51-0-478393_2023-2-1-13-2-52-778393_2023-2-1-13-5-28-478393_2023-2-1-13-18-12-978393_2023-2-1-13-19-9-778393_2023-2-1-14-22-41-578393_2023-2-1-14-23-32-528393_2023-2-1-14-40-8-478393_2023-2-1-14-41-1-378393_2023-2-1-17-39-7-428393_2023-2-1-17-40-25-228393_2023-2-1-18-19-53-428393_2023-2-1-20-8-26-328393_,0.0
2023-02-02,100,468.6,0,[],0,22,2023-2-2-1-5-6-518391_2023-2-2-1-31-2-818391_2023-2-2-2-56-25-418391_2023-2-2-3-3-1-318391_2023-2-2-3-45-49-718391_2023-2-2-4-41-53-68391_2023-2-2-5-35-41-168391_2023-2-2-5-39-15-168391_2023-2-2-7-38-40-918391_2023-2-2-7-40-13-768391_2023-2-2-7-41-4-218391_2023-2-2-9-31-55-718391_2023-2-2-9-54-7-368391_2023-2-2-10-44-35-168391_2023-2-2-10-48-53-568391_2023-2-2-12-16-7-768391_2023-2-2-12-16-58-368391_2023-2-2-13-16-54-268391_2023-2-2-13-37-2-718391_2023-2-2-20-55-19-618391_2023-2-2-20-56-10-468391_2023-2-2-21-0-51-568391_,25.0
2023-02-03,100,806.8,0,[],0,4,2023-2-3-6-10-38-608393_2023-2-3-12-2-30-208393_2023-2-3-19-9-59-608393_2023-2-3-19-10-54-558393_,0.0
2023-02-04,100,531.8,0,[],0,5,2023-2-4-10-48-30-198393_2023-2-4-10-49-40-598393_2023-2-4-16-51-51-498393_2023-2-4-22-1-13-848393_2023-2-4-22-9-50-798393_,0.0
2023-02-05,100,462.9,0,[],0,10,2023-2-5-5-53-47-308393_2023-2-5-5-54-37-408393_2023-2-5-5-59-48-558393_2023-2-5-6-2-47-358393_2023-2-5-6-3-38-608393_2023-2-5-12-58-1-208393_2023-2-5-12-58-52-808393_2023-2-5-16-54-21-458393_2023-2-5-16-55-36-608393_2023-2-5-22-37-22-8393_,0.0
2023-02-06,100,469.5,0,[],0,10,2023-2-6-1-51-50-508393_2023-2-6-1-56-4-908393_2023-2-6-1-57-13-508393_2023-2-6-1-58-28-958393_2023-2-6-11-11-18-258393_2023-2-6-12-11-11-8393_2023-2-6-12-13-29-608393_2023-2-6-12-14-21-508393_2023-2-6-23-8-25-858393_2023-2-6-23-9-16-658393_,15.0
2023-02-07,100,487.1,0,[],1,2,2023-2-7-0-17-16-298393_2023-2-7-0-18-6-398393_,0.0
2023-02-08,100,501.6,0,[],0,3,2023-2-8-15-49-35-388393_2023-2-8-23-21-37-688393_2023-2-8-23-40-24-738393_,0.0
2023-02-09,100,548.5,0,[],0,5,2023-2-9-6-14-9-568393_2023-2-9-7-49-20-68393_2023-2-9-9-52-34-418393_2023-2-9-9-53-24-468393_2023-2-9-11-29-26-268393_,0.0
2023-02-10,100,873.0,0,[],0,3,2023-2-10-2-43-14-408393_2023-2-10-10-33-50-308393_2023-2-10-23-28-49-608393_,0.0
2023-02-11,100,701.2,0,[],0,7,2023-2-11-0-2-52-798393_2023-2-11-0-3-53-198393_2023-2-11-0-28-45-98393_2023-2-11-7-2-47-348393_2023-2-11-7-3-57-548393_2023-2-11-8-36-28-548393_2023-2-11-8-42-41-898393_,0.0
2023-02-12,100,428.7,0,[],0,7,2023-2-12-3-14-52-178393_2023-2-12-10-47-3-678393_2023-2-12-13-34-15-428393_2023-2-12-14-38-28-78393_2023-2-12-14-39-18-228393_2023-2-12-20-59-53-478393_2023-2-12-21-0-43-878393_,0.0
2023-02-13,100,513.2,0,[],0,2,2023-2-13-8-6-17-398393_2023-2-13-8-7-7-548393_,0.0
2023-02-14,100,413.7,0,[],1,1,2023-2-14-22-36-54-368393_,0.0
2023-02-15,100,411.8,0,[],2,17,2023-2-15-0-6-15-298393_2023-2-15-3-3-3-848393_2023-2-15-4-19-19-48393_2023-2-15-5-45-47-98393_2023-2-15-5-56-2-798393_2023-2-15-5-56-53-48393_2023-2-15-6-4-32-998393_2023-2-15-6-9-34-798393_2023-2-15-7-5-56-398393_2023-2-15-8-36-52-548393_2023-2-15-8-37-43-98393_2023-2-15-11-23-18-98393_2023-2-15-11-24-12-248393_2023-2-15-12-8-11-548393_2023-2-15-12-9-1-798393_2023-2-15-12-17-41-98393_2023-2-15-22-5-56-768393_,25.0
2023-02-16,100,-836.6,0,[],1,9,2023-2-16-2-50-36-968393_2023-2-16-2-59-34-68393_2023-2-16-5-10-30-818393_2023-2-16-5-23-40-918393_2023-2-16-15-29-10-368393_2023-2-16-17-20-50-568393_2023-2-16-17-32-52-718393_2023-2-16-21-56-56-968393_2023-2-16-22-24-44-718393_,5.0
2023-02-17,100,-81.4,0,[],0,12,2023-2-17-5-25-13-128393_2023-2-17-6-23-7-78393_2023-2-17-6-24-16-128393_2023-2-17-8-53-10-228393_2023-2-17-9-5-22-878393_2023-2-17-10-38-55-478393_2023-2-17-10-40-11-278393_2023-2-17-12-13-43-328393_2023-2-17-16-56-51-478393_2023-2-17-16-57-54-728393_2023-2-17-21-36-58-828393_2023-2-17-21-37-58-828393_,25.0
2023-02-18,100,118.7,0,[],1,2,2023-2-18-15-23-42-488393_2023-2-18-23-47-34-818393_,0.0
2023-02-19,100,240.0,0,[],1,9,2023-2-19-2-55-53-318393_2023-2-19-2-58-5-818393_2023-2-19-2-58-56-368393_2023-2-19-2-59-51-18393_2023-2-19-4-45-39-668393_2023-2-19-7-8-30-518393_2023-2-19-8-51-29-118393_2023-2-19-8-52-21-218393_2023-2-19-16-5-47-168393_,0.0
2023-02-20,100,324.8,0,[],1,4,2023-2-20-11-11-22-578393_2023-2-20-17-22-11-328393_2023-2-20-18-27-37-978393_2023-2-20-21-32-32-768393_,0.0
2023-02-21,100,496.3,0,[],0,8,2023-2-21-4-46-48-568393_2023-2-21-11-55-43-918393_2023-2-21-13-8-8-18393_2023-2-21-13-50-22-68393_2023-2-21-13-51-15-118393_2023-2-21-21-23-33-118393_2023-2-21-21-24-23-518393_2023-2-21-23-50-16-768393_,0.0
2023-02-22,100,386.7,0,[],0,12,2023-2-22-1-35-52-278393_2023-2-22-2-35-51-378393_2023-2-22-9-26-33-678393_2023-2-22-10-46-46-428393_2023-2-22-12-18-31-828393_2023-2-22-13-2-28-378393_2023-2-22-17-32-29-478393_2023-2-22-21-18-34-678393_2023-2-22-22-42-47-578393_2023-2-22-22-59-39-378393_2023-2-22-23-5-35-228393_2023-2-22-23-29-29-878393_,0.0
2023-02-23,100,518.1,0,[],0,11,2023-2-23-1-37-45-938393_2023-2-23-2-2-32-538393_2023-2-23-2-3-35-638393_2023-2-23-2-5-45-388393_2023-2-23-11-48-48-988393_2023-2-23-15-43-16-288393_2023-2-23-21-57-21-538393_2023-2-23-21-58-58-38393_2023-2-23-22-0-2-438393_2023-2-23-23-10-37-88393_2023-2-23-23-11-27-588393_,0.0
2023-02-24,100,577.1,0,[],0,1,2023-2-24-22-46-35-148394_,0.0
2023-02-25,100,532.8,0,[],1,2,2023-2-25-13-16-19-408393_2023-2-25-13-17-15-58393_,0.0
2023-02-26,100,474.4,0,[],1,4,2023-2-26-4-32-28-298393_2023-2-26-14-22-20-348393_2023-2-26-21-14-37-468393_2023-2-26-21-15-52-868393_,0.0
2023-02-27,100,494.7,0,[],0,2,2023-2-27-10-53-5-688393_2023-2-27-10-53-56-488393_,0.0
2023-02-28,100,491.0,0,[],0,5,2023-2-28-2-15-17-48393_2023-2-28-7-23-0-448393_2023-2-28-16-58-57-48393_2023-2-28-18-43-58-248393_2023-2-28-18-44-49-398393_,0.0
2023-03-01,100,496.4,0,[],1,6,2023-3-1-11-51-54-708393_2023-3-1-11-52-44-808393_2023-3-1-19-4-5-358393_2023-3-1-19-4-55-508393_2023-3-1-19-49-35-518393_2023-3-1-20-53-7-718393_,0.0
2023-03-02,100,609.4,0,[],1,8,2023-3-2-12-14-0-168393_2023-3-2-12-14-50-168393_2023-3-2-13-13-41-618393_2023-3-2-16-34-26-318393_2023-3-2-18-11-23-218393_2023-3-2-19-41-18-568393_2023-3-2-19-42-8-568393_2023-3-2-20-42-45-618393_,0.0
2023-03-03,100,519.8,0,[],0,9,2023-3-3-2-5-49-578394_2023-3-3-2-7-20-728394_2023-3-3-2-9-16-728394_2023-3-3-11-0-28-978394_2023-3-3-15-49-6-228394_2023-3-3-15-49-57-28394_2023-3-3-15-50-47-478394_2023-3-3-18-48-39-878394_2023-3-3-18-49-30-428394_,0.0
2023-03-04,100,485.1,0,[],0,8,2023-3-4-7-6-36-298393_2023-3-4-7-9-47-748393_2023-3-4-7-15-11-848393_2023-3-4-7-25-11-748393_2023-3-4-11-46-13-698393_2023-3-4-13-21-21-898393_2023-3-4-13-22-13-998393_2023-3-4-16-11-40-48393_,0.0
2023-03-05,100,-722.5,0,[],0,1,2023-3-5-13-26-5-188393_,0.0
2023-03-06,100,217.4,0,[],0,6,2023-3-6-3-59-57-428393_2023-3-6-4-0-8-228393_2023-3-6-19-27-34-28393_2023-3-6-21-29-17-378393_2023-3-6-22-42-3-778393_2023-3-6-22-42-55-278393_,0.0
2023-03-07,82.2,547.1,1,2023-3-7-8-10-33-958393-15405.000000953674_,0,2,2023-3-7-4-0-45-248393_2023-3-7-4-1-47-198393_,15.0
2023-03-08,100,316.3,0,[],0,3,2023-3-8-11-11-20-508393_2023-3-8-22-5-29-958393_2023-3-8-22-6-21-208393_,0.0
2023-03-09,100,126.5,0,[],0,2,2023-3-9-14-13-42-588394_2023-3-9-16-48-35-538394_,0.0
2023-03-10,78.2,498.7,1,2023-3-10-7-20-21-958393-18801.000000953674_,0,4,2023-3-10-6-27-59-278393_2023-3-10-13-54-12-868394_2023-3-10-13-59-32-918394_2023-3-10-17-59-11-368394_,15.0
2023-03-11,100,273.0,0,[],0,16,2023-3-11-14-9-14-8393_2023-3-11-17-23-16-608393_2023-3-11-17-24-8-908393_2023-3-11-17-28-52-708393_2023-3-11-17-29-42-858393_2023-3-11-18-42-18-108393_2023-3-11-19-18-16-758393_2023-3-11-19-45-38-358393_2023-3-11-19-47-19-408393_2023-3-11-20-18-3-308393_2023-3-11-20-27-53-508393_2023-3-11-21-40-25-408393_2023-3-11-23-31-25-208393_2023-3-11-23-47-39-158393_2023-3-11-23-53-1-58393_2023-3-11-23-53-51-808393_,0.0
2023-03-12,54.2,712.8,1,2023-3-12-2-24-44-958393-39598.000000953674_,0,4,2023-3-12-0-0-2-148393_2023-3-12-16-25-56-268394_2023-3-12-16-26-47-768394_2023-3-12-20-2-37-918394_,40.0
2023-03-13,92.3,363.0,1,2023-3-13-10-40-4-958393-6669.000000953674_,0,14,2023-3-13-3-14-22-148393_2023-3-13-7-57-35-798393_2023-3-13-7-58-26-48393_2023-3-13-8-4-10-698393_2023-3-13-8-5-12-798393_2023-3-13-9-39-43-998393_2023-3-13-16-59-18-68394_2023-3-13-17-2-42-468394_2023-3-13-18-56-55-268394_2023-3-13-18-59-49-268394_2023-3-13-19-30-19-68394_2023-3-13-23-48-29-318394_2023-3-13-23-49-19-768394_2023-3-13-23-50-26-168394_,0.0
2023-03-14,52.2,846.5,1,2023-3-14-0-52-41-958393-41288.000000953674_,0,3,2023-3-14-0-38-48-878393_2023-3-14-17-29-38-768394_2023-3-14-21-56-48-668394_,40.0
