fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-08-04,4.8,15202.7,1,2023-8-4-0-0-0-0-82214.06_,0,0,[],-9
2023-08-05,100.0,13697.4,2,2023-8-5-1-36-13-15000-2.059999704360962_2023-8-5-20-0-28-840000-6.179999828338623_,0,0,[],-9
2023-08-06,100,13676.0,0,[],0,0,[],-9
2023-08-07,100,12949.7,0,[],0,0,[],-9
2023-08-08,100.0,12961.3,2,2023-8-8-0-0-0-0-0.985_2023-8-8-21-53-3-900000-8.239999771118164_,0,0,[],-9
2023-08-09,100.0,13165.7,2,2023-8-9-0-0-0-0-2.015_2023-8-9-23-53-12-780000-8.239999771118164_,0,0,[],-9
2023-08-10,100.0,13092.2,1,2023-8-10-0-0-0-0-0.665_,0,0,[],-9
2023-08-11,100.0,13078.2,1,2023-8-11-0-0-0-0-0.495_,0,0,[],-9
2023-08-12,100,13406.5,0,[],0,0,[],-9
2023-08-13,100,13396.9,0,[],0,0,[],-9
2023-08-14,100.0,13283.1,1,2023-8-14-0-0-0-0-1.135_,0,0,[],-9
2023-08-15,100.0,13365.2,1,2023-8-15-0-0-0-0-0.965_,1,0,[],30.0
2023-08-16,100.0,13220.6,1,2023-8-16-1-23-53-420000-8.239999771118164_,0,0,[],30.0
2023-08-17,100,13179.3,0,[],0,2,2023-8-17-17-6-17-965000_2023-8-17-18-17-7-315000_,30.0
2023-08-18,100,13130.6,0,[],0,1,2023-8-18-9-32-51-895000_,30.0
2023-08-19,100,13163.4,0,[],0,0,[],30.0
2023-08-20,100,13094.4,0,[],0,0,[],30.0
2023-08-21,100,13015.1,0,[],1,0,[],30.0
2023-08-22,100,12672.7,0,[],0,0,[],30.0
2023-08-23,100.0,12545.6,1,2023-8-23-19-32-53-220000-16.479999780654907_,0,0,[],30.0
2023-08-24,100,12720.6,0,[],0,0,[],30.0
2023-08-25,100,12750.9,0,[],3,0,[],30.0
2023-08-26,100,12847.9,0,[],0,0,[],30.0
2023-08-27,100,13200.3,0,[],1,0,[],30.0
2023-08-28,100,13162.8,0,[],0,0,[],30.0
2023-08-29,100,13362.6,0,[],0,0,[],30.0
2023-08-30,100.0,13468.3,1,2023-8-30-0-0-0-0-1.125_,1,0,[],30.0
2023-08-31,100,13699.9,0,[],0,0,[],30.0
2023-09-01,99.9,13720.8,1,2023-9-1-20-22-29-760000-119.47999978065491_,1,0,[],30.0
2023-09-02,100,13786.3,0,[],0,0,[],30.0
2023-09-03,100,13502.7,0,[],0,0,[],30.0
2023-09-04,100.0,13314.2,1,2023-9-4-0-0-0-0-1.145_,0,0,[],30.0
2023-09-05,100.0,13229.5,2,2023-9-5-0-0-0-0-0.495_2023-9-5-16-58-22-790000-6.179999828338623_,0,0,[],30.0
2023-09-06,100,13507.0,0,[],0,0,[],30.0
2023-09-07,100.0,13391.2,2,2023-9-7-0-0-0-0-0.725_2023-9-7-20-58-17-930000-8.240000009536743_,0,1,2023-9-7-8-54-20-975000_,30.0
2023-09-08,100,13313.4,0,[],0,0,[],30.0
2023-09-09,100,13425.3,0,[],0,0,[],30.0
2023-09-10,100.0,13319.1,1,2023-9-10-21-16-35-180000-6.179999828338623_,0,0,[],30.0
2023-09-11,100.0,13039.9,1,2023-9-11-20-56-13-400000-6.179999828338623_,0,0,[],30.0
2023-09-12,100.0,12679.6,1,2023-9-12-0-0-0-0-0.395_,0,0,[],30.0
2023-09-13,100.0,12920.4,1,2023-9-13-0-0-0-0-1.465_,1,0,[],30.0
2023-09-14,100,12687.9,0,[],1,0,[],30.0
2023-09-15,100,12377.8,0,[],0,0,[],30.0
2023-09-16,100,12507.5,0,[],0,0,[],30.0
2023-09-17,100,12360.8,0,[],0,0,[],30.0
2023-09-18,100,12212.9,0,[],0,0,[],30.0
2023-09-19,100,12346.0,0,[],1,0,[],30.0
2023-09-20,100.0,12232.0,1,2023-9-20-16-58-37-500000-7.4599997997283936_,0,0,[],30.0
2023-09-21,100,12373.1,0,[],0,0,[],30.0
2023-09-22,100.0,12299.2,1,2023-9-22-0-0-0-0-0.685_,1,0,[],30.0
2023-09-23,100,12396.2,0,[],0,0,[],30.0
2023-09-24,100,12442.8,0,[],0,0,[],30.0
2023-09-25,100.0,12310.0,3,2023-9-25-0-0-0-0-1.935_2023-9-25-19-42-0-760000-8.239999771118164_2023-9-25-19-43-25-150000-4.119999885559082_,0,0,[],30.0
2023-09-26,100,12411.1,0,[],0,0,[],30.0
2023-09-27,100.0,12324.7,1,2023-9-27-0-0-0-0-0.565_,0,0,[],30.0
2023-09-28,100.0,12019.0,1,2023-9-28-19-20-16-690000-8.240000247955322_,0,0,[],30.0
2023-09-29,100.0,11737.5,1,2023-9-29-0-0-0-0-1.495_,0,0,[],30.0
2023-09-30,100,11894.0,0,[],0,0,[],30.0
2023-10-01,100,12103.2,0,[],0,0,[],30.0
2023-10-02,100.0,12121.6,1,2023-10-2-0-0-0-0-0.665_,0,0,[],30.0
2023-10-03,100.0,11987.1,1,2023-10-3-0-0-0-0-1.195_,0,0,[],30.0
2023-10-04,100.0,12445.5,2,2023-10-4-0-0-0-0-1.155_2023-10-4-17-30-34-260000-8.239999771118164_,0,0,[],30.0
2023-10-05,100.0,13092.3,1,2023-10-5-17-15-17-10000-6.180000066757202_,0,0,[],30.0
2023-10-06,99.9,13177.7,2,2023-10-6-0-0-0-0-1.815_2023-10-6-15-52-36-500000-78.27999973297119_,0,0,[],30.0
2023-10-07,100,13354.3,0,[],0,0,[],30.0
2023-10-08,100,13550.8,0,[],0,0,[],30.0
2023-10-09,100.0,13655.0,1,2023-10-9-0-0-0-0-1.595_,0,0,[],30.0
2023-10-10,100.0,13833.8,1,2023-10-10-0-0-0-0-1.985_,0,0,[],30.0
2023-10-11,100.0,13608.7,1,2023-10-11-0-0-0-0-0.295_,1,0,[],30.0
2023-10-12,100.0,13539.3,1,2023-10-12-0-0-0-0-1.095_,0,0,[],30.0
