fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,715.1,1,2023-1-1-0-0-0-0-2.758393_,0,4,2023-1-1-8-24-6-958393_2023-1-1-10-55-56-258393_2023-1-1-15-19-16-108393_2023-1-1-20-23-32-458393_,0.0
2023-01-02,100,749.0,0,[],0,5,2023-1-2-2-6-0-438393_2023-1-2-2-18-42-938393_2023-1-2-8-45-7-788393_2023-1-2-13-26-50-588393_2023-1-2-18-9-55-438393_,0.0
2023-01-03,100,783.4,0,[],0,5,2023-1-3-0-23-0-668393_2023-1-3-3-39-57-318393_2023-1-3-4-56-35-368393_2023-1-3-7-9-24-218393_2023-1-3-21-21-30-568393_,0.0
2023-01-04,100,773.7,0,[],0,2,2023-1-4-6-22-16-618393_2023-1-4-17-59-1-768393_,0.0
2023-01-05,100,757.8,0,[],0,3,2023-1-5-11-4-51-558393_2023-1-5-17-37-38-58393_2023-1-5-22-36-35-208393_,0.0
2023-01-06,100,746.4,0,[],0,4,2023-1-6-0-4-2-258393_2023-1-6-17-17-16-258393_2023-1-6-20-29-5-558393_2023-1-6-22-10-12-308393_,0.0
2023-01-07,100,774.6,0,[],0,0,[],0.0
2023-01-08,100,789.6,0,[],0,7,2023-1-8-10-48-59-538393_2023-1-8-13-10-40-988393_2023-1-8-13-31-6-388393_2023-1-8-13-32-2-888393_2023-1-8-13-33-21-138393_2023-1-8-18-39-38-588393_2023-1-8-22-17-48-138393_,0.0
2023-01-09,100,787.1,0,[],0,9,2023-1-9-0-33-28-538393_2023-1-9-3-50-1-938393_2023-1-9-7-49-16-188393_2023-1-9-8-28-50-288393_2023-1-9-8-32-52-688393_2023-1-9-10-20-23-888393_2023-1-9-12-5-5-538393_2023-1-9-16-16-53-188393_2023-1-9-19-3-36-738393_,0.0
2023-01-10,100,653.5,0,[],0,4,2023-1-10-8-28-55-168393_2023-1-10-10-14-15-818393_2023-1-10-13-4-23-118393_2023-1-10-23-53-2-668393_,0.0
2023-01-11,100,748.6,0,[],0,2,2023-1-11-12-44-20-218391_2023-1-11-21-12-33-168391_,0.0
2023-01-12,100,749.0,0,[],0,5,2023-1-12-0-18-23-38393_2023-1-12-2-55-12-938393_2023-1-12-11-12-47-88393_2023-1-12-21-52-52-88393_2023-1-12-23-11-39-238393_,0.0
2023-01-13,100,800.4,0,[],0,8,2023-1-13-5-50-56-568393_2023-1-13-7-22-49-18393_2023-1-13-9-6-50-868393_2023-1-13-14-56-1-268393_2023-1-13-15-40-11-368393_2023-1-13-15-46-52-368393_2023-1-13-16-42-37-768393_2023-1-13-23-57-26-618393_,0.0
2023-01-14,100,773.8,0,[],0,6,2023-1-14-0-54-19-978394_2023-1-14-5-33-5-178394_2023-1-14-6-33-8-378394_2023-1-14-8-47-49-78394_2023-1-14-10-19-29-78394_2023-1-14-18-19-21-378394_,0.0
2023-01-15,100,785.6,0,[],0,6,2023-1-15-3-9-7-408393_2023-1-15-4-5-5-158393_2023-1-15-4-49-9-208393_2023-1-15-14-26-2-808393_2023-1-15-17-0-0-858393_2023-1-15-20-35-47-808393_,0.0
2023-01-16,100,839.2,0,[],0,2,2023-1-16-0-15-35-508393_2023-1-16-10-49-55-8393_,0.0
2023-01-17,100,818.8,0,[],0,2,2023-1-17-4-41-19-258393_2023-1-17-9-49-13-208393_,0.0
2023-01-18,100,813.6,0,[],0,5,2023-1-18-0-21-57-158393_2023-1-18-4-58-48-408393_2023-1-18-12-8-9-508393_2023-1-18-20-11-56-508393_2023-1-18-20-16-40-758393_,0.0
2023-01-19,100,804.7,0,[],0,2,2023-1-19-5-34-50-978393_2023-1-19-19-47-57-678393_,0.0
