fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100,167.7,0,[],0,7,2023-1-1-0-41-55-808393_2023-1-1-3-10-0-58393_2023-1-1-5-31-27-258393_2023-1-1-7-48-1-458393_2023-1-1-15-19-12-458393_2023-1-1-17-12-18-958393_2023-1-1-20-23-32-758393_,0.0
2023-01-02,100,190.6,0,[],0,6,2023-1-2-2-5-56-168393_2023-1-2-5-12-34-268393_2023-1-2-6-13-58-518393_2023-1-2-8-45-0-18393_2023-1-2-16-51-33-18393_2023-1-2-18-9-53-368393_,0.0
2023-01-03,100,211.1,0,[],0,7,2023-1-3-0-22-45-158393_2023-1-3-3-39-51-558393_2023-1-3-7-9-19-58393_2023-1-3-8-1-6-358393_2023-1-3-10-52-30-358393_2023-1-3-21-10-53-558393_2023-1-3-21-21-29-508393_,0.0
2023-01-04,100,123.8,0,[],0,3,2023-1-4-6-22-31-988393_2023-1-4-17-58-59-238393_2023-1-4-19-37-52-988393_,0.0
2023-01-05,100,243.7,0,[],0,5,2023-1-5-1-39-8-668393_2023-1-5-11-4-53-468393_2023-1-5-15-11-0-168393_2023-1-5-16-49-19-568393_2023-1-5-21-1-53-118393_,0.0
2023-01-06,100,204.0,0,[],0,6,2023-1-6-0-4-6-28393_2023-1-6-11-24-44-28393_2023-1-6-14-58-40-978393_2023-1-6-17-17-7-278393_2023-1-6-20-28-58-28393_2023-1-6-22-10-10-228393_,0.0
2023-01-07,100,152.7,0,[],0,3,2023-1-7-0-45-15-198393_2023-1-7-9-54-16-698393_2023-1-7-23-48-38-798393_,0.0
2023-01-08,100,232.7,0,[],0,6,2023-1-8-8-2-52-418393_2023-1-8-10-48-52-68393_2023-1-8-13-31-38-768393_2023-1-8-13-32-32-218393_2023-1-8-13-37-48-218393_2023-1-8-21-4-10-818393_,0.0
2023-01-09,100,-3.3,0,[],0,7,2023-1-9-5-22-5-198394_2023-1-9-8-28-49-748394_2023-1-9-9-37-56-98394_2023-1-9-13-40-34-48394_2023-1-9-18-54-3-898394_2023-1-9-18-55-31-598394_2023-1-9-23-36-18-198394_,0.0
2023-01-10,100,466.6,0,[],0,2,2023-1-10-1-26-18-778393_2023-1-10-9-30-7-28393_,0.0
2023-01-11,100,311.6,0,[],0,2,2023-1-11-3-27-33-938391_2023-1-11-6-49-44-588391_,0.0
