fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,13679.0,1,2023-1-1-0-0-0-0-1.554538_,0,0,[],35.0
2023-01-02,100,13712.4,0,[],0,1,2023-1-2-18-3-15-789538_,35.0
2023-01-03,100,13732.7,0,[],0,0,[],35.0
2023-01-04,100,13735.7,0,[],0,0,[],35.0
2023-01-05,100,13739.4,0,[],0,1,2023-1-5-11-4-24-14538_,35.0
2023-01-06,100,13743.5,0,[],0,0,[],35.0
2023-01-07,100,13748.3,0,[],0,0,[],35.0
2023-01-08,100,13765.2,0,[],0,0,[],35.0
2023-01-09,100,13767.1,0,[],0,0,[],35.0
2023-01-10,100,13775.7,0,[],0,0,[],35.0
2023-01-11,100,13785.3,0,[],0,0,[],35.0
2023-01-12,100,13804.7,0,[],0,1,2023-1-12-2-54-46-104538_,35.0
2023-01-13,100,13816.0,0,[],0,2,2023-1-13-7-22-18-724538_2023-1-13-16-42-6-624538_,35.0
2023-01-14,100,13832.4,0,[],0,1,2023-1-14-20-27-11-259538_,35.0
2023-01-15,100,13809.9,0,[],0,0,[],35.0
2023-01-16,100,13809.8,0,[],0,0,[],35.0
2023-01-17,100,13811.0,0,[],0,0,[],35.0
2023-01-18,100,13827.4,0,[],0,0,[],35.0
2023-01-19,100,13843.9,0,[],0,0,[],35.0
2023-01-20,100,13911.3,0,[],1,0,[],35.0
2023-01-21,100,13960.2,0,[],0,0,[],35.0
2023-01-22,100,13971.2,0,[],0,0,[],35.0
2023-01-23,100,14010.1,0,[],0,0,[],35.0
2023-01-24,100,14057.6,0,[],0,0,[],35.0
2023-01-25,100,14077.2,0,[],2,0,[],35.0
2023-01-26,100,14082.4,0,[],0,0,[],35.0
2023-01-27,100,14060.7,0,[],1,0,[],35.0
2023-01-28,100,14028.2,0,[],0,0,[],35.0
2023-01-29,100,13981.7,0,[],0,1,2023-1-29-2-5-51-679538_,35.0
2023-01-30,100,13932.7,0,[],1,0,[],35.0
2023-01-31,100,13910.7,0,[],0,0,[],35.0
