fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,60.9,7762.9,2,2023-1-1-0-0-0-0-2.134538_2023-1-1-3-0-56-979538-33803.000000715256_,0,0,[],30.0
2023-01-02,57.4,7186.2,1,2023-1-2-2-24-17-979538-36811.000000715256_,0,0,[],30.0
2023-01-03,60.4,7748.0,1,2023-1-3-2-59-9-979538-34203.000000715256_,0,0,[],25.0
2023-01-04,60.4,8342.2,1,2023-1-4-2-39-10-979538-34178.00000286102_,0,0,[],30.0
2023-01-05,61.0,8877.5,1,2023-1-5-2-54-41-979538-33667.00000286102_,0,0,[],30.0
2023-01-06,60.8,8118.3,1,2023-1-6-2-54-12-979538-33870.00000286102_,0,0,[],25.0
2023-01-07,62.0,8212.7,1,2023-1-7-3-1-1-979538-32807.00000286102_,0,0,[],30.0
2023-01-08,52.8,7236.2,1,2023-1-8-0-51-19-979538-40799.000000715256_,0,0,[],30.0
2023-01-09,52.4,8746.8,1,2023-1-9-0-34-23-979538-41096.00000286102_,0,0,[],30.0
2023-01-10,53.3,7787.6,1,2023-1-10-1-31-59-979538-40310.000000715256_,0,0,[],25.0
2023-01-11,55.1,7189.2,1,2023-1-11-1-31-15-979538-38823.00000286102_,0,0,[],30.0
2023-01-12,47.5,8726.9,1,2023-1-12-0-3-59-979539-45349.99999976158_,0,0,[],30.0
2023-01-13,57.8,7691.6,1,2023-1-13-2-15-33-979538-36495.000000715256_,0,0,[],30.0
2023-01-14,12.3,8056.8,1,2023-1-14-2-57-5-979538-75774.020462_,0,0,[],40.0
2023-01-15,38.3,6073.2,2,2023-1-15-0-0-0-0-51102.984539_2023-1-15-23-22-48-979539-2231.020461_,0,0,[],40.0
2023-01-16,47.8,8923.3,1,2023-1-16-0-0-0-0-45103.984539_,0,0,[],40.0
2023-01-17,56.7,7758.5,1,2023-1-17-1-55-22-979538-37436.000000715256_,0,0,[],25.0
2023-01-18,52.5,8414.9,1,2023-1-18-1-15-44-979536-41044.00000286102_,0,0,[],30.0
2023-01-19,47.4,8393.6,1,2023-1-19-0-57-7-979538-45460.00000286102_,0,0,[],25.0
2023-01-20,56.9,8797.4,1,2023-1-20-2-13-53-979538-37250.000000715256_,1,0,[],30.0
2023-01-21,55.2,9064.9,1,2023-1-21-1-44-41-979538-38677.00000286102_,0,0,[],25.0
2023-01-22,57.5,8674.5,1,2023-1-22-2-15-3-979539-36735.99999976158_,0,0,[],25.0
2023-01-23,57.7,7592.3,1,2023-1-23-2-3-3-979538-36585.000000715256_,0,0,[],25.0
2023-01-24,56.6,7229.2,1,2023-1-24-2-6-42-979538-37507.000000715256_,0,0,[],30.0
2023-01-25,8.1,7551.3,1,2023-1-25-1-56-2-979538-79437.020462_,0,0,[],40.0
2023-01-26,48.5,8187.1,1,2023-1-26-0-0-0-0-44502.984541_,0,0,[],40.0
2023-01-27,58.3,8651.9,1,2023-1-27-2-27-53-979538-36056.000000715256_,1,0,[],25.0
2023-01-28,58.6,8887.2,1,2023-1-28-2-30-36-979538-35802.000000715256_,0,0,[],25.0
2023-01-29,60.3,9083.2,1,2023-1-29-2-45-10-979538-34269.00000286102_,0,0,[],25.0
2023-01-30,61.9,8347.2,1,2023-1-30-3-9-42-979539-32940.99999976158_,1,0,[],25.0
2023-01-31,60.4,7962.8,1,2023-1-31-2-52-35-979538-34214.00000286102_,0,0,[],25.0
2023-02-01,60.9,9088.1,1,2023-2-1-2-54-1-979538-33798.000000715256_,0,0,[],30.0
2023-02-02,61.3,9239.6,1,2023-2-2-3-3-5-979538-33457.00000286102_,0,0,[],25.0
2023-02-03,60.1,8506.0,1,2023-2-3-2-51-52-979538-34437.00000286102_,0,0,[],25.0
2023-02-04,60.4,8195.9,1,2023-2-4-3-2-38-979538-34174.00000286102_,0,0,[],30.0
2023-02-05,58.1,7283.0,1,2023-2-5-2-47-46-979538-36242.00000286102_,0,0,[],30.0
2023-02-06,53.7,6354.1,3,2023-2-6-2-23-9-979538-35625.000000715256_2023-2-6-12-32-23-979539-1916.0000019073486_2023-2-6-13-38-27-979541-2421.999997615814_,0,0,[],30.0
2023-02-07,59.7,7896.8,1,2023-2-7-2-32-41-979538-34807.00000286102_,1,0,[],30.0
2023-02-08,58.0,8236.2,1,2023-2-8-2-39-37-979538-36282.00000286102_,0,0,[],25.0
2023-02-09,58.1,7712.3,1,2023-2-9-2-9-30-979538-36229.000000715256_,0,0,[],30.0
2023-02-10,43.2,5846.7,3,2023-2-10-0-13-25-979538-45887.000000715256_2023-2-10-13-12-59-979539-1393.9999997615814_2023-2-10-14-35-47-979539-1832.0000019073486_,0,0,[],30.0
2023-02-11,45.6,7086.1,1,2023-2-11-1-37-26-979538-46972.00000286102_,0,0,[],30.0
2023-02-12,56.1,8180.6,1,2023-2-12-1-42-16-979538-37893.000000715256_,0,0,[],30.0
2023-02-13,57.2,8119.1,1,2023-2-13-2-17-21-979538-36988.00000286102_,0,0,[],30.0
2023-02-14,59.1,8174.6,1,2023-2-14-2-17-22-979538-35336.00000286102_,1,0,[],30.0
2023-02-15,49.8,8059.3,1,2023-2-15-2-22-48-979538-43410.000000715256_,2,0,[],25.0
2023-02-16,51.3,5696.2,3,2023-2-16-2-24-8-979538-38825.00000286102_2023-2-16-13-33-12-979541-1746.9999976158142_2023-2-16-15-30-36-979539-1536.0000019073486_,1,0,[],30.0
2023-02-17,58.6,7504.8,1,2023-2-17-2-16-21-979538-35757.000000715256_,0,0,[],35.0
2023-02-18,58.2,8534.2,1,2023-2-18-2-17-20-979538-36113.000000715256_,1,0,[],30.0
2023-02-19,58.8,8921.9,1,2023-2-19-2-27-47-979539-35611.00000190735_,1,0,[],25.0
2023-02-20,60.6,9084.7,1,2023-2-20-2-43-33-979538-34066.00000286102_,1,0,[],25.0
2023-02-21,11.8,9659.1,1,2023-2-21-2-49-27-979538-76232.020462_,0,0,[],40.0
2023-02-22,47.3,6781.6,1,2023-2-22-0-0-0-0-45528.984539_,0,0,[],40.0
2023-02-23,46.4,8106.1,2,2023-2-23-20-33-57-979541-12362.020459_2023-2-23-2-44-2-979538-33911.00000286102_,0,0,[],30.0
2023-02-24,12.7,7231.2,1,2023-2-24-0-0-0-0-75409.984539_,0,0,[],40.0
2023-02-25,100,6356.7,0,[],1,0,[],40.0
2023-02-26,100,6509.5,0,[],1,0,[],40.0
2023-02-27,100,6407.8,0,[],0,0,[],40.0
2023-02-28,100,6196.8,0,[],0,0,[],40.0
2023-03-01,100,5682.6,0,[],1,0,[],40.0
2023-03-02,100,5218.5,0,[],1,0,[],40.0
2023-03-03,100,4653.5,0,[],0,0,[],40.0
2023-03-04,100,4726.4,0,[],0,0,[],40.0
2023-03-05,100,4290.4,0,[],0,0,[],40.0
2023-03-06,100,4085.1,0,[],0,0,[],40.0
2023-03-07,100,4240.1,0,[],0,0,[],40.0
2023-03-08,100,5065.1,0,[],0,0,[],40.0
2023-03-09,100,5606.0,0,[],0,0,[],40.0
2023-03-10,100,5112.7,0,[],0,0,[],40.0
2023-03-11,100,4444.8,0,[],0,0,[],40.0
2023-03-12,100,3733.7,0,[],0,0,[],40.0
2023-03-13,100,3848.5,0,[],0,0,[],40.0
2023-03-14,100,4154.5,0,[],0,0,[],40.0
2023-03-15,100,3695.5,0,[],0,0,[],40.0
2023-03-16,100,4194.3,0,[],0,0,[],40.0
2023-03-17,100,5252.0,0,[],0,0,[],40.0
2023-03-18,100,6047.0,0,[],0,0,[],40.0
2023-03-19,100,6200.8,0,[],0,0,[],40.0
2023-03-20,100,5816.6,0,[],0,0,[],40.0
2023-03-21,100,5958.2,0,[],0,0,[],40.0
2023-03-22,100,6159.4,0,[],0,0,[],40.0
2023-03-23,100,6455.6,0,[],0,0,[],40.0
2023-03-24,100,6340.9,0,[],0,0,[],40.0
2023-03-25,100,6181.9,0,[],0,0,[],40.0
2023-03-26,100,5121.1,0,[],0,0,[],40.0
2023-03-27,100,4537.7,0,[],1,0,[],40.0
2023-03-28,100,4725.8,0,[],2,0,[],40.0
2023-03-29,100,5047.7,0,[],1,0,[],40.0
2023-03-30,100,5805.4,0,[],2,0,[],40.0
2023-03-31,100,5169.2,0,[],0,1,2023-3-31-15-11-58-994538_,40.0
2023-04-01,100,4246.5,0,[],0,1,2023-4-1-15-37-36-789538_,40.0
2023-04-02,100,4417.5,0,[],0,1,2023-4-2-19-48-12-644538_,40.0
2023-04-03,100,4338.6,0,[],0,0,[],40.0
2023-04-04,100,5409.3,0,[],0,0,[],40.0
2023-04-05,100,5270.8,0,[],2,0,[],40.0
2023-04-06,100,5206.8,0,[],0,0,[],40.0
2023-04-07,100,5150.3,0,[],0,0,[],40.0
2023-04-08,100,4248.7,0,[],0,0,[],40.0
2023-04-09,100,3884.3,0,[],0,0,[],40.0
2023-04-10,100,5239.6,0,[],0,0,[],40.0
2023-04-11,100,6165.0,0,[],0,0,[],40.0
