fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-15.0,1,2023-1-1-0-0-0-0-0.695_,0,0,[],60.0
2023-01-02,100.0,-15.5,1,2023-1-2-6-2-15-975000-2.0199997425079346_,0,0,[],65.0
2023-01-03,99.9,-3.8,3,2023-1-3-1-6-8-140000-31.854999780654907_2023-1-3-1-7-50-425000-30.569999933242798_2023-1-3-1-11-9-350000-2.6449997425079346_,0,2,2023-1-3-1-11-12-950000_2023-1-3-1-12-3-450000_,70.0
2023-01-04,100,-15.5,0,[],0,0,[],65.0
2023-01-05,99.9,-15.6,1,2023-1-5-0-35-47-230000-119.7649998664856_,1,0,[],70.0
2023-01-06,100,-15.4,0,[],0,0,[],70.0
2023-01-07,100,-15.7,0,[],0,0,[],70.0
2023-01-08,99.9,-15.1,1,2023-1-8-19-48-56-545000-88.28000020980835_,1,0,[],65.0
2023-01-09,100,-15.5,0,[],0,0,[],65.0
2023-01-10,90.6,-4.2,8,2023-1-10-4-1-47-280000-111.45499992370605_2023-1-10-12-48-53-895000-7689.099999904633_2023-1-10-17-2-45-785000-190.21000003814697_2023-1-10-17-6-19-360000-11.634999990463257_2023-1-10-17-10-28-175000-115.3199999332428_2023-1-10-18-21-4-310000-1.684999704360962_2023-1-10-18-21-8-205000-5.789999961853027_2023-1-10-18-21-16-165000-9.829999923706055_,2,2,2023-1-10-14-57-4-400000_2023-1-10-15-0-56-100000_,60.0
2023-01-11,99.8,-7.5,3,2023-1-11-0-35-19-85000-128.7649998664856_2023-1-11-19-9-2-930000-33.06500005722046_2023-1-11-19-13-24-425000-4.569999933242798_,1,2,2023-1-11-19-13-29-100000_2023-1-11-19-14-19-350000_,70.0
2023-01-12,99.9,-7.0,5,2023-1-12-16-50-41-980000-7.014999866485596_2023-1-12-20-25-1-175000-4.819999933242798_2023-1-12-20-25-9-85000-4.909999847412109_2023-1-12-21-40-2-970000-31.02500009536743_2023-1-12-21-44-22-825000-4.169999837875366_,0,2,2023-1-12-21-44-27-350000_2023-1-12-21-45-17-450000_,70.0
2023-01-13,99.9,-15.4,1,2023-1-13-16-8-51-65000-92.71000003814697_,1,0,[],70.0
2023-01-14,100,-15.5,0,[],0,0,[],70.0
2023-01-15,99.9,-15.5,1,2023-1-15-22-50-35-290000-117.35999989509583_,1,0,[],60.0
2023-01-16,99.7,-15.7,2,2023-1-16-3-21-5-395000-145.74000000953674_2023-1-16-14-7-11-780000-90.85500001907349_,2,0,[],65.0
2023-01-17,100.0,-15.3,1,2023-1-17-18-38-6-430000-3.56499981880188_,0,0,[],70.0
2023-01-18,99.6,-15.9,3,2023-1-18-19-52-29-540000-87.57999992370605_2023-1-18-21-23-18-425000-117.16000008583069_2023-1-18-23-5-21-15000-125.80999994277954_,4,0,[],70.0
2023-01-19,98.7,-6.7,12,2023-1-19-2-39-8-540000-131.8399999141693_2023-1-19-3-12-58-270000-87.27499985694885_2023-1-19-11-34-20-225000-92.54999995231628_2023-1-19-13-18-8-160000-85.96999979019165_2023-1-19-15-55-48-230000-90.32499980926514_2023-1-19-17-30-3-790000-91.20499968528748_2023-1-19-17-35-20-665000-5.329999923706055_2023-1-19-17-42-47-230000-125.61499977111816_2023-1-19-18-14-25-110000-2.8849997520446777_2023-1-19-18-56-4-170000-187.01500010490417_2023-1-19-21-42-14-130000-103.20000004768372_2023-1-19-21-58-51-125000-133.50999999046326_,9,0,[],70.0
2023-01-20,99.5,-15.4,6,2023-1-20-0-24-23-125000-160.6600000858307_2023-1-20-1-6-38-235000-89.5149998664856_2023-1-20-12-37-37-150000-80.09999990463257_2023-1-20-16-4-58-85000-79.74000000953674_2023-1-20-16-28-45-265000-14.474999904632568_2023-1-20-18-27-25-675000-2.319999933242798_,4,0,[],70.0
2023-01-21,99.4,-15.5,6,2023-1-21-1-15-46-615000-54.890000104904175_2023-1-21-2-55-2-540000-95.30999994277954_2023-1-21-4-57-12-130000-84.52999997138977_2023-1-21-8-57-0-540000-44.264999866485596_2023-1-21-8-57-49-440000-3.554999828338623_2023-1-21-8-58-22-350000-212.20999956130981_,6,0,[],70.0
2023-01-22,100,-15.5,0,[],0,0,[],65.0
2023-01-23,100,-15.5,0,[],0,0,[],70.0
2023-01-24,99.5,-15.8,5,2023-1-24-11-14-55-485000-123.50999999046326_2023-1-24-11-17-5-470000-8.524999856948853_2023-1-24-11-17-16-160000-6.8349997997283936_2023-1-24-11-17-32-535000-4.4599997997283936_2023-1-24-16-45-58-85000-248.9099998474121_,1,0,[],70.0
2023-01-25,100.0,-15.5,2,2023-1-25-14-48-52-625000-20.079999923706055_2023-1-25-14-51-45-660000-6.179999828338623_,0,0,[],70.0
2023-01-26,100,-15.7,0,[],0,0,[],70.0
2023-01-27,79.2,-15.1,3,2023-1-27-19-1-15-995000-17924.005_2023-1-27-14-50-12-290000-18.544999837875366_2023-1-27-19-0-43-810000-6.184999942779541_,0,0,[],70.0
2023-01-28,0,-9,0,[],0,0,[],-9
2023-01-29,0,-9,0,[],0,0,[],-9
2023-01-30,30.4,-17.9,1,2023-1-30-0-0-0-0-60132.0_,0,0,[],70.0
2023-01-31,100,-16.7,0,[],0,0,[],70.0
2023-02-01,100,-15.4,0,[],0,0,[],70.0
2023-02-02,96.4,-15.2,10,2023-2-2-20-52-34-995000-2624.9999997615814_2023-2-2-21-36-21-995000-99.99999976158142_2023-2-2-21-38-3-995000-99.99999976158142_2023-2-2-21-39-45-995000-31.99999976158142_2023-2-2-21-40-19-995000-23.99999976158142_2023-2-2-21-40-45-995000-99.99999976158142_2023-2-2-21-42-27-995000-13.999999761581421_2023-2-2-21-42-43-995000-57.99999976158142_2023-2-2-21-43-43-995000-23.99999976158142_2023-2-2-21-44-9-995000-11.999999761581421_,0,0,[],65.0
2023-02-03,100,-15.6,0,[],0,0,[],70.0
2023-02-04,100,-15.5,0,[],0,0,[],65.0
2023-02-05,100,-15.3,0,[],0,0,[],55.0
2023-02-06,100,-15.5,0,[],0,0,[],65.0
2023-02-07,99.0,-15.3,5,2023-2-7-14-19-29-995000-661.9999997615814_2023-2-7-14-32-14-995000-1.999999761581421_2023-2-7-14-35-1-995000-19.99999976158142_2023-2-7-14-36-23-995000-75.99999976158142_2023-2-7-14-41-15-995000-71.99999976158142_,0,0,[],65.0
2023-02-08,100,-15.7,0,[],0,0,[],65.0
2023-02-09,100,-15.8,0,[],0,0,[],70.0
2023-02-10,100,-15.3,0,[],0,0,[],65.0
2023-02-11,100,-15.4,0,[],0,0,[],65.0
2023-02-12,100,-15.4,0,[],0,0,[],60.0
2023-02-13,100,-15.3,0,[],0,0,[],65.0
2023-02-14,100.0,-15.4,1,2023-2-14-16-4-22-995000-10.999999761581421_,0,0,[],70.0
2023-02-15,100.0,-15.4,2,2023-2-15-15-56-35-995000-13.999999761581421_2023-2-15-19-40-58-995000-13.999999761581421_,0,0,[],70.0
2023-02-16,100.0,-16.6,1,2023-2-16-0-24-56-995000-3.999999761581421_,0,0,[],70.0
2023-02-17,100,-15.9,0,[],0,0,[],70.0
2023-02-18,99.8,-15.4,3,2023-2-18-5-4-53-995000-58.99999976158142_2023-2-18-16-17-13-995000-9.999999761581421_2023-2-18-19-8-39-995000-61.99999976158142_,0,0,[],70.0
2023-02-19,100.0,-15.3,1,2023-2-19-1-38-54-995000-3.999999761581421_,0,0,[],60.0
2023-02-20,99.9,-8.7,3,2023-2-20-20-27-2-995000-5.999999761581421_2023-2-20-21-33-1-995000-72.99999976158142_2023-2-20-21-38-4-995000-0.9999997615814209_,0,1,2023-2-20-21-38-6-800000_,70.0
2023-02-21,100,-15.6,0,[],0,0,[],70.0
2023-02-22,100,-15.2,0,[],0,0,[],70.0
2023-02-23,99.9,-15.4,1,2023-2-23-18-49-53-995000-61.99999976158142_,0,0,[],70.0
2023-02-24,100,-15.7,0,[],0,0,[],70.0
2023-02-25,100.0,-16.4,1,2023-2-25-22-42-26-995000-5.999999761581421_,0,0,[],60.0
2023-02-26,100.0,-15.3,1,2023-2-26-17-21-44-995000-5.999999761581421_,0,0,[],60.0
2023-02-27,100,-16.8,0,[],0,1,2023-2-27-21-1-35-565000_,65.0
2023-02-28,99.8,8.2,8,2023-2-28-13-47-29-995000-23.99999976158142_2023-2-28-13-51-43-995000-1.999999761581421_2023-2-28-14-50-26-995000-28.99999976158142_2023-2-28-14-52-35-995000-28.99999976158142_2023-2-28-14-53-18-995000-37.99999976158142_2023-2-28-14-57-48-995000-0.9999997615814209_2023-2-28-15-16-29-995000-25.99999976158142_2023-2-28-15-20-45-995000-2.999999761581421_,0,3,2023-2-28-13-51-48-500000_2023-2-28-14-57-51-0_2023-2-28-15-20-49-250000_,75.0
