fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,412.8,1,2023-1-1-0-0-0-0-0.998393_,0,0,[],0.0
2023-01-02,100,431.2,0,[],0,0,[],0.0
2023-01-03,100,431.6,0,[],0,0,[],0.0
2023-01-04,100,423.5,0,[],0,0,[],0.0
2023-01-05,100,440.9,0,[],0,0,[],0.0
2023-01-06,100,428.9,0,[],0,0,[],0.0
2023-01-07,100,421.4,0,[],0,0,[],0.0
2023-01-08,100,414.8,0,[],0,5,2023-1-8-13-27-51-308393_2023-1-8-13-29-9-908393_2023-1-8-13-30-6-458393_2023-1-8-13-31-16-408393_2023-1-8-13-32-8-408393_,0.0
2023-01-09,100,406.0,0,[],0,2,2023-1-9-18-7-22-138393_2023-1-9-18-58-4-88393_,0.0
2023-01-10,100,400.4,0,[],0,0,[],0.0
2023-01-11,100,386.9,0,[],0,0,[],0.0
2023-01-12,100,382.9,0,[],0,0,[],0.0
2023-01-13,100,382.3,0,[],0,0,[],0.0
2023-01-14,100,382.2,0,[],0,0,[],0.0
2023-01-15,100,399.9,0,[],0,0,[],0.0
2023-01-16,100,378.5,0,[],0,2,2023-1-16-4-53-5-928393_2023-1-16-4-54-2-328393_,0.0
2023-01-17,100,398.8,0,[],0,0,[],0.0
2023-01-18,100,409.0,0,[],0,3,2023-1-18-6-26-23-98393_2023-1-18-8-0-5-198393_2023-1-18-8-4-9-298393_,0.0
2023-01-19,100,409.0,0,[],0,0,[],0.0
2023-01-20,100,391.4,0,[],1,5,2023-1-20-11-27-59-278393_2023-1-20-11-31-33-428393_2023-1-20-22-16-50-318393_2023-1-20-22-22-45-318393_2023-1-20-22-28-57-318393_,0.0
2023-01-21,100,392.9,0,[],0,0,[],0.0
2023-01-22,100,375.4,0,[],0,0,[],0.0
2023-01-23,100,371.9,0,[],0,0,[],0.0
2023-01-24,100,365.5,0,[],0,2,2023-1-24-18-44-16-518393_2023-1-24-18-50-0-468393_,0.0
2023-01-25,100,377.7,0,[],2,0,[],0.0
2023-01-26,100,380.2,0,[],0,0,[],0.0
2023-01-27,100,376.3,0,[],1,0,[],0.0
2023-01-28,100,377.8,0,[],0,0,[],0.0
2023-01-29,100,383.6,0,[],0,0,[],0.0
2023-01-30,100,394.1,0,[],1,0,[],0.0
2023-01-31,100,389.4,0,[],0,0,[],0.0
2023-02-01,100,386.4,0,[],0,0,[],0.0
2023-02-02,100,397.4,0,[],0,0,[],0.0
2023-02-03,100,388.5,0,[],0,0,[],0.0
2023-02-04,100,397.1,0,[],0,0,[],0.0
2023-02-05,100,395.7,0,[],0,0,[],0.0
2023-02-06,100,381.6,0,[],0,10,2023-2-6-1-51-48-798393_2023-2-6-1-52-55-498393_2023-2-6-1-55-16-698393_2023-2-6-1-56-14-348393_2023-2-6-1-59-14-798393_2023-2-6-2-14-5-648393_2023-2-6-11-15-42-98393_2023-2-6-11-23-23-448393_2023-2-6-12-1-8-298393_2023-2-6-12-34-44-748393_,5.0
2023-02-07,100,380.3,0,[],1,0,[],0.0
2023-02-08,100,376.0,0,[],0,3,2023-2-8-15-19-19-348393_2023-2-8-15-20-22-598393_2023-2-8-15-21-45-498393_,0.0
2023-02-09,100,363.5,0,[],0,0,[],0.0
2023-02-10,100,355.9,0,[],0,0,[],0.0
2023-02-11,100,347.9,0,[],0,0,[],0.0
2023-02-12,100,343.3,0,[],0,0,[],0.0
2023-02-13,100,347.4,0,[],0,0,[],0.0
2023-02-14,100,357.7,0,[],1,0,[],0.0
2023-02-15,100,343.8,0,[],2,0,[],0.0
2023-02-16,100,349.5,0,[],1,3,2023-2-16-6-56-43-118393_2023-2-16-6-57-46-18393_2023-2-16-6-58-50-668393_,0.0
2023-02-17,100,349.4,0,[],0,0,[],0.0
2023-02-18,100,331.7,0,[],1,1,2023-2-18-8-25-12-388393_,0.0
2023-02-19,100,337.6,0,[],1,0,[],0.0
2023-02-20,100,331.8,0,[],1,0,[],0.0
2023-02-21,100,341.4,0,[],0,0,[],0.0
2023-02-22,100,355.1,0,[],0,1,2023-2-22-15-43-7-588393_,0.0
2023-02-23,100,334.6,0,[],0,8,2023-2-23-1-49-53-978393_2023-2-23-1-52-34-228393_2023-2-23-2-0-2-28393_2023-2-23-2-0-57-478393_2023-2-23-2-2-0-778393_2023-2-23-2-2-55-778393_2023-2-23-2-3-48-828393_2023-2-23-20-22-24-528393_,0.0
2023-02-24,100,337.5,0,[],0,0,[],0.0
