fecha,disponibilidad,offs,num_gaps,times_gaps,num_overlaps,peaks,time_peaks,p_ppsd
2023-01-01,100.0,-413.4,1,2023-1-1-0-0-0-0-3.53_,0,1,2023-1-1-4-22-10-980000_,-9
2023-01-02,100,-728.5,0,[],0,0,[],-9
2023-01-03,47.6,-317.5,1,2023-1-3-11-24-54-680000-45305.32_,0,0,[],-9
2023-01-04,0,-9,0,[],0,0,[],-9
2023-01-05,30.2,-928.4,1,2023-1-5-0-0-0-0-60265.15_,0,0,[],-9
2023-01-06,100,-511.1,0,[],0,1,2023-1-6-4-38-8-890000_,-9
2023-01-07,100,-450.3,0,[],0,0,[],-9
2023-01-08,100,-695.4,0,[],0,3,2023-1-8-13-9-41-70000_2023-1-8-13-30-0-120000_2023-1-8-13-31-0-720000_,-9
2023-01-09,100,-530.8,0,[],0,0,[],-9
2023-01-10,100,-549.2,0,[],0,0,[],-9
2023-01-11,100,-610.4,0,[],0,1,2023-1-11-8-44-26-140000_,-9
2023-01-12,100,-507.8,0,[],0,1,2023-1-12-2-56-0-830000_,-9
2023-01-13,100,-694.0,0,[],0,2,2023-1-13-7-22-52-240000_2023-1-13-16-43-18-940000_,-9
2023-01-14,100,-481.6,0,[],0,2,2023-1-14-11-33-59-690000_2023-1-14-18-20-11-290000_,-9
2023-01-15,94.8,-574.3,1,2023-1-15-17-16-41-130000-4483.840000152588_,0,0,[],-9
2023-01-16,100,-564.6,0,[],0,2,2023-1-16-0-1-7-410000_2023-1-16-0-8-46-810000_,-9
2023-01-17,100,-647.8,0,[],0,0,[],-9
2023-01-18,100,-490.6,0,[],0,1,2023-1-18-8-3-22-90000_,-9
2023-01-19,100,-468.6,0,[],0,0,[],-9
2023-01-20,100.0,-706.7,1,2023-1-20-16-28-48-40000-12.359999895095825_,0,9,2023-1-20-11-30-57-650000_2023-1-20-11-32-1-450000_2023-1-20-11-32-58-600000_2023-1-20-22-20-24-60000_2023-1-20-22-21-31-310000_2023-1-20-22-23-23-310000_2023-1-20-22-24-45-860000_2023-1-20-22-25-45-760000_2023-1-20-22-27-1-210000_,-9
2023-01-21,98.3,-598.2,1,2023-1-21-23-35-4-650000-1495.35_,0,1,2023-1-21-11-57-34-690000_,-9
2023-01-22,0,-9,0,[],0,0,[],-9
2023-01-23,0,-9,0,[],0,0,[],-9
2023-01-24,0,-9,0,[],0,0,[],-9
2023-01-25,0,-9,0,[],0,0,[],-9
2023-01-26,66.1,-840.1,1,2023-1-26-0-0-0-0-29303.52_,0,0,[],-9
2023-01-27,100.0,-544.2,1,2023-1-27-14-50-14-920000-16.479999780654907_,0,0,[],-9
2023-01-28,100,-591.5,0,[],0,0,[],-9
2023-01-29,100,-541.9,0,[],0,0,[],-9
2023-01-30,100.0,-481.8,1,2023-1-30-16-42-4-660000-8.240000009536743_,0,0,[],-9
2023-01-31,100,-497.0,0,[],0,0,[],-9
2023-02-01,100,-590.8,0,[],0,0,[],-9
2023-02-02,85.7,-449.9,1,2023-2-2-20-33-34-860000-12385.14_,0,0,[],-9
2023-02-03,0,-9,0,[],0,0,[],-9
2023-02-04,0,-9,0,[],0,0,[],-9
2023-02-05,0,-9,0,[],0,0,[],-9
2023-02-06,34.7,-938.9,1,2023-2-6-0-0-0-0-56427.89_,0,1,2023-2-6-16-19-37-290000_,-9
2023-02-07,99.8,-498.9,4,2023-2-7-14-32-11-280000-8.240000009536743_2023-2-7-14-35-0-120000-20.540000200271606_2023-2-7-14-36-22-300000-78.28000020980835_2023-2-7-14-41-14-380000-78.03999996185303_,0,0,[],-9
2023-02-08,100,-436.6,0,[],0,3,2023-2-8-15-23-23-540000_2023-2-8-15-24-25-690000_2023-2-8-15-25-42-840000_,-9
2023-02-09,100,-519.6,0,[],0,0,[],-9
2023-02-10,100,-591.1,0,[],0,0,[],-9
2023-02-11,100,-506.4,0,[],0,0,[],-9
2023-02-12,100,-454.5,0,[],0,0,[],-9
2023-02-13,99.6,-603.8,1,2023-2-13-15-45-3-680000-321.2799997329712_,0,0,[],-9
2023-02-14,100.0,-423.2,1,2023-2-14-16-4-21-320000-16.480000019073486_,0,1,2023-2-14-9-5-12-940000_,-9
2023-02-15,100.0,-588.8,2,2023-2-15-15-56-35-660000-12.360000133514404_2023-2-15-19-40-56-580000-16.480000257492065_,0,1,2023-2-15-13-5-49-620000_,-9
2023-02-16,100.0,-374.6,1,2023-2-16-0-24-55-760000-8.240000009536743_,0,5,2023-2-16-6-58-37-10000_2023-2-16-6-59-42-560000_2023-2-16-7-0-38-110000_2023-2-16-8-57-43-660000_2023-2-16-11-32-19-10000_,-9
2023-02-17,100,-783.3,0,[],0,0,[],-9
2023-02-18,100.0,-335.4,1,2023-2-18-16-17-11-360000-16.480000019073486_,0,1,2023-2-18-11-26-14-520000_,-9
2023-02-19,100.0,-658.5,1,2023-2-19-1-38-53-40000-8.240000009536743_,0,5,2023-2-19-2-54-6-140000_2023-2-19-2-55-20-890000_2023-2-19-2-56-51-690000_2023-2-19-2-58-7-490000_2023-2-19-2-59-50-240000_,-9
2023-02-20,100.0,-428.4,1,2023-2-20-20-27-4-620000-4.080000162124634_,0,3,2023-2-20-17-30-39-140000_2023-2-20-17-55-35-140000_2023-2-20-17-57-5-990000_,-9
